Orthogroup	Bicyclus_anynana	Danaus_plexippus	Heliconius_erato_lativitta	Heliconius_melpomene_melpomene	Junonia_coenia	Maniola_hyperantus	Pararge_aegeria	Vanessa_cardui	Vanessa_tameamea
OG0000001	3	2	0	193	1	2	1	3	10
OG0000002	24	0	77	33	0	1	17	21	2
OG0000003	1	4	0	103	1	0	12	5	2
OG0000004	6	1	15	24	31	13	6	12	7
OG0000006	2	0	0	101	1	1	0	3	3
OG0000007	15	21	12	11	15	11	9	4	7
OG0000008	0	1	0	101	0	0	0	1	0
OG0000009	9	8	13	5	12	14	21	5	11
OG0000011	11	8	15	10	14	14	9	5	7
OG0000012	34	13	11	6	21	0	1	6	0
OG0000013	30	1	1	6	2	23	3	3	18
OG0000016	0	1	1	35	16	10	14	1	4
OG0000017	24	0	2	1	46	2	2	3	0
OG0000018	2	5	6	7	25	5	6	18	6
OG0000020	4	1	0	0	4	30	24	12	2
OG0000021	1	0	1	1	7	11	49	3	4
OG0000022	8	10	11	10	9	9	10	1	8
OG0000023	6	0	0	5	0	6	14	34	5
OG0000024	9	1	12	12	17	1	4	14	0
OG0000025	12	5	5	3	2	14	21	2	6
OG0000026	1	0	0	1	10	8	20	26	3
OG0000028	8	1	2	3	29	10	8	4	3
OG0000029	5	0	15	5	13	9	6	9	6
OG0000030	1	0	1	61	4	0	0	1	0
OG0000031	3	2	1	50	3	1	1	2	2
OG0000034	6	6	8	4	7	10	5	4	12
OG0000035	29	3	1	14	0	0	0	6	9
OG0000037	0	0	0	53	2	1	1	1	2
OG0000038	2	1	17	14	15	4	2	2	2
OG0000039	5	5	8	8	10	10	4	5	3
OG0000041	7	7	7	6	1	9	5	6	7
OG0000045	0	9	5	5	6	6	8	9	5
OG0000046	8	3	5	2	3	13	10	4	4
OG0000049	4	1	5	10	16	4	4	4	3
OG0000050	2	8	7	9	8	7	3	3	4
OG0000051	6	0	0	0	0	17	27	1	0
OG0000052	1	1	1	1	42	0	1	2	1
OG0000053	4	6	6	5	5	6	5	6	7
OG0000054	4	6	9	10	4	6	6	3	1
OG0000055	6	7	12	7	12	0	0	3	1
OG0000056	11	6	1	9	1	8	4	3	5
OG0000057	3	5	4	4	9	7	5	5	6
OG0000058	11	4	1	4	2	4	11	5	5
OG0000061	5	1	10	6	8	6	3	1	6
OG0000062	4	6	1	1	6	10	8	5	5
OG0000063	3	4	3	4	6	7	5	10	4
OG0000066	4	1	12	6	6	5	4	6	1
OG0000067	10	3	1	2	2	6	14	3	4
OG0000068	3	2	18	12	2	2	3	2	1
OG0000069	13	1	2	2	17	3	3	3	1
OG0000071	2	2	29	5	1	1	1	2	1
OG0000073	7	3	4	3	7	4	6	3	6
OG0000075	4	3	8	5	6	3	5	4	4
OG0000076	4	4	13	10	2	4	3	1	1
OG0000078	3	1	7	2	17	6	2	2	2
OG0000079	3	0	2	4	23	3	3	3	1
OG0000080	23	0	0	4	0	6	5	2	1
