orthogroup gr01 gr02	sp01 sp02	spM01 spM02
OG0000001 -33.2114891188888 -33.8845148260901	-29.7346949407866 -33.1485837313854	-28.0995957357188 -30.9429791274067
OG0000002 -33.8340744623007 -33.9829034836272	-31.6495513703294 -31.9462330777561	-32.2473070445716 -32.0780805791977
OG0000003 -28.7596177911564 -30.8080830439791	-26.9100329455434 -29.069521388037	-26.0838245153723 -27.0756929817723
OG0000004 -31.3019428265571 -31.3050293164681	-30.4601992991174 -30.4618204367125	-28.2795236797962 -28.2733888640894
OG0000006 -25.5716336432593 -25.8685739752829	-22.8579064773432 -24.7393427464339	-24.8702205583708 -24.8823480227573
OG0000007 -26.0871976811944 -26.0916761083326	-23.8691457603293 -23.8869565471627	-24.0873985277908 -24.2748983764129
OG0000008 -16.1287622092031 -16.1246661360606	-14.7114772408625 -15.0631099503347	-11.95137215267 -12.0248158485691
OG0000009 -26.1828578428097 -26.1828598272677	-24.6908150437043 -24.7161910520657	-24.4204113601994 -24.4300847448602
OG0000011 -23.28453117988 -23.284783881787	-21.5571350341657 -21.5482197558036	-21.5594692958295 -21.4280448816995
OG0000012 -29.8246995862948 -29.8306558181998	-28.5204956300713 -28.6693527730289	-27.0717957810642 -26.9038918993546
OG0000013 -29.8540066635474 -30.084720915509	-28.6579484173073 -28.8033848922058	-27.4331428231048 -27.5221540832344
OG0000016 -28.912896597907 -29.146298972139	-27.8501722631933 -27.9758646365107	-26.4774699414042 -26.5488594268032
OG0000017 -27.0661289070587 -27.0204063824798	-25.4505670841081 -25.8073033412758	-25.2870110064141 -25.4062756847888
OG0000018 -27.8574704012812 -27.8566301645571	-25.9564287774201 -25.9607573990551	-27.6029986780029 -27.6124874253764
OG0000020 -26.9156495082247 -27.0692381680091	-24.5871161251719 -25.5696367393106	-25.9628750329811 -25.7440588511618
OG0000021 -27.6079209879093 -27.6080085682824	-26.4032326157356 -26.4227446723723	-25.9649196634711 -25.745910004524
OG0000022 -23.4598639770997 -23.4817124115631	-16.6271626907356 -16.8675768809159	-17.4817496618122 -17.5027704751429
OG0000023 -27.1673856216692 -27.3082915636152	-23.5709732970003 -23.1623298031	-23.9286551598624 -24.461818081261
OG0000024 -28.0498489382562 -28.1258150023626	-26.452193661553 -26.343821056596	-26.7261591723535 -28.0473953845699
OG0000025 -25.3942291130333 -25.3942292409719	-24.2321399714027 -25.7257248645317	-24.1382399080188 -24.2510009976756
OG0000026 -27.1456980013741 -27.1456983818104	-24.0184211676727 -24.1329502300594	-24.6647835837403 -25.0729589173321
OG0000028 -27.5250652947757 -27.525788717997	-26.6214229393333 -26.6314789740703	-25.5053123170137 -25.8417139281891
OG0000029 -26.3435843908598 -26.4918172654354	-25.6136757850597 -25.6636860151401	-21.3495058955088 -21.5394828105411
OG0000030 -20.6854897150006 -20.6512187788182	-19.2136664296187 -19.9960238019284	-19.1825691248459 -20.0610884165363
OG0000031 -26.500781517975 -26.7577362675829	-25.340870721846 -25.8051088082547	-24.1333146613661 -24.5677542530201
