"GO.ID" "Term" "Annotated" "Significant" "Expected" "weight01Fisher" "classicFisher" "p_adj" "GO_class" "genes"
"1" "GO:0042718" "yolk granule" 9 7 0.04 3.1e-16 "3.1e-16" 5.4312e-13 "CC" "Vcard_DToL02728-RA,Vcard_DToL02734-RA,Vcard_DToL02737-RA,Vcard_DToL02738-RA,Vcard_DToL02740-RA,Vcard_DToL02742-RA,Vcard_DToL02744-RA"
"2" "GO:0031143" "pseudopodium" 19 8 0.08 2e-15 "2.0e-15" 1.752e-12 "CC" "Vcard_DToL17183-RA,Vcard_DToL17184-RA,Vcard_DToL17185-RA,Vcard_DToL17190-RA,Vcard_DToL17194-RA,Vcard_DToL17196-RA,Vcard_DToL17202-RA,Vcard_DToL17205-RA"
"3" "GO:0005576" "extracellular region" 961 25 3.89 1.9e-14 "1.4e-17" 1.1096e-11 "CC" "Vcard_DToL02450-RA,Vcard_DToL02453-RA,Vcard_DToL02728-RA,Vcard_DToL02734-RA,Vcard_DToL02737-RA,Vcard_DToL02738-RA,Vcard_DToL02740-RA,Vcard_DToL02742-RA,Vcard_DToL02744-RA,Vcard_DToL02883-RA,Vcard_DToL02891-RA,Vcard_DToL02894-RA,Vcard_DToL02898-RA,Vcard_DToL02901-RA,Vcard_DToL02907-RA,Vcard_DToL02912-RA,Vcard_DToL06374-RA,Vcard_DToL17183-RA,Vcard_DToL17184-RA,Vcard_DToL17185-RA,Vcard_DToL17190-RA,Vcard_DToL17194-RA,Vcard_DToL17196-RA,Vcard_DToL17202-RA,Vcard_DToL17205-RA"
"4" "GO:0005764" "lysosome" 308 15 1.25 1.6e-13 "1.6e-13" 7.008e-11 "CC" "Vcard_DToL02728-RA,Vcard_DToL02734-RA,Vcard_DToL02737-RA,Vcard_DToL02738-RA,Vcard_DToL02740-RA,Vcard_DToL02742-RA,Vcard_DToL02744-RA,Vcard_DToL17183-RA,Vcard_DToL17184-RA,Vcard_DToL17185-RA,Vcard_DToL17190-RA,Vcard_DToL17194-RA,Vcard_DToL17196-RA,Vcard_DToL17202-RA,Vcard_DToL17205-RA"
"5" "GO:0097038" "perinuclear endoplasmic reticulum" 33 8 0.13 3.6e-13 "3.6e-13" 1.26144e-10 "CC" "Vcard_DToL17183-RA,Vcard_DToL17184-RA,Vcard_DToL17185-RA,Vcard_DToL17190-RA,Vcard_DToL17194-RA,Vcard_DToL17196-RA,Vcard_DToL17202-RA,Vcard_DToL17205-RA"
"6" "GO:0030315" "T-tubule" 42 8 0.17 3e-12 "3.0e-12" 8.76e-10 "CC" "Vcard_DToL17183-RA,Vcard_DToL17184-RA,Vcard_DToL17185-RA,Vcard_DToL17190-RA,Vcard_DToL17194-RA,Vcard_DToL17196-RA,Vcard_DToL17202-RA,Vcard_DToL17205-RA"
"7" "GO:0030864" "cortical actin cytoskeleton" 58 8 0.23 4.6e-11 "4.6e-11" 1.15131428571429e-08 "CC" "Vcard_DToL17183-RA,Vcard_DToL17184-RA,Vcard_DToL17185-RA,Vcard_DToL17190-RA,Vcard_DToL17194-RA,Vcard_DToL17196-RA,Vcard_DToL17202-RA,Vcard_DToL17205-RA"
"8" "GO:0045169" "fusome" 50 7 0.2 7.7e-10 "7.7e-10" 1.5768e-07 "CC" "Vcard_DToL02728-RA,Vcard_DToL02734-RA,Vcard_DToL02737-RA,Vcard_DToL02738-RA,Vcard_DToL02740-RA,Vcard_DToL02742-RA,Vcard_DToL02744-RA"
"9" "GO:1904813" "ficolin-1-rich granule lumen" 82 8 0.33 8.1e-10 "8.1e-10" 1.5768e-07 "CC" "Vcard_DToL17183-RA,Vcard_DToL17184-RA,Vcard_DToL17185-RA,Vcard_DToL17190-RA,Vcard_DToL17194-RA,Vcard_DToL17196-RA,Vcard_DToL17202-RA,Vcard_DToL17205-RA"
"10" "GO:0030018" "Z disc" 115 8 0.46 1.2e-08 "1.2e-08" 2.1024e-06 "CC" "Vcard_DToL17183-RA,Vcard_DToL17184-RA,Vcard_DToL17185-RA,Vcard_DToL17190-RA,Vcard_DToL17194-RA,Vcard_DToL17196-RA,Vcard_DToL17202-RA,Vcard_DToL17205-RA"
"11" "GO:0045121" "membrane raft" 199 8 0.8 8.7e-07 "8.7e-07" 0.000138567272727273 "CC" "Vcard_DToL17183-RA,Vcard_DToL17184-RA,Vcard_DToL17185-RA,Vcard_DToL17190-RA,Vcard_DToL17194-RA,Vcard_DToL17196-RA,Vcard_DToL17202-RA,Vcard_DToL17205-RA"
"12" "GO:0031983" "vesicle lumen" 167 7 0.68 3.5e-06 "3.5e-06" 0.000511 "CC" "Vcard_DToL02728-RA,Vcard_DToL02734-RA,Vcard_DToL02737-RA,Vcard_DToL02738-RA,Vcard_DToL02740-RA,Vcard_DToL02742-RA,Vcard_DToL02744-RA"
"13" "GO:0030425" "dendrite" 483 10 1.95 1.2e-05 "1.2e-05" 0.00161723076923077 "CC" "Vcard_DToL16758-RA,Vcard_DToL16764-RA,Vcard_DToL17183-RA,Vcard_DToL17184-RA,Vcard_DToL17185-RA,Vcard_DToL17190-RA,Vcard_DToL17194-RA,Vcard_DToL17196-RA,Vcard_DToL17202-RA,Vcard_DToL17205-RA"
"14" "GO:0043025" "neuronal cell body" 543 10 2.2 3.5e-05 "3.5e-05" 0.00438 "CC" "Vcard_DToL16758-RA,Vcard_DToL16764-RA,Vcard_DToL17183-RA,Vcard_DToL17184-RA,Vcard_DToL17185-RA,Vcard_DToL17190-RA,Vcard_DToL17194-RA,Vcard_DToL17196-RA,Vcard_DToL17202-RA,Vcard_DToL17205-RA"
"15" "GO:0016471" "vacuolar proton-transporting V-type ATPase complex" 19 3 0.08 5.6e-05 "5.6e-05" 0.0065408 "CC" "Vcard_DToL00546-RA,Vcard_DToL07113-RA,Vcard_DToL07619-RA"
"16" "GO:0005615" "extracellular space" 465 9 1.88 6.4e-05 "6.4e-05" 0.007008 "CC" "Vcard_DToL02450-RA,Vcard_DToL02453-RA,Vcard_DToL02728-RA,Vcard_DToL02734-RA,Vcard_DToL02737-RA,Vcard_DToL02738-RA,Vcard_DToL02740-RA,Vcard_DToL02742-RA,Vcard_DToL02744-RA"
"17" "GO:0000785" "chromatin" 398 8 1.61 0.00014 "0.00014" 0.0144282352941176 "CC" "Vcard_DToL17183-RA,Vcard_DToL17184-RA,Vcard_DToL17185-RA,Vcard_DToL17190-RA,Vcard_DToL17194-RA,Vcard_DToL17196-RA,Vcard_DToL17202-RA,Vcard_DToL17205-RA"
"18" "GO:0099568" "cytoplasmic region" 438 8 1.77 0.00027 "0.00027" 0.02628 "CC" "Vcard_DToL17183-RA,Vcard_DToL17184-RA,Vcard_DToL17185-RA,Vcard_DToL17190-RA,Vcard_DToL17194-RA,Vcard_DToL17196-RA,Vcard_DToL17202-RA,Vcard_DToL17205-RA"
"19" "GO:0005905" "clathrin-coated pit" 35 2 0.14 0.00867 "0.00867" 0.799465263157895 "CC" "Vcard_DToL16758-RA,Vcard_DToL16764-RA"
