OG0000034 	 1 14
OG0000126 	 2 1
OG0000131 	 2 1
OG0000142 	 4 5
OG0000148 	 1 1
OG0000169 	 2 1
OG0000216 	 4 2
OG0000236 	 1 1
OG0000278 	 3 4
OG0000279 	 2 1
OG0000302 	 2 2
OG0000346 	 1 1
OG0000355 	 1 1
OG0000365 	 1 1
OG0000374 	 2 4
OG0000436 	 1 1
OG0000455 	 2 1
OG0000477 	 1 2
OG0000478 	 1 3
OG0000480 	 1 1
OG0000488 	 2 3
OG0000517 	 2 5
OG0000564 	 3 2
OG0000582 	 2 3
OG0000584 	 2 3
OG0000587 	 2 2
OG0000589 	 3 4
OG0000618 	 2 3
OG0000635 	 2 1
OG0000641 	 1 2
OG0000646 	 2 2
OG0000737 	 1 1
OG0000748 	 1 2
OG0000751 	 2 2
OG0000752 	 1 1
OG0000763 	 2 1
OG0000814 	 2 2
OG0000839 	 1 2
OG0000844 	 1 4
OG0000854 	 1 1
OG0000859 	 2 3
OG0000865 	 2 2
OG0000870 	 1 2
OG0000872 	 2 2
OG0000889 	 1 1
OG0000903 	 3 4
OG0000922 	 2 2
OG0000925 	 2 2
OG0000928 	 2 3
OG0000943 	 1 5
OG0000969 	 2 2
OG0000999 	 1 1
OG0001009 	 2 2
OG0001057 	 1 1
OG0001072 	 1 4
OG0001092 	 1 2
OG0001114 	 2 4
OG0001139 	 1 2
OG0001163 	 1 1
OG0001167 	 1 1
OG0001168 	 1 1
OG0001193 	 2 1
OG0001197 	 2 2
OG0001206 	 2 2
OG0001254 	 1 1
OG0001286 	 2 1
OG0001383 	 1 4
OG0001404 	 2 2
OG0001425 	 1 1
OG0001447 	 1 1
OG0001475 	 1 1
OG0001491 	 1 1
OG0001494 	 2 1
OG0001567 	 2 2
OG0001568 	 1 1
OG0001574 	 1 2
OG0001623 	 2 1
OG0001673 	 1 1
OG0001695 	 1 2
OG0001752 	 1 1
OG0001776 	 1 1
OG0001825 	 2 2
OG0001868 	 1 1
OG0001880 	 2 1
OG0001914 	 1 2
OG0001921 	 1 1
OG0001937 	 1 1
OG0001961 	 3 1
OG0001963 	 1 2
OG0001967 	 2 2
OG0001972 	 1 4
OG0001981 	 1 1
OG0001993 	 1 1
OG0002059 	 1 2
OG0002092 	 1 1
OG0002102 	 1 1
OG0002105 	 1 1
OG0002132 	 1 2
OG0002152 	 2 2
OG0002167 	 1 1
OG0002264 	 1 1
OG0002331 	 2 2
OG0002382 	 1 1
OG0002424 	 1 1
OG0002425 	 1 2
OG0002513 	 1 1
OG0002526 	 1 1
OG0002567 	 1 2
OG0002580 	 1 1
OG0002595 	 1 1
OG0002596 	 1 1
OG0002630 	 1 1
OG0002641 	 1 1
OG0002664 	 1 1
OG0002708 	 1 2
OG0002727 	 1 1
OG0002752 	 2 1
OG0002763 	 1 2
OG0002775 	 1 1
OG0002788 	 1 1
OG0002800 	 1 1
OG0002817 	 1 3
OG0002821 	 1 3
OG0002827 	 1 1
OG0002858 	 1 1
OG0002871 	 1 1
OG0002905 	 1 2
