TYPE	ACCESSION	ALIAS
SAMPLE	ERS11683551	P14459_101
SAMPLE	ERS11683552	P14459_102
SAMPLE	ERS11683553	P14459_103
SAMPLE	ERS11683554	P14459_104
SAMPLE	ERS11683555	P14459_105
SAMPLE	ERS11683556	P14459_106
SAMPLE	ERS11683557	P14459_107
SAMPLE	ERS11683558	P14459_108
SAMPLE	ERS11683559	P14459_109
SAMPLE	ERS11683560	P14459_110
SAMPLE	ERS11683561	P14459_111
SAMPLE	ERS11683562	P14459_112
SAMPLE	ERS11683563	P14459_113
SAMPLE	ERS11683564	P14459_114
SAMPLE	ERS11683565	P14459_115
SAMPLE	ERS11683566	P14459_116
SAMPLE	ERS11683567	P14459_117
SAMPLE	ERS11683568	P14459_118
SAMPLE	ERS11683569	P14459_119
SAMPLE	ERS11683570	P14459_120
SAMPLE	ERS11683571	P14459_121
SAMPLE	ERS11683572	P14459_122
SAMPLE	ERS11683573	P14459_123
SAMPLE	ERS11683574	P14459_124
SAMPLE	ERS11683575	P14459_125
SAMPLE	ERS11683576	P14459_126
SAMPLE	ERS11683577	P14459_127
SAMPLE	ERS11683578	P14459_128
SAMPLE	ERS11683579	P14459_129
SAMPLE	ERS11683580	P14459_130
SAMPLE	ERS11683581	P14459_131
SAMPLE	ERS11683582	P14459_132
SAMPLE	ERS11683583	P14459_133
SAMPLE	ERS11683584	P14459_134
SAMPLE	ERS11683585	P14459_135
SAMPLE	ERS11683586	P14459_136
SAMPLE	ERS11683587	P14459_137
SAMPLE	ERS11683588	P14459_138
SAMPLE	ERS11683589	P14459_139
SAMPLE	ERS11683590	P14459_140
SAMPLE	ERS11683591	P14459_141
SAMPLE	ERS11683592	P14459_142
SAMPLE	ERS11683593	P14459_143
SAMPLE	ERS11683594	P14459_144
SAMPLE	ERS11683595	P14459_145
SAMPLE	ERS11683596	P14459_146
SAMPLE	ERS11683597	P14459_147
SAMPLE	ERS11683598	P14459_148
SAMPLE	ERS11683599	P14459_149
SAMPLE	ERS11683600	P14459_150
SAMPLE	ERS11683601	P14459_151
SAMPLE	ERS11683602	P14459_152
SAMPLE	ERS11683603	P14459_153
SAMPLE	ERS11683604	P14459_154
SAMPLE	ERS11683605	P14459_155
SAMPLE	ERS11683606	P14459_156
SAMPLE	ERS11683607	P14459_157
SAMPLE	ERS11683608	P14459_158
SAMPLE	ERS11683609	P14459_159
SAMPLE	ERS11683610	P14459_160
SAMPLE	ERS11683611	P14459_161
SAMPLE	ERS11683612	P14459_162
SAMPLE	ERS11683613	P14459_163
SAMPLE	ERS11683614	P14459_164
SAMPLE	ERS11683615	P14459_165
SAMPLE	ERS11683616	P14459_166
SAMPLE	ERS11683617	P14459_167
SAMPLE	ERS11683618	P14459_168
SAMPLE	ERS11683619	P14459_169
SAMPLE	ERS11683620	P14459_170
SAMPLE	ERS11683621	P14459_171
SAMPLE	ERS11683622	P14459_172
SAMPLE	ERS11683623	P14459_173
SAMPLE	ERS11683624	P14459_174
SAMPLE	ERS11683625	P14459_175
SAMPLE	ERS11683626	P14459_176
SAMPLE	ERS11683627	P14459_177
SAMPLE	ERS11683628	P14459_178
SAMPLE	ERS11683629	P14459_179
SAMPLE	ERS11683630	P14459_180
SAMPLE	ERS11683631	P14459_181
SAMPLE	ERS11683632	P14459_182
SAMPLE	ERS11683633	P14459_183
SAMPLE	ERS11683634	P14459_184
SAMPLE	ERS11683635	P14459_185
SAMPLE	ERS11683636	P14459_186
SAMPLE	ERS11683637	P14459_187
SAMPLE	ERS11683638	P14459_188
SAMPLE	ERS11683639	P14459_189
SAMPLE	ERS11683640	P14459_190
SAMPLE	ERS11683641	P14459_191
SAMPLE	ERS11683642	P14459_192
SAMPLE	ERS11683643	P14459_193
SAMPLE	ERS11683644	P14459_194
SAMPLE	ERS11683645	P14459_195
SAMPLE	ERS11683646	P14459_196
SUBMISSION	ERA12449939	ena-SUBMISSION-TAB-12-04-2022-12:42:43:506-23266
