Number of species       9
Number of genes 139699
Number of genes in orthogroups  130108
Number of unassigned genes      9591
Percentage of genes in orthogroups      93.1
Percentage of unassigned genes  6.9
Number of orthogroups   14169
Number of species-specific orthogroups  722
Number of genes in species-specific orthogroups 3286
Percentage of genes in species-specific orthogroups     2.4
Mean orthogroup size    9.2
Median orthogroup size  9.0
G50 (assigned genes)    10
G50 (all genes) 9
O50 (assigned genes)    4557
O50 (all genes) 5048
Number of orthogroups with all species present  6590
Number of single-copy orthogroups       2858
Date    2021-10-07
