chrom begin end count_rpt length_rpt count_SINE length_SINE count_DNA length_DNA count_TcM length_TcM count_LINE length_LINE count_LTR length_LTR+nonLTR count_nonLTR length_nonLTR
LR999924.1 1 2000000 2734 398150 450 81220 170 30358 39 8843 163 38460 36 127300 341 120208
LR999924.1 2000001 4000000 3166 409031 552 97665 212 33311 9 1566 176 52069 35 74351 314 63819
LR999924.1 4000001 6000000 2768 342240 450 86360 197 38404 14 3074 132 27261 45 56966 213 46981
LR999924.1 6000001 8000000 2514 306115 351 67462 240 42705 17 2631 119 21642 27 50503 188 42948
LR999924.1 8000001 10000000 2697 313682 400 71839 209 23457 5 2293 128 26234 22 55091 204 47703
LR999924.1 10000001 12000000 2546 309292 300 56214 185 29984 20 4063 145 23785 34 68915 222 56991
LR999924.1 12000001 14000000 2392 273709 314 54575 169 25168 4 1677 110 22728 27 51258 183 39099
LR999924.1 14000001 16000000 2427 304603 393 70491 189 32519 9 2768 118 28371 35 66815 239 57475
LR999924.1 16000001 17040296 1267 155611 199 37826 90 15136 4 1335 49 10472 15 34277 133 32764
LR999925.1 1 2000000 3679 522751 579 107950 257 41806 21 5159 207 52647 56 136343 451 114732
LR999925.1 2000001 4000000 2719 380574 436 78898 203 31833 0  137 40876 43 91507 252 71168
LR999925.1 4000001 6000000 2912 379776 421 73295 231 37905 16 3606 149 33245 25 86886 264 82473
LR999925.1 6000001 8000000 2426 297907 348 62108 159 22218 13 3732 131 32950 29 59937 190 48196
LR999925.1 8000001 10000000 2284 294622 261 47895 207 36443 11 3557 122 28592 39 64221 198 50277
LR999925.1 10000001 12000000 2868 384085 421 78126 220 41760 13 4254 122 28541 57 95410 246 69116
LR999925.1 12000001 14000000 3287 413530 605 106678 201 25662 10 3143 173 46221 40 82472 349 73550
LR999925.1 14000001 16000000 2930 367652 425 79414 228 27959 9 1991 115 28359 72 93824 329 67076
LR999925.1 16000001 16607008 847 131807 110 20102 43 6098 7 1733 57 19901 5 43920 115 43580
LR999926.1 1 2000000 2551 336522 327 60281 164 19317 9 977 110 29317 50 98244 267 80142
LR999926.1 2000001 4000000 3609 508698 617 116867 264 40442 12 3934 190 53654 67 125408 369 97435
LR999926.1 4000001 6000000 2569 311394 349 65918 198 27285 14 5292 111 19541 38 75041 220 60419
LR999926.1 6000001 8000000 2833 394868 389 71425 234 31184 11 2896 160 46917 70 98717 244 60073
LR999926.1 8000001 10000000 2682 335113 418 79384 220 27143 9 1035 118 21598 32 67528 210 62117
LR999926.1 10000001 12000000 3102 418273 455 85750 228 32504 14 2618 149 42764 50 91980 283 67578
LR999926.1 12000001 14000000 4019 554898 632 120075 316 42272 16 4176 182 47213 84 133007 406 102560
LR999926.1 14000001 16000000 3894 564572 695 127023 239 41953 13 1852 227 52653 49 149714 469 124011
LR999926.1 16000001 16362069 409 54750 63 9048 22 1688 0  11 1608 5 21473 44 21145
LR999927.1 1 2000000 3215 528466 451 83226 234 29235 40 4005 178 45418 64 215532 469 191980
LR999927.1 2000001 4000000 3898 623800 564 104623 328 69298 10 2334 185 61445 88 169495 416 128523
LR999927.1 4000001 6000000 2896 472474 247 43800 298 64034 34 8391 188 71244 70 124978 261 95055
LR999927.1 6000001 8000000 2134 294487 266 49944 172 36073 11 2771 137 25171 44 76282 173 45663
LR999927.1 8000001 10000000 2958 423801 471 89154 221 43273 9 3666 186 47594 49 95148 258 77057
LR999927.1 10000001 12000000 3360 449314 510 95794 255 39482 13 2101 179 32208 56 109614 343 95997
LR999927.1 12000001 14000000 3148 393467 596 109643 189 25885 11 1458 161 35964 43 72175 297 65320
LR999927.1 14000001 16000000 3753 519781 704 122092 283 42518 15 3474 213 58055 49 123124 436 101622
LR999927.1 16000001 16090551 114 19076 5 504 9 1472 0  11 3727 16 6442 15 2745
LR999928.1 1 2000000 3748 532088 657 122879 261 39470 9 2928 185 52477 104 123651 372 84904
LR999928.1 2000001 4000000 3085 440585 537 95011 207 37496 13 4629 173 60697 32 99652 350 93936
LR999928.1 4000001 6000000 3065 441764 504 94865 243 44306 14 5710 172 42998 54 103564 310 88446
LR999928.1 6000001 8000000 2032 261676 244 47563 132 23298 7 2329 113 31464 24 62492 180 55867
LR999928.1 8000001 10000000 2286 297329 350 63580 163 26259 12 2224 116 30282 46 71869 187 49991
LR999928.1 10000001 12000000 2844 393390 473 90145 179 25169 5 472 158 49427 53 94031 291 82140
LR999928.1 12000001 14000000 3356 488989 574 104271 194 34118 8 3069 207 52989 36 119715 338 107732
LR999928.1 14000001 16000000 3085 392909 543 94015 175 21363 10 1592 150 31379 49 93925 346 77132
LR999928.1 16000001 16000791 0  0  0  0  0  0  0 
LR999929.1 1 2000000 3494 491085 595 111347 250 39076 18 4527 190 60101 55 120206 401 97802
LR999929.1 2000001 4000000 3387 486272 566 101385 234 34190 16 1961 175 46739 65 130799 349 109132
LR999929.1 4000001 6000000 3155 449088 455 86715 289 52304 14 5429 140 33837 52 112090 302 89739
LR999929.1 6000001 8000000 3362 457765 570 111368 248 40527 13 2460 197 45248 38 90752 320 82171
LR999929.1 8000001 10000000 2968 428754 441 83788 248 46880 17 4443 145 33953 40 110560 253 89362
LR999929.1 10000001 12000000 3949 576725 601 111187 299 48092 8 850 202 50828 72 150059 448 125309
LR999929.1 12000001 14000000 2948 384418 410 76500 252 34687 25 4577 147 35546 52 88255 285 67602
LR999929.1 14000001 15952094 3882 540384 699 130424 212 25912 7 1383 200 50833 60 139128 461 116950
LR999930.1 1 2000000 3309 476990 509 94785 232 32321 12 3581 185 47193 51 138718 412 120870
LR999930.1 2000001 4000000 2329 299257 380 69462 148 18547 5 1355 130 33190 18 66477 229 61325
LR999930.1 4000001 6000000 3043 402298 441 80799 196 32447 13 3647 168 39451 49 80142 250 66421
LR999930.1 6000001 8000000 2462 324854 294 55000 174 36964 12 3979 120 28071 43 76603 246 62498
LR999930.1 8000001 10000000 2504 324156 331 62039 199 33001 20 4806 134 31577 51 81304 226 56586
LR999930.1 10000001 12000000 3555 496474 579 101721 250 42920 14 3366 197 52893 59 116094 355 94394
LR999930.1 12000001 14000000 3801 514353 646 119163 293 41624 11 2927 175 46032 53 117809 414 95655
LR999930.1 14000001 15715213 3242 440484 550 97793 214 26691 10 3603 156 43828 61 111904 353 82198
LR999931.1 1 2000000 3292 483066 543 98166 218 33254 11 1624 215 65014 50 122604 370 98923
LR999931.1 2000001 4000000 3709 458399 676 119886 256 34542 6 1970 164 28854 35 87469 351 70434
LR999931.1 4000001 6000000 2481 287676 416 73304 175 24139 9 2864 107 20857 33 49581 192 41007
LR999931.1 6000001 8000000 2332 318893 278 48057 181 34051 13 3640 125 26059 46 86956 196 69688
LR999931.1 8000001 10000000 2121 243328 284 49118 147 24951 10 1819 105 24501 23 41972 165 36036
LR999931.1 10000001 12000000 2125 295280 273 51369 152 23909 11 3482 107 23929 30 90602 206 78902
LR999931.1 12000001 14000000 3089 396636 508 89155 192 30148 10 4871 141 42895 43 73956 310 64745
LR999931.1 14000001 15572524 2153 302510 287 50259 130 15391 7 2469 135 34642 45 94152 251 79321
LR999932.1 1 2000000 3699 493377 714 133212 242 29678 9 1982 161 30865 68 128939 484 101821
LR999932.1 2000001 4000000 4373 601547 856 162868 321 41367 13 3002 220 47728 58 132469 480 109452
LR999932.1 4000001 6000000 3538 466644 604 117710 275 42547 14 3138 167 39267 58 93635 340 85302
LR999932.1 6000001 8000000 2653 366279 281 51852 219 39041 30 9451 166 37252 53 98140 235 88034
LR999932.1 8000001 10000000 2526 331207 266 46299 211 38658 13 4044 150 42331 48 74298 246 53706
LR999932.1 10000001 12000000 2651 347307 310 51655 217 37572 20 4584 148 37440 35 81647 230 71231
LR999932.1 12000001 14000000 3594 496108 671 123618 264 38585 11 3836 214 61668 75 110094 425 82838
LR999932.1 14000001 15426761 2459 321216 458 88833 160 18844 7 774 115 25894 29 75201 309 67362
LR999933.1 1 2000000 4105 578912 794 145387 259 45215 19 2753 226 51761 80 135599 497 103082
LR999933.1 2000001 4000000 3470 463407 631 113276 207 26348 10 825 184 47220 38 102945 359 88762
LR999933.1 4000001 6000000 3250 424628 499 93128 255 42765 9 2199 197 50395 30 77755 312 69953
LR999933.1 6000001 8000000 2374 307874 315 57019 167 26253 13 3409 117 28215 44 82371 211 61392
LR999933.1 8000001 10000000 2620 355343 349 65060 188 31275 20 5919 168 47325 40 89115 282 76089
LR999933.1 10000001 12000000 2974 388762 415 74932 243 36889 14 2899 132 30227 57 84453 250 58749
LR999933.1 12000001 14000000 3834 512768 702 127428 235 35210 13 3172 198 43767 60 116582 405 95278
LR999933.1 14000001 15296561 1786 266893 283 54956 111 16919 8 1018 105 30363 31 69327 203 61515
LR999934.1 1 2000000 4020 522004 753 136714 262 34346 16 3172 194 38007 44 114507 478 103261
LR999934.1 2000001 4000000 3982 709931 313 53884 466 96532 45 8761 254 112257 74 197044 400 154552
LR999934.1 4000001 6000000 4165 670321 393 71253 431 79626 39 10606 233 96130 92 176860 464 143600
LR999934.1 6000001 8000000 4151 591299 676 125157 347 61944 18 5840 212 58304 86 125698 386 94601
LR999934.1 8000001 10000000 3516 455523 545 106108 295 40914 11 1984 138 28606 54 93615 332 76518
LR999934.1 10000001 12000000 3590 462941 598 114393 255 36700 16 3724 175 34977 56 98764 383 87710
LR999934.1 12000001 14000000 4191 547000 787 144395 251 30870 12 1557 215 46674 52 125325 487 108622
LR999934.1 14000001 14945938 1655 239886 279 50326 117 18358 7 3160 70 21045 45 68907 231 55807
LR999935.1 1 2000000 2857 398720 391 70040 187 27108 16 3214 144 35196 52 126784 301 109379
LR999935.1 2000001 4000000 2893 391726 492 90862 195 30537 10 3883 153 37150 48 101399 300 88807
LR999935.1 4000001 6000000 2587 313498 464 81853 172 22446 9 1534 106 23754 27 63829 259 59612
LR999935.1 6000001 8000000 2253 276299 246 44450 149 18436 10 3022 92 20950 27 54471 194 47379
LR999935.1 8000001 10000000 2991 366736 422 77109 262 39083 12 2778 142 31282 42 67772 265 56782
LR999935.1 10000001 12000000 2978 381816 499 90805 247 41870 19 3340 142 35882 51 72718 274 53224
LR999935.1 12000001 14000000 2978 353155 519 92028 230 26587 4 698 132 22482 40 77009 283 61729
LR999935.1 14000001 14868897 1303 170584 178 29253 84 14702 5 1076 75 19764 15 46077 169 42035
LR999936.1 1 2000000 3172 399605 481 89130 251 35379 17 4206 157 35562 31 95971 411 88546
