"chrom" "rpt_dens" "SINE_dens" "DNA_dens" "TcM_dens" "LINE_dens" "LTR_dens" "nonLTR_dens" "genes_dens" "rpt_dens_sd" "SINE_dens_sd" "DNA_dens_sd" "TcM_dens_sd" "LINE_dens_sd" "LTR_dens_sd" "nonLTR_dens_sd" "genes_dens_sd" "rpt_prop" "SINE_prop" "DNA_prop" "TcM_prop" "LINE_prop" "LTR_prop" "nonLTR_prop" "genes_prop" "CDS_prop" "rpt_prop_sd" "SINE_prop_sd" "DNA_prop_sd" "TcM_prop_sd" "LINE_prop_sd" "LTR_prop_sd" "nonLTR_prop_sd" "genes_prop_sd" "CDS_prop_sd" "chr_length" "chr_type" "rr_mean" "rr_sd" "GC"
"1" "LR999924.1" 1.31554695458472 0.199587967698083 0.0968904264854533 0.00692722883145224 0.0658446642964011 0.0161021081179459 0.119983136423565 0.0275547651822174 0.122180108269171 0.0388294449993427 0.0117531991844454 0.00542166935637239 0.0129405759514992 0.00338481557050134 0.0275149780128217 0.0069124762601171 0.164221598645001 0.036585978333517 0.0158336338982153 0.00163786540027496 0.0144823739696309 0.00438243263883014 0.0299007646917587 0.150004943675005 0.0283807533492604 0.0230815740758336 0.00687794135064279 0.00301782641617168 0.0011078726947669 0.00509911916139761 0.00144583684347282 0.0121345773801124 0.0204789275354202 0.00726298745741076 17040296 "Z" 2.696662868 1.58658889980036 0.327737555555556
"2" "LR999925.1" 1.43865208439501 0.214357413557793 0.102648807118046 0.00644799702438481 0.0746559122779271 0.0209707915253542 0.147661538416481 0.0351345967982849 0.209379543453793 0.0538761236716266 0.0179258992385455 0.00341039615910199 0.0163239310523454 0.00874023263788398 0.0436937357082431 0.0119997022682796 0.193065623716473 0.038922059137423 0.0158709995665442 0.00173066523157667 0.0198334333181038 0.00750734715705742 0.0400098633794319 0.144009621581411 0.0353753002325432 0.0345998374043309 0.00974919492456937 0.00410579399215075 0.000846207787484614 0.00648213500485621 0.00464754169332313 0.0153664639461195 0.0472155880839727 0.0115788994476552 16607008 "Autosome" 2.82472903044444 1.62329526956667 0.329114888888889
"3" "LR999926.1" 1.52879099333737 0.23499999815873 0.11025132210834 0.00544444444444444 0.0726534388319476 0.0259788358327035 0.150613755327791 0.0382962958871253 0.3188918484188 0.0702544500563081 0.0280001609980264 0.00235112266327765 0.0253501788080375 0.00932137134840162 0.0456898563999226 0.0162005181948752 0.207042585701436 0.0431501346561935 0.0150791216437874 0.00126555555555556 0.017918849159353 0.0103953227417365 0.0428408856253918 0.157802517258067 0.0384194704618917 0.0521650901127493 0.0141580945961721 0.00549746350528836 0.000865272408133865 0.00817343687356976 0.00597588249902845 0.0125850808617399 0.0620771585258603 0.0165297349047089 16362069 "Autosome" 2.00651370855556 1.25583726382576 0.334230888888889
"4" "LR999927.1" 1.54888433773969 0.21774638908215 0.12104350034787 0.00794444444444444 0.0927753893140636 0.0453551117295471 0.165794722802006 0.0336546114589814 0.278391167756078 0.0954177085722949 0.0264950705472321 0.00637595308779619 0.0149114935978845 0.049778827003752 0.0480182146482865 0.0264981722070392 0.229273423626219 0.0394115471305918 0.0212394480568961 0.00156666666666667 0.0255231806440569 0.0148214800873418 0.047880323161656 0.128600901289513 0.032573503939462 0.0467604906598307 0.0181526072107553 0.00746791418485629 0.00116274325411933 0.00941843518970025 0.0109653468172166 0.0219280955957171 0.0721029297547142 0.0248160954148708 16090551 "Autosome" 2.96279914525 1.86791087292074 0.339241666666667
"5" "LR999928.1" 1.30561111111111 0.215666666666667 0.0863333333333333 0.00433333333333333 0.0707777777777778 0.0221111111111111 0.131888888888889 0.0244444444444444 0.553842756214353 0.101502463024303 0.0379102558683003 0.00217944947177034 0.0305850362831965 0.0140907278417799 0.0604114940314433 0.0142575516052995 0.180485 0.0395738333333333 0.0139710555555556 0.00127516666666667 0.0195396111111111 0.00715283333333333 0.0355637777777778 0.121474944444444 0.0258441666666667 0.0800032079989609 0.0184463468588634 0.00658175634540491 0.000911961313598335 0.00915936298200432 0.00561865816943868 0.0160525741824152 0.0725940026730189 0.0152729984326916 16000791 "Autosome" 3.43049053025 1.86403152055529 0.332865444444444
"6" "LR999929.1" 1.70251671800897 0.272134627354011 0.12732516595 0.00738573661155662 0.087556760330189 0.0272170280990567 0.176894582561086 0.0305187914875001 0.197830922492843 0.0511064829195217 0.0134863173143433 0.00285896548407292 0.0136818378765872 0.00585640755477651 0.0395915243048707 0.0116248960144052 0.239234529371344 0.0509946695465229 0.0201439938683793 0.00160399624768326 0.0223957802393225 0.0102703916530147 0.048808565603078 0.144521336930752 0.0306551173671708 0.0316988418202345 0.00940285811967403 0.00425782599607315 0.00086508796117445 0.00482146976325126 0.00249266167223587 0.00975071202086815 0.0587766166093079 0.0124593078556122 15952094 "Autosome" 2.771799964 1.74371311488376 0.329415125
"7" "LR999930.1" 1.54895553201701 0.238832485382282 0.108845730676015 0.00616627246149604 0.0806813503993382 0.0246955120151258 0.15897566789081 0.0288325449229921 0.302655777522786 0.0687896503967097 0.0235428833324522 0.00205487805287823 0.0145452799593729 0.0075815417145893 0.0440685106376996 0.0125096466038454 0.209500135892962 0.0435624470327082 0.0168091665769791 0.00174138921787702 0.0205945014442448 0.00962726647412012 0.0408496763790051 0.12916904478008 0.0283515075209318 0.0462471733775564 0.0120050024665523 0.00377309474493006 0.000514083940094508 0.00472943257045207 0.00438704792464972 0.0115546699055238 0.041433584546613 0.0122052675887021 15715213 "Autosome" 2.601068723 1.94041894390464 0.32539225
"8" "LR999931.1" 1.36795456206074 0.208938642271914 0.0928962055587069 0.00493143029931499 0.0709811557725033 0.0198270519241678 0.13182700073258 0.0357475618814085 0.290336387441339 0.0736014709112025 0.0181359156651537 0.00101863360970285 0.0196432368269436 0.00568209375312546 0.0409457905558815 0.0153567233279247 0.179251407835111 0.0370610275590388 0.0140355562481081 0.00146313591557267 0.0172605065612671 0.00701672932416294 0.0350386671817092 0.142386734645226 0.0354534682745701 0.0428809562751682 0.0131277412103665 0.00282534854122402 0.000550527675092809 0.0075449568412411 0.00304691588079062 0.0117892007695186 0.0609593315881809 0.017478895312198 15572524 "Autosome" 2.971139122375 2.07934047197135 0.33046975
"9" "LR999932.1" 1.65506052143632 0.271500851491595 0.123330264713221 0.00748827720620342 0.0867002683876276 0.0272282198542713 0.179571808102408 0.0302678294139663 0.32256096930702 0.112881210901388 0.0189633895767193 0.00347391519532047 0.0139012528181627 0.00666417737635426 0.0551837510898251 0.0060703604418093 0.222046376938263 0.0507336255798098 0.0183664422390996 0.00194512343680021 0.0208030374967759 0.00861415785991838 0.042925654166325 0.148460430421774 0.0315017209429698 0.0457628876339876 0.02240085070554 0.00283268833797025 0.00125777107027055 0.00472765548230636 0.00404607478220951 0.00875617580563406 0.0267903632408097 0.00760596576584273 15426761 "Autosome" 4.603095238 4.19985914327978 0.329610125
"10" "LR999933.1" 1.58637376813548 0.258846214379809 0.107826386205508 0.00689627107787447 0.0864979328971024 0.0248011754267636 0.164321003601065 0.0260225843114979 0.302267263946571 0.0866388373099264 0.0186414368427243 0.00194945203289753 0.0180225340866776 0.00786604957328624 0.0454397715180622 0.00761095581933512 0.215211731473394 0.0475626216694587 0.0168783294208198 0.00142164424465953 0.0216091379671878 0.00922283370754442 0.040512155044431 0.133218071318135 0.0257590014074251 0.0433807469193614 0.015554183733145 0.00378139342727891 0.000756127669646758 0.0044905637043657 0.00408396095213469 0.0083887092348989 0.0359813906115497 0.00715359988301358 15296561 "Autosome" 2.864029498 1.7642798822414 0.32692975
