map loess loess_sd 1mb 1mb_sd 2mb 2mb_sd no_overlap_1mb no_overlap_1mb_sd no_overlap_2mb no_overlap_2mb_sd map_length chr_length chr_start rate markers marker_density chr_type
1 LR999924.1 2.66883928571429 2.01854677256618 2.40097345132743 2.73613059832212 2.72815789473684 1.8894694511177 2.40097345132743 2.73613059832212 2.72815789473684 1.8894694511177 42.234 17.040296 0 2.47847807338558 114 6.69002463337491 Z
2 LR999925.1 3.15428571428571 1.99567540383208 3.22913978494624 2.62550229393638 3.10924731182796 1.89731689072338 3.22913978494624 2.62550229393638 3.10924731182796 1.89731689072338 47.819 16.607008 17040296 2.8794470382624 93 5.60004547477788 autosome
3 LR999926.1 2.03844155844156 1.87070635754116 1.84430379746835 2.63139851845632 2.03784810126582 1.654063892734 1.84430379746835 2.63139851845632 2.03784810126582 1.654063892734 44.599 16.362069 33647304 2.72575552639461 79 4.82824024272236 autosome
4 LR999927.1 3.72119047619048 3.34637923543912 4.49464285714286 5.35543962769183 3.33418604651163 2.31560357529536 4.49464285714286 5.35543962769183 3.33418604651163 2.31560357529536 46.694 16.090551 50009373 2.90195158636892 86 5.34475171173442 autosome
5 LR999928.1 3.32213333333333 2.49071643515683 2.85324675324675 3.21196260774855 3.3174025974026 2.40670029763258 2.85324675324675 3.21196260774855 3.3174025974026 2.40670029763258 61.209 16.000791 66099924 3.82537338310337 77 4.81226209379274 autosome
6 LR999929.1 3.03357142857143 2.408335093395 2.1440350877193 3.30650919704988 3.00298245614035 2.19137266579672 2.1440350877193 3.30650919704988 3.00298245614035 2.19137266579672 45.639 15.952094 82100715 2.86100370271138 58 3.63588629806219 autosome
7 LR999930.1 2.94333333333333 2.60729238577219 1.98703703703704 3.18061203890047 2.97875 2.56888943992252 1.98703703703704 3.18061203890047 2.97875 2.56888943992252 46.752 15.715213 98052809 2.97495172353057 56 3.56342608910232 autosome
8 LR999931.1 2.94732394366197 2.73464333414614 14.456301369863 56.1335237404443 2.63342465753425 2.51279736724393 14.456301369863 56.1335237404443 2.63342465753425 2.51279736724393 44.494 15.572524 113768022 2.85721184311548 73 4.6877436181829 autosome
9 LR999932.1 4.35239130434783 4.4865805760847 4.13659090909091 4.45321777739857 4.178125 4.35094103602154 4.13659090909091 4.45321777739857 4.178125 4.35094103602154 49.079 15.426761 129340546 3.18141961232173 48 3.11147621979753 autosome
10 LR999933.1 2.82308823529412 2.06334408858998 2.1331884057971 2.27717736318298 2.612 2.01997962394659 2.1331884057971 2.27717736318298 2.612 2.01997962394659 48.967 15.296561 144767307 3.20117704888046 70 4.57619199505039 autosome
11 LR999934.1 5.03486486486486 5.205137751204 4.11657894736842 4.60345773470556 3.63512820512821 3.13186078183803 4.11657894736842 4.60345773470556 3.63512820512821 3.13186078183803 38.92 14.945938 160063868 2.60405201734411 39 2.60940464225129 autosome
12 LR999935.1 3.88984375 1.77674349176123 5.79938461538462 8.3632678789684 3.62292307692308 1.24553417641403 5.79938461538462 8.3632678789684 3.62292307692308 1.24553417641403 54.505 14.868897 175009806 3.66570566734035 66 4.43879596448883 autosome
13 LR999936.1 2.8709375 1.55293344408124 2.646 2.74338625151472 2.72181818181818 1.46439161333395 2.646 2.74338625151472 2.72181818181818 1.46439161333395 43.365 14.774369 189878703 2.93515073300254 66 4.46719585790771 autosome
14 LR999937.1 4.07238805970149 3.54523670601463 4.45602941176471 4.45875631535511 4.21 2.20180941633974 4.45602941176471 4.45875631535511 4.21 2.20180941633974 57.831 14.615999 204653072 3.95669156791814 69 4.72085418177711 autosome
15 LR999938.1 1.93060606060606 2.31009682034051 2.30384615384615 2.73328253451076 1.84235294117647 1.47931117254454 2.30384615384615 2.73328253451076 1.84235294117647 1.47931117254454 25.563 14.605406 219269071 1.750242341774 68 4.65581032119203 autosome
16 LR999939.1 3.22968253968254 1.30618376449323 2.73484375 2.32893394250068 3.2978125 1.18914998152942 2.73484375 2.32893394250068 3.2978125 1.18914998152942 46.789 13.916383 233874477 3.36215236387214 65 4.670753887702 autosome
17 LR999941.1 4.17333333333333 3.20774360690175 3.79810344827586 3.92881503357667 4.34932203389831 3.08196526217684 3.79810344827586 3.92881503357667 4.34932203389831 3.08196526217684 55.641 13.774036 247790860 4.03955674284574 59 4.28342135885226 autosome
18 LR999942.1 3.55568965517241 2.35968115008502 3.85275862068966 3.4963679365495 3.367 2.21861867240843 3.85275862068966 3.4963679365495 3.367 2.21861867240843 48.927 13.550656 261564896 3.61067390390546 60 4.42782991465505 autosome
