"row.names" "chrom" "begin" "end" "count_rpt" "length_rpt" "count_SINE" "length_SINE" "count_DNA" "length_DNA" "count_TcM" "length_TcM" "count_LINE" "length_LINE" "count_LTR" "length_LTR" "count_nonLTR" "length_nonLTR" "count_simple" "length_simple" "count_gene" "length_gene" "count_gene_ex" "length_gene_ex" "chr_type" "gene_ex_bin"
"1" "0" "LR999924.1" 1 1e+05 181 78340 0 0 22 2312 22 2312 36 10175 0 0 72 61056 44 3570 0 0 0 0 "Z" "0"
"2" "1" "LR999924.1" 100001 2e+05 129 30952 4 1040 17 3193 7 929 11 4408 3 567 19 14690 25 1617 2 16712 0 0 "Z" "0"
"3" "2" "LR999924.1" 200001 3e+05 66 7205 8 1518 6 476 0 0 1 214 0 0 7 2184 27 1164 2 17503 0 0 "Z" "0"
"4" "3" "LR999924.1" 300001 4e+05 58 6967 7 1335 4 1692 0 0 2 130 3 241 8 1325 11 458 5 9990 0 0 "Z" "0"
"5" "4" "LR999924.1" 400001 5e+05 80 7049 8 1691 2 404 0 0 4 490 0 0 5 901 44 1732 4 31592 0 0 "Z" "0"
"6" "5" "LR999924.1" 500001 6e+05 83 9396 13 2367 2 105 0 0 4 532 0 0 13 3013 26 1152 2 10042 0 0 "Z" "0"
"7" "6" "LR999924.1" 600001 7e+05 126 14377 15 2887 9 2023 0 0 11 1137 1 29 10 2711 36 1478 0 0 0 0 "Z" "0"
"8" "7" "LR999924.1" 700001 8e+05 109 10701 16 2591 4 411 1 72 4 1192 1 65 8 1021 39 1606 5 31075 0 0 "Z" "0"
"9" "8" "LR999924.1" 800001 9e+05 110 14101 24 4494 4 2599 0 0 6 804 1 76 10 1193 29 1244 2 8041 0 0 "Z" "0"
"10" "9" "LR999924.1" 900001 1e+06 135 16195 22 3997 15 3043 3 2168 6 614 0 0 12 1384 27 1039 2 12792 0 0 "Z" "0"
"11" "10" "LR999924.1" 1e+06 1100000 131 16196 22 4308 11 2458 2 1600 2 176 3 225 13 1799 32 1357 1 3369 0 0 "Z" "0"
"12" "11" "LR999924.1" 1100000 1200000 99 9340 16 2874 5 251 0 0 8 1326 1 51 6 670 33 1391 0 0 0 0 "Z" "0"
"13" "12" "LR999924.1" 1200000 1300000 101 10745 18 3498 4 499 0 0 7 958 1 113 8 1357 24 1115 1 17895 0 0 "Z" "0"
"14" "13" "LR999924.1" 1300000 1400000 151 13280 23 4072 4 291 0 0 3 328 1 73 9 1104 51 2063 1 4710 0 0 "Z" "0"
"15" "14" "LR999924.1" 1400000 1500000 141 19848 28 6127 9 2184 0 0 8 2590 2 156 17 3544 30 1243 1 8014 0 0 "Z" "0"
"16" "15" "LR999924.1" 1500000 1600000 178 22322 37 6774 9 1918 1 58 10 3095 2 167 21 3855 38 1539 2 8514 0 0 "Z" "0"
"17" "16" "LR999924.1" 1600000 1700000 235 24357 49 7480 12 2012 0 0 12 1002 6 441 30 3250 38 1499 1 20183 0 0 "Z" "0"
"18" "17" "LR999924.1" 1700000 1800000 192 25216 41 7587 8 899 0 0 7 1002 3 204 21 5568 32 1528 2 12659 0 0 "Z" "0"
"19" "18" "LR999924.1" 1800000 1900000 221 29981 53 9014 15 2934 2 1607 12 1996 5 3988 23 2636 31 1478 0 0 0 0 "Z" "0"
"20" "19" "LR999924.1" 1900000 2e+06 205 28638 46 7566 8 654 1 97 8 3464 3 696 28 6863 28 1226 0 0 1 2843 "Z" "1"
"21" "20" "LR999924.1" 2e+06 2100000 148 20221 26 3996 14 1420 0 0 1 234 1 70 15 6505 38 1472 3 46391 0 0 "Z" "0"
"22" "21" "LR999924.1" 2100000 2200000 137 16997 13 2428 3 211 0 0 9 3019 3 253 16 3846 28 1075 0 0 0 0 "Z" "0"
"23" "22" "LR999924.1" 2200000 2300000 162 20451 34 5474 11 2817 1 470 4 1664 2 168 19 2291 27 1173 3 26644 0 0 "Z" "0"
"24" "23" "LR999924.1" 2300000 2400000 148 15634 24 3855 11 1082 1 55 3 294 1 67 21 4092 37 1388 4 27331 0 0 "Z" "0"
