orthogroup gr01 gr02	sp01 sp02	spM01 spM02	spT01 spT02	spV01 spV02	spMs01 spMs02	spVs01 spVs02
OG0000000 -31.4908064014659 -32.6150999426642	-34.8156158201653 -31.6533023258719	-29.8596469351405 -29.7904409417595	-31.5575592453102 -31.4809558198452	-30.4684938748724 -29.8726850992056	-29.5585707122586 -28.2519722455009	-28.3650345272702 -29.9724545399938
OG0000001 -28.6139311654787 -28.9111555620853	-27.8129637530302 -27.4999192549789	-27.2172380205587 -27.283965148332	-29.4025326590313 -26.9304268792029	-30.6906816598304 -27.4791299416577	-26.9231937332158 -26.6806989766353	-27.2398248882435 -27.2249311212742
OG0000002 -35.6071076216049 -35.8646330294116	-33.6569168046446 -33.653965665545	-31.6185174224585 -31.6976380540307	-31.5180407844922 -31.4951648902331	-31.5672656301778 -30.9282575574109	-31.8204331406972 -31.7024670376282	-34.0840642137013 -33.8799187301506
OG0000003 -32.9149053391778 -30.7318174046845	-29.4615221576742 -27.258688728392	-26.7197234351669 -27.085535730295	-28.2535910137111 -27.6097455493054	-27.065341825088 -27.1559806375729	-26.1866836057621 -25.6095913597982	-26.6722024066767 -26.6697811553216
OG0000004 -27.7903252535722 -28.5002906368537	-23.8851595450831 -24.6884843187241	-23.9264763928877 -23.2588182284023	-27.2147500963063 -26.7763962938784	-24.2912760551969 -23.8370533372905	-25.9991631058734 -25.9286107910838	-27.7227727454005 -26.8817089729222
OG0000005 -10.6801929383253 -9.95821852364322	-10.3571105758352 -9.89337880571426	-9.83784257984891 -9.72887570869297	-9.97517819107451 -9.89337880571426	-9.86199908465173 -10.1992989118425	-17.6083312653834 -9.69411924369556	-9.88420439753772 -9.78311402744827
OG0000006 -30.1432734622052 -30.3542298603303	-27.4060153888081 -27.3356768950541	-27.4039873473937 -26.2341015593753	-29.2301550250727 -28.8129496432528	-26.1322556025497 -26.7345289836657	-28.942045685011 -28.5012679421585	-29.0520672755868 -29.6240120880639
OG0000007 -22.4968258679893 -21.4564589179279	-21.8740342092367 -19.8825362666567	-20.6387241430124 -20.1254733825155	-22.057731636019 -19.6831433386987	-19.6920778949056 -18.8939625393913	-20.2885406840016 -19.8869998265924	-19.0344465333483 -19.2541675083646
OG0000008 -30.6954000259302 -30.6244690794479	-29.0614994755 -29.0116210002629	-29.044327327435 -28.8239722944286	-29.4279247771053 -29.3121201329881	-27.3969201424175 -27.8049603892369	-30.1526002403291 -30.2999515402504	-27.4773043846278 -27.338548036566
OG0000009 -31.1847064075479 -29.8249482513483	-28.0940753051836 -26.5329560287703	-26.721106400001 -26.026732999595	-27.8566637785627 -27.5754269597164	-26.9436395111003 -25.0230332490565	-28.4430099991937 -27.7257039617647	-30.1962128335984 -29.4145624747422
OG0000010 -29.644142046199 -29.6458638663592	-30.7662131288255 -28.464382419055	-31.2000409365578 -27.898979615151	-28.6648300686015 -28.464382419055	-30.0019243149043 -27.5627767279098	-30.9435588937292 -27.2669275868974	-26.9020316929577 -27.2053285899386
OG0000011 -29.1726985488334 -29.1731723185973	-27.3072590664921 -27.2198666538866	-27.210751103196 -26.5254281237187	-28.5655306651489 -28.4939436868581	-26.1983493929393 -25.9099257537587	-28.9739833996972 -28.9726900020834	-26.1583351724479 -26.1582854333689
OG0000012 -32.5520539162771 -31.8047032843702	-30.7263255048929 -30.3616982386012	-29.1225935116527 -28.7822732679054	-29.5521272698641 -28.0800187872964	-27.6782687038305 -28.6261807460022	-28.8466410594357 -28.8330687529284	-30.9470019397714 -30.7697960580878
OG0000013 -31.4794722639497 -31.4748774870857	-30.3398446923119 -30.4427902347927	-30.0266819763667 -28.7208575592403	-31.9972624146182 -30.3354895457174	-30.1825906718926 -29.5402842448431	-29.717224083769 -29.4858812688949	-29.8670185006912 -29.0854350564847
OG0000014 -10.3583705576717 -9.85665337032009	-10.3068514139884 -10.0655757924133	-10.0900383706622 -10.3677116591211	-10.0123438244071 -10.0655757924133	-10.1594566269053 -10.3093006252707	-10.1138232328961 -9.92634641167658	-10.1175902079136 -10.0675064754046
OG0000015 -24.2272948905304 -24.2284802237209	-22.2720168719161 -22.2770027295678	-25.4934496495615 -21.4089698747133	-24.3381225180913 -24.2743383898167	-20.7646954362354 -22.2918424568618	-21.7272008926616 -22.2992379725462	-21.0102108955517 -21.161784974
OG0000016 -10.26305204107 -10.2617711071748	-10.1225484558615 -10.0433642163064	-10.4006527245319 -9.97038590370425	-10.2899531871375 -10.0433642163064	-10.2598995166587 -10.0828604711869	-10.0747438437949 -9.93667139257899	-10.217405917069 -10.0076950388315
OG0000017 -30.4764788549737 -30.4037058999916	-28.6604740635488 -28.654936777078	-27.2412854163654 -27.2992396025031	-27.2184186653386 -26.7157582857609	-26.1064736840074 -26.515534011896	-27.5860996925913 -27.2095492727091	-30.1770587352976 -29.5687274342099
OG0000018 -30.8102327557589 -30.7121028691713	-29.454047085709 -29.3570843818729	-27.9612792113245 -27.9470008748465	-28.2551936010144 -27.5024649968866	-26.7723581145556 -28.5000272178437	-28.0369770273592 -28.0420218860205	-29.7438562070071 -29.7432954686782
OG0000019 -30.3956860698327 -30.3080979370375	-28.8560210871816 -28.8162039530938	-27.7386190875194 -27.3651016730354	-26.7578817480705 -25.4127085832141	-25.2061365984612 -26.449310147973	-27.4579067416379 -27.3653496873181	-29.7062880733117 -28.5156655140754
OG0000020 -28.8902081639531 -28.8602225590271	-25.298655988799 -25.0282422018694	-24.8009079286728 -23.0351671945659	-27.5642839376723 -27.4528969712491	-23.4740400432763 -23.707442745295	-25.6110862319989 -25.5026459359924	-27.9549087460438 -28.1284784548915
OG0000021 -14.1907981893236 -13.3326778292696	-14.1053640080149 -13.5193619694098	-14.4147067892058 -13.2353187826333	-12.8891934432198 -13.5193619694098	-13.7377619742006 -13.6185383306806	-13.4030771827132 -12.7082226274251	-13.644883605824 -13.1145697617929
OG0000022 -13.1789326758883 -13.3333737505064	-13.7426898253998 -13.4430197679011	-14.3527082067321 -13.1610314970851	-11.103940526756 -10.7014018042147	-11.4852283368406 -10.899787663366	-12.5645186236456 -12.5598360399195	-12.6403840012198 -11.5563192098269
OG0000023 -29.2256180162533 -29.2201530456199	-27.8321815575996 -27.24017215481	-25.8520328836573 -26.1338268211373	-28.2538578386258 -27.9176869318239	-26.673151424336 -26.0980193247032	-27.0628131613858 -26.3765483507777	-28.4137660396671 -28.3729585094212
OG0000024 -23.5385839178524 -23.3710899848736	-21.7246794958438 -21.8739048968601	-21.7030527199991 -21.1641812190032	-23.3592108543527 -22.7754244973683	-22.0971019318814 -21.2475170238721	-22.3583966947372 -22.3253001988995	-22.4261390374458 -22.3551834787286
OG0000025 -16.2915371796497 -16.5703932920313	-17.5198172442999 -15.9650797541749	-16.694952755685 -15.4533907715629	-17.0874412655248 -15.9650797541749	-15.9188740442384 -16.3318581100331	-15.8689652950767 -15.3837186874084	-17.0169555980058 -15.0713314710207
OG0000026 -24.0796359481567 -24.0796009544015	-18.0144128788987 -17.2636240680028	-23.340566584271 -18.262029334426	-24.0644193183221 -24.5839895271003	-18.4281077595039 -17.7323124916435	-20.4893978736825 -19.7666209887445	-19.0542216892636 -19.3737288219341
OG0000027 -29.155818828623 -29.1882890950593	-28.0083600793143 -28.0083588041491	-26.7095580297818 -27.036404091507	-26.8820801447171 -26.9640561471157	-26.2832359510737 -25.2511493842288	-27.45654373225 -27.5149897832882	-28.1129747265775 -28.0084986465176
OG0000028 -29.0708511294589 -29.021499774078	-27.5419880880994 -27.5426774068526	-26.1178320329138 -26.054953819753	-26.1025309943197 -24.5934717459205	-25.261914507685 -25.7422679876593	-25.9884985294088 -25.9814951880565	-27.2772146048194 -28.7285852851347
OG0000029 -27.8803352846573 -27.7833433745798	-26.5870842987613 -26.1015333793052	-26.2823185896714 -25.533059176858	-27.0555404607395 -25.9908737017816	-25.1276336630807 -25.0999423667155	-27.4953370963027 -27.4953378720355	-27.5731783246801 -27.3535619707864
OG0000030 -27.7517381240486 -27.7209818120399	-23.9542425084007 -24.1155442801204	-23.23500829027 -23.4311510368525	-27.1427079381057 -26.3268894110956	-24.0843678128861 -23.738975270198	-25.714345809528 -26.279085937864	-25.9533801217489 -25.952353340076
OG0000031 -28.4106150950863 -28.3937020012147	-27.4334102054405 -27.3145659711367	-27.317083308164 -26.3352712166495	-27.5279697620152 -27.2135440059408	-25.9058630773485 -26.5102245745186	-32.6328893208948 -27.0048774183294	-27.2657173612373 -27.2653801243203
OG0000032 -28.0953071211426 -28.0946598050128	-26.9848338196963 -26.9650692551202	-25.3792265993534 -26.2941096068874	-26.2959269913595 -26.270687552492	-25.2938400352607 -25.0755957771794	-25.7184352583678 -25.709796221577	-27.285954362471 -26.9093685988907
OG0000033 -9.82182613763843 -9.59922155040531	-9.97293716888215 -9.67530546477958	-10.2915434421959 -9.55965113936883	-9.87810993073772 -9.67530546477958	-9.58043806751225 -9.71857275667805	-9.39585424208267 -9.22436531938595	-9.65076067120243 -9.58837306937017
OG0000034 -28.399077342413 -28.4061847147215	-26.8565839611412 -26.6914887455266	-33.0013101088024 -25.4215939141757	-23.7681212966765 -23.9082864930343	-27.2044507215035 -24.3331687283431	-27.4476264576655 -27.1854200028361	-27.3665664136929 -26.5624039290027
OG0000035 -27.027146024638 -27.0273981939789	-25.847492560036 -25.8404960362099	-24.6121951759246 -24.6660320095638	-21.702579616294 -21.6391342073919	-22.4400269294251 -20.9414438504474	-24.6718450124103 -24.6092231994578	-25.5572545589736 -25.0581549226971
OG0000036 -27.8301471570455 -27.8297965647751	-26.9252527446262 -26.956104043984	-25.4918029869529 -25.3486853464006	-26.83011379799 -26.8011877190011	-25.9496614667041 -26.0581903354702	-27.1094829910655 -26.1248693495195	-26.6695989596085 -26.6486220124562
OG0000037 -16.5064880607227 -16.4550697273953	-17.3165702334707 -16.2439956266049	-16.5181372647974 -16.0465846457792	-17.8803949621238 -16.2439956266049	-16.8987753149841 -16.1974276790861	-15.5649426961092 -15.5776264175907	-16.4997930795927 -15.7541260451249
OG0000038 -26.4278282862967 -25.3633053637337	-24.0527819751899 -24.1387038297031	-19.7767924655071 -19.315468663522	-24.92230342353 -25.3039565145471	-23.7463006954426 -25.1963426923801	-20.8260233002031 -20.9471105790608	-23.8751853956586 -23.6717285716037
OG0000039 -25.1501669957415 -25.1383599207506	-24.3782113880588 -25.3674612193165	-22.9470790478045 -23.0953922897135	-24.3392195367263 -24.4599293136674	-25.0095939941301 -24.1421750506463	-24.6286617927146 -22.9158591605245	-25.0894189042297 -24.3889806073827
OG0000040 -27.8715769491703 -27.8715771657593	-26.5836778098895 -26.583333419512	-27.0770135152347 -25.6702049756639	-25.1189703248545 -25.1112726632966	-25.6172963787277 -25.4263700184908	-25.590712979926 -25.5907462813192	-27.4988710772496 -27.6634645526911
OG0000041 -27.6415662978883 -27.6513098314501	-26.4087948920611 -26.4036014274897	-25.3855554559053 -25.4592237017037	-23.7677833305212 -23.462884802161	-23.4940062547398 -23.3366621491282	-25.2528015673003 -25.2471576590563	-26.3458853019875 -26.300356627233
OG0000042 -26.2093502713153 -26.208684299367	-24.5768818581808 -24.3945086228746	-23.6054437197957 -23.1793673062915	-25.0580757939214 -24.3945086228746	-22.8738976558745 -22.7881404613038	-24.6133013570065 -24.3370355187594	-22.584779610803 -22.4238343354268
OG0000043 -23.4148232311914 -23.4124294513342	-21.1011990004958 -21.4093724525765	-19.5827613849073 -20.0223200923465	-23.6258381456539 -23.3180454190851	-21.0158366017236 -21.2097369420656	-19.6938987795737 -19.6857070227696	-21.8465044404667 -21.1396307957321
OG0000044 -27.2364668107654 -27.2364959949179	-26.1370500896482 -25.964150380248	-25.2082717780163 -24.8981437907793	-26.3257397364111 -26.2612816587064	-25.1046833260515 -25.0967076582667	-25.4361508685987 -25.4276346852378	-26.2847005320855 -25.8623230058082
OG0000045 -27.2664148020451 -27.2775612460234	-25.9173999632997 -25.910179773698	-24.5707723139779 -24.4855854145392	-24.5727577222755 -24.3382707028087	-23.2500667474781 -23.5718086104569	-24.5970918104582 -24.4809944425003	-26.3475410306299 -26.3736454219398
OG0000046 -18.9694831694773 -18.9858904160396	-18.3928722751013 -18.7320381141198	-18.701171106683 -17.1414189798418	-19.2291305125184 -18.7320381141198	-18.8900596347115 -17.8090199070449	-17.5938371676852 -18.0748124651783	-18.2578562427043 -17.9343232333734
OG0000047 -25.6211085809436 -25.6211087789113	-24.3809141185373 -24.3181004394263	-23.2543972936539 -23.1844405370005	-24.7647656737847 -24.7678915206914	-23.3173628257991 -23.3432855461268	-24.5584407999951 -24.5543029293279	-24.6657161392465 -24.685407973382
OG0000048 -25.1554795940512 -25.1578553958009	-24.2548576766339 -23.9653337073065	-23.0197259117232 -23.0871259801436	-24.1638682505008 -23.9653337073065	-23.4528960527163 -22.9262437928106	-23.6944054393452 -22.9190295361635	-23.3179776001803 -22.6419271820514
OG0000049 -26.8334770982753 -26.9353483262825	-25.550559670482 -25.5477906314756	-24.2789464758129 -24.2451905245719	-22.2349628938663 -22.178713678258	-22.682135529779 -22.0952911449529	-24.2782555533353 -24.4195140526024	-24.4129310873401 -24.7078626759089
OG0000050 -21.9780160497739 -21.9779256805863	-21.6684429254821 -21.8059396930351	-21.3131656574257 -22.0154649687873	-20.7152282852314 -20.635136015612	-20.3502346288282 -20.2370505047341	-21.287256647179 -21.2872050857556	-20.5312797070901 -20.4477247947507
OG0000051 -25.6088107442485 -25.5502448468626	-25.3422473067603 -24.1261350713233	-23.2839651804681 -23.1894361002909	-24.7872229715864 -24.6900424902998	-24.039863184686 -23.4063784621079	-24.242365260916 -24.2533681620054	-24.657819451054 -24.6597293790109
OG0000052 -25.8772580313722 -25.8772584573909	-25.043339341116 -25.0440373168642	-23.8448226031595 -23.5242799111012	-25.3098910275479 -25.0440373168642	-22.0395982457832 -22.341435210772	-23.7574979026487 -23.6676164281111	-24.2064730428463 -21.9975196201871
OG0000053 -24.8073161769014 -24.8073161557148	-24.3529716374778 -24.1765628982031	-24.4302809620518 -23.6276145614873	-24.2826665735851 -24.2593395819502	-23.6557206568231 -23.8640272559419	-23.8120285503454 -23.7919151612923	-23.9131012374978 -23.6285722974254
OG0000054 -12.9230748837183 -12.5330778669847	-12.2962014545741 -12.3486074758525	-10.3697554275221 -10.2778684788727	-12.6880761125839 -12.3486074758525	-12.1499645987116 -13.0157713537289	-10.9876536829168 -10.2828982318189	-12.4714439981302 -11.982762325449
OG0000055 -26.2991627892925 -26.296881822912	-25.4637711477599 -25.4389349470213	-24.1778262253708 -24.12945857641	-25.5346548149733 -25.4876590758353	-26.2122221906359 -24.564309723122	-24.3012762495311 -24.2939431246632	-24.5887473933035 -24.5362850505016
OG0000056 -26.3459769074536 -26.3459748417256	-25.8519667120278 -25.230674752109	-22.9545106309243 -23.3120190428642	-24.1084813358656 -23.7478108694366	-23.2400053016137 -23.0448571036834	-24.5985106603339 -24.0118714490615	-24.5507619423014 -24.7779137425121
OG0000057 -24.8085548367853 -24.8098134368875	-23.3941765075591 -23.3904293784202	-22.9119954112208 -23.0481890532361	-23.6935739600993 -23.8192538335606	-23.1717432593134 -22.3072003165985	-23.4534476583908 -22.9534140346952	-23.605994202655 -23.5064653412785
OG0000058 -25.1920227644558 -25.192022033015	-23.5719799576535 -23.5893945402841	-22.6083775102723 -22.6460658702972	-23.7301623950885 -23.7205840664661	-22.4993065323471 -22.77174682803	-23.0849409966741 -23.0969000838055	-24.8502323522383 -24.8964760172769
OG0000059 -25.5001022359222 -25.3076516887144	-24.5364167722333 -24.5354212537978	-22.8399671653581 -22.9357791874523	-24.5367745391748 -24.5354212537978	-24.2596297880732 -23.6779803824649	-23.3504702877771 -23.5452687374573	-23.6513078713153 -23.649756531133
OG0000060 -24.962193704323 -24.9632204532753	-23.6704058203814 -23.6567852184334	-23.0691984076482 -23.2503702821825	-24.3428773660954 -24.3196368216252	-23.2406495219377 -23.3365650719417	-24.7376770394811 -24.6044951837549	-24.6044715335446 -24.6044864244188
OG0000061 -23.8943391517382 -23.8943391402875	-22.5365077817832 -22.6061870671386	-22.2528400209441 -21.8979902764758	-23.6022857333927 -23.6593847164678	-21.937050839785 -21.91175436226	-22.8814662818144 -22.8492119626413	-22.4492883387381 -22.3834218294971
OG0000062 -26.1201262531786 -26.1234956249236	-25.2627594798958 -25.1907125826094	-24.2707857174523 -24.1400909139962	-23.3490605778533 -22.8449478954497	-23.2805567478922 -22.8506950604374	-24.4880315939695 -24.2739221817484	-25.041498415202 -25.1564051075785
OG0000063 -26.1757045665588 -26.1159296172008	-26.7124967871432 -25.2000841457269	-24.2176712101102 -24.1542752122457	-23.4910988781788 -23.5132783770038	-23.4080307752302 -22.6658467141895	-24.508850270539 -24.5785316769276	-25.252407258927 -25.2274860274646
OG0000064 -25.9889724591368 -25.9756238036412	-24.7174937042463 -24.6388811163861	-23.3235725547639 -23.3168600505684	-22.988379632691 -22.8397923342235	-22.6437362563535 -22.7691314446926	-23.3255826605027 -23.3136230748196	-25.1760404001007 -25.2033127745413
OG0000065 -24.4920575506136 -24.4921008987793	-23.4257115889932 -23.4085088375729	-22.1547848218727 -22.3819395791122	-23.9581089789424 -23.8812635802663	-22.9319840370073 -22.9161554168301	-22.0864640922682 -22.0891385359752	-26.5739118067586 -23.8975741683096
OG0000066 -23.166482989665 -23.1656156779315	-22.4775359974353 -22.4276523468864	-22.2234762778556 -21.5293064276748	-22.9537299520455 -22.9011386943258	-22.3568848415478 -22.2142484131716	-21.5225482197939 -21.631294164846	-22.7649943271978 -22.7891194854906
OG0000067 -17.9373536081057 -17.9373538089022	-17.6495018941604 -17.7116070879255	-16.0183297787894 -16.1158013882374	-17.7313685644622 -17.7116070879255	-17.2314937506644 -17.2338675224827	-16.8477424357835 -16.7460109611342	-17.1767305811691 -17.1976578315788
OG0000068 -25.0485922049764 -25.0161623679987	-23.9392226526086 -23.9655376925217	-23.0548436705969 -22.9689085979611	-23.8425815310123 -23.3579187388196	-22.5188331564629 -22.5901574151396	-23.2439769875487 -22.9674788336295	-24.4752834004696 -24.4531585128456
OG0000069 -25.7399724670246 -25.739971648076	-24.5019865720803 -24.5032363809353	-23.3550758752558 -23.3583983527747	-22.8404200491954 -22.1343698763928	-23.2630298262791 -21.8725415877099	-23.3569151650812 -23.3528067177837	-24.7274208007111 -24.8027190504447
OG0000070 -20.0769042855184 -19.9758120190052	-21.8554360706815 -20.1831279134159	-20.9766440310949 -19.8988627614759	-20.3571985002 -21.8946161481719	-21.3395108000177 -21.339701580024	-20.6907462285382 -19.3395865233475	-20.2952168239511 -20.2693860588266
OG0000071 -25.1124388754528 -25.1140473142101	-24.5219450874887 -24.2499077091883	-22.7071596710198 -22.7999266482086	-24.4729976445051 -24.4468817242746	-23.5904773021381 -23.51893267938	-22.8339790183928 -23.0025831489631	-23.8432745710063 -23.8117210054737
OG0000072 -25.4583475253397 -25.4827173605607	-20.3572191109326 -20.4535510752699	-19.111981492436 -19.5656306406071	-24.6524579139007 -24.4755364871322	-20.5114203229128 -19.90076893479	-20.8924223851001 -20.7164788038916	-23.5251244967658 -23.4094999955129
OG0000073 -25.5691571564844 -25.5695917880915	-23.9787570725665 -23.9616701398997	-22.9934427013254 -22.6927942510877	-21.8602797500969 -21.881079020715	-22.0369423316275 -21.7218391253513	-23.0406650753847 -22.6124520030051	-24.4300971007887 -24.0768136882644
OG0000074 -25.077183872275 -25.072903126992	-19.8250205171779 -19.7848860391578	-20.2063628392858 -19.6566112117263	-23.8064174764834 -23.7218797875526	-19.1144984849261 -19.3230130232654	-23.1269361032947 -23.1629721164709	-21.620460778343 -21.5524779627132
OG0000075 -25.2508870969956 -25.2482488733871	-23.5822617463087 -23.5583817280218	-22.5896097271051 -22.1878343426382	-21.0283060336831 -22.4681665231349	-22.9796017087078 -21.0901904898698	-22.8424514691172 -22.1718477063611	-23.1795516347254 -23.3624105791951
OG0000076 -25.4854044273343 -25.5075669634091	-24.2799455315792 -24.2397562076022	-22.9709389055376 -22.9354145401068	-21.7074089140696 -23.0830354011062	-22.1524249669601 -21.4340015061373	-22.9633927376513 -23.0880772120112	-24.2037160481378 -24.1834021984329
OG0000077 -25.4085574048939 -25.408557760143	-24.1682656815341 -24.1951575622361	-23.3989525116537 -23.0695036162685	-23.1750080078687 -23.1748144094536	-24.1203809477575 -22.4357541454886	-23.0606437102457 -23.0370474863448	-24.9670489109001 -25.017852207915
OG0000078 -24.4211939597289 -23.6133181460349	-22.8696559535183 -22.7017699043729	-21.3045570847025 -21.1052479376259	-23.3813622482845 -22.7022979561896	-21.8516253105412 -21.9681015053373	-21.7552063617436 -21.5958401423834	-23.0691224731227 -22.543165316982
OG0000079 -23.9443175769956 -23.9384152955301	-23.0256580585717 -22.8780403888903	-21.3653994715326 -21.4149282662867	-20.304904043243 -19.9582597365436	-22.1093381963849 -20.6420559701779	-23.3922933221009 -23.3457269957116	-21.5136459705537 -22.1040664098034
OG0000080 -23.4777785113354 -23.4158045965887	-23.0118251746514 -22.2345282625574	-21.2667325379008 -21.2776025295066	-22.5593595309324 -22.4682458457818	-21.1199967605264 -21.1902023653316	-21.8905527576632 -21.266040514366	-21.220421742965 -21.2137472281412
OG0000081 -24.54541275591 -24.4418155614952	-23.5508201367461 -21.2656945383511	-20.4267082050397 -20.4065214246865	-23.4058639776792 -23.4178699332098	-20.9499702145523 -20.4784982775873	-23.3967240357101 -23.0062855205724	-24.1312569021628 -23.5644884188281
OG0000082 -25.2007838654696 -25.1922900816905	-19.617499877715 -20.0486355497074	-19.7163529527512 -19.2915722866017	-24.2819539687761 -24.2204928113822	-20.4409698319474 -19.7495074250602	-23.1414068902171 -22.6874386183156	-21.8708737286878 -21.8995945449942
OG0000083 -24.9310336717863 -24.9260295493735	-23.7232455175075 -23.6697612452372	-22.6187520182569 -22.4873423083138	-21.8382999493816 -23.256308133196	-21.3756656121563 -22.103532349509	-22.615366187102 -22.6296193736766	-23.2818263155586 -23.4234736705295
OG0000084 -17.2669116740928 -17.2658749650428	-17.589102674456 -17.2473769871728	-17.2269763960327 -18.0321466632055	-17.0698593603998 -17.0698600734775	-17.0323941743136 -17.0929711055433	-17.2699699116264 -17.2795418755204	-16.6561307567331 -18.154456067916
OG0000085 -25.0050522711738 -24.9908991615975	-23.5639551128756 -23.0914359093421	-22.148911574321 -22.3082078552501	-22.9825832414246 -23.0057937924353	-22.0714298156748 -21.5498671195374	-23.5184752226212 -23.5317362144262	-24.4929627242555 -24.4232366077115
OG0000086 -24.1406070157472 -24.1405018623112	-20.7802806733138 -20.7814909005694	-20.3862043919451 -20.2575081999966	-23.5831730307697 -23.5321965783945	-19.9490833180622 -20.3846185052668	-22.4133983746387 -22.4160566030308	-21.5048706976987 -21.4825048446412
OG0000087 -24.1244754693178 -24.124475410306	-23.3063696909738 -23.0341944369284	-21.909490196678 -21.7219667968715	-23.5172963690676 -23.4316950038177	-21.8536791972601 -22.8938985161863	-23.5640377429686 -23.109513314195	-22.09051126971 -21.3609335530649
OG0000088 -12.6131218431778 -12.2635521563532	-12.9034604501131 -12.5194558147009	-9.78899607146119 -9.9467151185091	-12.3874906621125 -12.5194558147009	-13.8625959517428 -12.1709420409	-10.8763308700378 -10.6617833250404	-11.7115535521222 -11.712038090324
OG0000089 -12.992403906884 -12.98276730053	-12.9439704783271 -12.9098192815434	-12.6538220762386 -12.6755333980678	-12.9476685569582 -12.9098192815434	-12.7358136643604 -12.7407185961201	-12.695310229252 -12.6691736742221	-12.8068850068603 -12.675646093848
OG0000090 -20.4622706418224 -19.5427423722142	-19.8770082515762 -19.7238637864803	-19.8198414526547 -20.0544222312574	-18.1166961153502 -17.6786563986391	-16.2490130695313 -16.7295058244865	-21.1269472019848 -20.166389923581	-16.7797630493801 -17.2236768221456
OG0000091 -15.0950015797562 -14.7621523443314	-14.681401704583 -14.9870990573169	-14.6283001620099 -14.5800667912899	-14.6799075965016 -14.9870990573169	-14.5266489669207 -14.9183308208423	-14.5731622457794 -14.4087930522216	-14.7398494944476 -14.4676599142782
OG0000092 -24.6907537485915 -24.6907535466776	-23.6568750885442 -23.4095216816897	-22.4640747208667 -22.3109308243808	-22.8592468024306 -20.5509922703254	-20.7285522623933 -20.0678708725326	-22.4886886891029 -22.2687449584008	-22.6521135627203 -23.1107215596166
OG0000093 -24.6953683181533 -24.696563195941	-22.4268348838692 -22.412768612188	-21.7450147129776 -21.9184178297706	-23.5975262635554 -20.6070072349363	-21.8899502567864 -20.3240353845737	-21.3850211988635 -21.382783540238	-22.6061001795176 -22.7502470752289
OG0000094 -18.5597797735397 -18.5597798147419	-18.4780129054165 -18.38863307903	-17.7422658155469 -18.6883611391381	-18.3917447730153 -18.38863307903	-18.4615622144637 -18.7150352007256	-18.417287905332 -18.298133845798	-18.170211623256 -17.90233426159
OG0000095 -24.6911250015198 -24.6948922056282	-22.4862230294403 -22.5784933350363	-19.5610202269416 -19.5793753742082	-23.1209831233737 -23.2110265431426	-23.6632399797371 -21.2475744359033	-19.4684603370219 -19.5662842481864	-24.1836264683631 -24.0993614433688
OG0000096 -15.4183915161268 -15.4158498505272	-15.0625660717321 -15.8171532673034	-16.1811674350725 -15.9299665372499	-15.7343671203059 -15.8171532673034	-16.3593909962705 -15.9801897926873	-14.7546487141848 -16.0064862395045	-16.1769253950772 -16.053583516182
OG0000097 -20.1910537919586 -21.4210643046875	-20.4046465835356 -20.649004825102	-20.9111766336674 -20.2725299342947	-21.3191516772763 -20.649004825102	-21.4552169688121 -20.5965712419711	-19.7903281758715 -20.9438415836317	-20.1601458165767 -20.164893206749
OG0000098 -23.7687383062618 -23.7659228453661	-22.9200605487426 -22.9037528266018	-21.937501888692 -22.3143396065634	-21.3858432156278 -21.2851856729724	-21.3964304106988 -21.4012560619573	-21.9403722966697 -21.9363062822201	-23.1775995273564 -23.2460140643938
OG0000099 -24.1682937299013 -24.1667558757066	-23.2535957595916 -23.3065478774116	-22.5467225734966 -22.1947811435547	-23.2990432220766 -23.3024910710104	-22.4093328423901 -22.6544732619192	-22.1594980477368 -22.1584144307514	-23.3599812490678 -23.3612999774536
OG0000100 -21.9377213324995 -21.9357408005721	-20.932487992881 -20.9390949479745	-20.2809073172359 -19.9282445303442	-21.1006665970661 -19.9447958178543	-19.6773136820726 -20.3518240317671	-20.0454885556934 -20.2747494321045	-20.9925425873166 -21.0876403295847
