chrom	begin	end	length_gene	length_rpt	length_LINE	length_SINE	length_DNA	length_LTR
LR999924.1	1	100000	6807	87795	81533	0	50	212
LR999924.1	100001	200000	12634	34898	16750	2711	4085	1215
LR999924.1	200001	300000	25794	10577	3534	1514	809	601
LR999924.1	300001	400000	2683	15688	6128	3287	2835	105
LR999924.1	400001	500000	7343	13046	4109	2529	1481	0
LR999924.1	500001	600000	6706	16456	5859	4461	293	357
LR999924.1	600001	700000	0	24316	10325	5439	2210	798
LR999924.1	700001	800000	10256	18682	6959	3697	1695	0
LR999924.1	800001	900000	5638	22796	6732	4262	3259	1122
LR999924.1	900001	1000000	2532	27620	7654	6879	4290	686
LR999924.1	1000001	1100000	2219	28701	7727	7049	3466	1435
LR999924.1	1100001	1200000	0	16153	5740	4327	1498	195
LR999924.1	1200001	1300000	974	18455	6762	5493	1269	398
LR999924.1	1300001	1400000	789	26617	8123	7171	1006	867
LR999924.1	1400001	1500000	879	32528	13688	7764	3000	1155
LR999924.1	1500001	1600000	2840	36153	14442	7030	2595	413
LR999924.1	1600001	1700000	1455	40246	15067	11662	2749	1082
LR999924.1	1700001	1800000	1184	37443	15750	7089	4473	848
LR999924.1	1800001	1900000	0	39814	14986	10301	5229	1140
LR999924.1	1900001	2000000	244	42716	20055	8198	1685	1951
LR999924.1	2000001	2100000	4157	32186	13283	5667	2550	503
LR999924.1	2100001	2200000	0	29618	13915	6133	950	927
LR999924.1	2200001	2300000	5036	33220	10855	6573	4539	536
LR999924.1	2300001	2400000	3678	26324	9636	5937	1783	936
LR999924.1	2400001	2500000	0	31167	10155	8903	1030	442
LR999924.1	2500001	2600000	2273	27552	9563	6736	2235	580
LR999924.1	2600001	2700000	3519	25907	10649	6116	2100	1043
LR999924.1	2700001	2800000	676	38447	16200	8076	2512	2508
LR999924.1	2800001	2900000	0	38119	9990	7910	3214	10729
LR999924.1	2900001	3000000	0	37776	13031	6229	528	6814
LR999924.1	3000001	3100000	0	33381	15776	9320	1377	249
LR999924.1	3100001	3200000	203	38988	15739	8246	4876	191
LR999924.1	3200001	3300000	3098	31964	9792	8183	3504	801
LR999924.1	3300001	3400000	4974	28099	11276	4551	2662	543
LR999924.1	3400001	3500000	0	41296	20155	7533	939	144
LR999924.1	3500001	3600000	543	37071	11340	8979	4162	1188
LR999924.1	3600001	3700000	5748	27194	8959	6682	2512	1621
LR999924.1	3700001	3800000	0	35622	17833	7319	1132	553
LR999924.1	3800001	3900000	0	33897	12242	8775	5486	493
LR999924.1	3900001	4000000	1957	30398	12081	6382	3982	749
LR999924.1	4000001	4100000	6022	35063	11078	4492	6158	323
LR999924.1	4100001	4200000	1946	25055	7423	4901	3338	1636
LR999924.1	4200001	4300000	3811	32336	6496	5212	3864	685
LR999924.1	4300001	4400000	4510	34828	11769	6208	1994	492
LR999924.1	4400001	4500000	644	23960	7673	4902	1959	1077
LR999924.1	4500001	4600000	7545	18053	5191	5102	3360	560
LR999924.1	4600001	4700000	5007	22147	5907	2959	4065	482
LR999924.1	4700001	4800000	2711	29122	9556	4146	1788	1072
LR999924.1	4800001	4900000	2380	35591	16049	8131	2238	1682
LR999924.1	4900001	5000000	0	34878	13628	9537	623	1581
LR999924.1	5000001	5100000	2514	31781	9355	5605	1667	7058
LR999924.1	5100001	5200000	10696	23206	7323	3055	6316	924
LR999924.1	5200001	5300000	8405	22017	10310	2494	2555	118
LR999924.1	5300001	5400000	214	22843	5827	6072	3089	268
LR999924.1	5400001	5500000	4716	25588	7988	5801	821	464
LR999924.1	5500001	5600000	11815	25605	8846	5033	2317	1122
LR999924.1	5600001	5700000	3182	27103	10834	4016	2072	1514
LR999924.1	5700001	5800000	6562	16377	4422	4838	1121	597
LR999924.1	5800001	5900000	7866	25985	8668	3585	5315	535
LR999924.1	5900001	6000000	13510	25056	7294	2713	2701	7230
LR999924.1	6000001	6100000	8352	20678	6168	4609	2588	0
LR999924.1	6100001	6200000	7677	18205	4261	2637	3416	3456
LR999924.1	6200001	6300000	2533	24582	7035	4854	2341	356
LR999924.1	6300001	6400000	3041	24921	7379	5350	3010	100
LR999924.1	6400001	6500000	3483	27248	8060	7818	3326	1146
LR999924.1	6500001	6600000	2967	38322	11967	4664	5767	1447
LR999924.1	6600001	6700000	5493	27762	7138	2454	4188	1939
LR999924.1	6700001	6800000	10708	17058	3780	3536	638	295
LR999924.1	6800001	6900000	0	21370	5337	6676	1239	848
LR999924.1	6900001	7000000	10339	21341	7103	4287	2653	309
LR999924.1	7000001	7100000	8264	29751	7853	7574	3966	838
LR999924.1	7100001	7200000	9263	14738	4130	1899	1222	334
LR999924.1	7200001	7300000	6246	22548	7380	6265	2527	755
LR999924.1	7300001	7400000	6938	18970	5748	4607	2107	46
LR999924.1	7400001	7500000	1164	30773	12300	6886	1813	2971
LR999924.1	7500001	7600000	0	31322	11737	5468	3889	1185
LR999924.1	7600001	7700000	2274	25751	9216	6147	1489	838
LR999924.1	7700001	7800000	0	25737	10266	6554	2435	448
LR999924.1	7800001	7900000	8761	22958	7195	5029	1733	165
LR999924.1	7900001	8000000	4988	24079	9323	4336	2662	306
LR999924.1	8000001	8100000	998	17680	5545	5482	1231	517
LR999924.1	8100001	8200000	9477	15485	3594	4444	478	75
LR999924.1	8200001	8300000	15311	22631	8577	2654	3598	617
LR999924.1	8300001	8400000	15919	18160	5297	2768	2247	730
LR999924.1	8400001	8500000	7867	18256	4667	2744	2276	474
LR999924.1	8500001	8600000	19342	22404	7422	4086	3393	868
LR999924.1	8600001	8700000	9399	14929	3331	1592	863	105
LR999924.1	8700001	8800000	5075	29691	14908	4005	1309	274
LR999924.1	8800001	8900000	3147	31184	8754	7933	4533	448
LR999924.1	8900001	9000000	479	24172	8846	5441	2278	641
LR999924.1	9000001	9100000	516	39859	10153	6596	2865	10237
LR999924.1	9100001	9200000	0	40035	21523	6847	1899	1237
LR999924.1	9200001	9300000	1315	35802	12476	7719	2926	351
LR999924.1	9300001	9400000	9137	25637	9054	5382	599	302
LR999924.1	9400001	9500000	5649	28660	9220	6502	1999	344
LR999924.1	9500001	9600000	0	33783	9670	5990	3101	490
LR999924.1	9600001	9700000	478	28246	8815	7059	2059	825
LR999924.1	9700001	9800000	5722	17097	4496	4182	495	249
LR999924.1	9800001	9900000	3085	22797	6152	3475	1245	753
LR999924.1	9900001	10000000	9642	23206	12423	1261	1691	345
LR999924.1	10000001	10100000	1592	29076	9235	6878	945	2054
LR999924.1	10100001	10200000	0	39502	18954	7062	3486	1017
LR999924.1	10200001	10300000	1164	33458	20695	4130	1240	837
LR999924.1	10300001	10400000	0	17944	6022	3471	314	2440
LR999924.1	10400001	10500000	4119	32580	13220	3635	4014	1158
LR999924.1	10500001	10600000	5304	12894	3758	1789	104	336
LR999924.1	10600001	10700000	7525	20715	5094	2933	775	1728
LR999924.1	10700001	10800000	12649	17121	3141	1639	3261	279
LR999924.1	10800001	10900000	9435	11990	2188	1320	2463	889
LR999924.1	10900001	11000000	6905	21292	5541	4060	4932	585
LR999924.1	11000001	11100000	9418	19750	5555	3538	2058	762
LR999924.1	11100001	11200000	2466	22690	6227	4967	2933	259
LR999924.1	11200001	11300000	1953	27921	13037	5986	2448	585
LR999924.1	11300001	11400000	3042	30406	7804	4757	3123	496
LR999924.1	11400001	11500000	5084	23013	5080	6013	828	6087
LR999924.1	11500001	11600000	0	30274	10188	5633	1258	886
LR999924.1	11600001	11700000	1509	19232	5082	3857	1822	169
LR999924.1	11700001	11800000	8932	20810	4542	4230	4165	457
LR999924.1	11800001	11900000	3153	28188	12042	3883	2758	1424
LR999924.1	11900001	12000000	2431	22475	7051	1718	2210	344
LR999924.1	12000001	12100000	3004	23153	5576	3057	3491	594
LR999924.1	12100001	12200000	1200	14783	4542	3934	1205	103
LR999924.1	12200001	12300000	1054	27870	4057	6265	1964	7499
LR999924.1	12300001	12400000	0	33426	12514	8251	3197	883
LR999924.1	12400001	12500000	6018	15578	2896	3858	910	35
LR999924.1	12500001	12600000	8228	19421	8798	4711	2034	630
LR999924.1	12600001	12700000	3635	21087	4744	2951	777	5884
LR999924.1	12700001	12800000	8392	16948	6312	2775	972	42
LR999924.1	12800001	12900000	4119	26174	8565	4965	3377	697
LR999924.1	12900001	13000000	1995	22021	7037	7333	1251	452
LR999924.1	13000001	13100000	0	25578	8282	6705	2599	1612
LR999924.1	13100001	13200000	0	29542	14065	5464	1198	518
LR999924.1	13200001	13300000	0	27102	8377	4947	2465	923
LR999924.1	13300001	13400000	1869	31233	11842	3860	4969	1060
LR999924.1	13400001	13500000	2402	25910	7848	6857	2958	566
LR999924.1	13500001	13600000	1100	23630	7924	5625	925	502
LR999924.1	13600001	13700000	0	17034	2062	3116	746	6362
LR999924.1	13700001	13800000	2624	14176	3770	2452	1228	34
LR999924.1	13800001	13900000	12980	22519	5401	4535	1478	1289
LR999924.1	13900001	14000000	0	27529	11213	6229	1921	746
LR999924.1	14000001	14100000	5859	23926	9707	2354	3245	905
LR999924.1	14100001	14200000	3372	29689	8571	4406	3422	916
LR999924.1	14200001	14300000	6898	23368	7135	4529	929	429
LR999924.1	14300001	14400000	2489	21539	8250	4645	1430	502
LR999924.1	14400001	14500000	9997	21580	5938	4865	2154	251
LR999924.1	14500001	14600000	1317	29006	13545	6160	1206	0
LR999924.1	14600001	14700000	1693	27658	7837	8681	2029	267
LR999924.1	14700001	14800000	4264	26948	11267	4684	2319	165
LR999924.1	14800001	14900000	14591	18068	6661	4118	3122	200
LR999924.1	14900001	15000000	8665	17635	7867	3102	2287	603
LR999924.1	15000001	15100000	5273	26374	8730	5604	3176	591
LR999924.1	15100001	15200000	6391	24232	8697	4449	3242	385
LR999924.1	15200001	15300000	7479	22197	7920	6586	1342	570
LR999924.1	15300001	15400000	4303	24751	7882	3158	2971	2227
LR999924.1	15400001	15500000	5852	30185	11921	5370	3536	3181
LR999924.1	15500001	15600000	8762	21495	5856	3829	2464	613
LR999924.1	15600001	15700000	4302	24065	12358	4515	199	381
LR999924.1	15700001	15800000	5375	20073	7466	4050	741	169
LR999924.1	15800001	15900000	1682	29427	7340	7038	121	7282
LR999924.1	15900001	16000000	1195	39463	14398	7879	853	7608
LR999924.1	16000001	16100000	488	27596	9119	8548	1495	871
LR999924.1	16100001	16200000	0	26294	9911	7340	1573	827
LR999924.1	16200001	16300000	4212	26439	11412	5046	1841	294
LR999924.1	16300001	16400000	924	41295	19471	7599	2752	1394
LR999924.1	16400001	16500000	5113	27710	10784	7562	2046	813
LR999924.1	16500001	16600000	1794	24579	10497	4252	2945	213
LR999924.1	16600001	16700000	3036	26485	10793	6522	2496	898
LR999924.1	16700001	16800000	10366	16438	5674	2720	1312	1029
LR999924.1	16800001	16900000	1480	19890	10035	2280	1088	0
LR999924.1	16900001	17000000	12360	9453	3846	954	1416	695
LR999924.1	17000001	17040296	6275	5403	2116	178	861	223
LR999925.1	1	100000	1162	29169	12828	2818	1302	7673
LR999925.1	100001	200000	1282	44976	22532	2982	2922	6639
LR999925.1	200001	300000	314	43267	16671	8081	4449	5497
LR999925.1	300001	400000	0	42518	18561	8099	4005	225
LR999925.1	400001	500000	3885	35105	12312	9876	1679	1919
LR999925.1	500001	600000	556	45981	20649	10236	1636	5206
LR999925.1	600001	700000	1989	40323	20860	6802	1783	969
LR999925.1	700001	800000	9004	33862	16247	7667	2871	407
LR999925.1	800001	900000	0	39009	12732	9255	3427	1291
LR999925.1	900001	1000000	0	52859	27754	8955	3576	2977
LR999925.1	1000001	1100000	7124	43609	14197	6240	4075	6362
LR999925.1	1100001	1200000	2560	42081	13074	10401	3241	1874
LR999925.1	1200001	1300000	840	51993	22189	11407	1793	1005
LR999925.1	1300001	1400000	0	44674	21114	9210	3355	661
LR999925.1	1400001	1500000	0	43211	16746	11341	2597	4688
LR999925.1	1500001	1600000	1468	38631	12880	9552	1916	692
LR999925.1	1600001	1700000	608	48098	17407	7863	4003	7525
LR999925.1	1700001	1800000	4084	34647	9255	7141	2941	386
LR999925.1	1800001	1900000	3587	25078	10078	7399	1899	400
LR999925.1	1900001	2000000	6202	20142	4550	7401	3074	438
LR999925.1	2000001	2100000	11002	18479	7786	3191	1599	143
LR999925.1	2100001	2200000	1574	27873	8378	7413	2760	497
LR999925.1	2200001	2300000	389	42666	14614	8429	2355	8158
LR999925.1	2300001	2400000	0	49546	15676	10091	4557	12497
LR999925.1	2400001	2500000	2078	44566	20306	9394	1664	1441
LR999925.1	2500001	2600000	7402	37918	15172	8543	3130	1764
LR999925.1	2600001	2700000	3562	28129	8996	7320	2081	805
LR999925.1	2700001	2800000	2797	30042	13357	6003	1213	258
LR999925.1	2800001	2900000	4686	32160	15761	5395	3707	0
LR999925.1	2900001	3000000	10468	20986	8996	5527	765	321
LR999925.1	3000001	3100000	1878	23962	3602	5951	2243	4336
LR999925.1	3100001	3200000	7735	24308	6111	8456	2920	250
LR999925.1	3200001	3300000	2443	25921	11468	6547	2390	257
LR999925.1	3300001	3400000	0	39687	10494	4344	451	10876
LR999925.1	3400001	3500000	10419	16878	4731	3267	2546	45
LR999925.1	3500001	3600000	10340	17356	7331	2178	1281	0
LR999925.1	3600001	3700000	572	24756	11080	4121	2467	471
LR999925.1	3700001	3800000	11634	21808	8106	5059	554	2156
LR999925.1	3800001	3900000	0	22438	8445	6966	1856	268
LR999925.1	3900001	4000000	5189	28841	13715	3373	818	81
LR999925.1	4000001	4100000	2846	34665	11900	8239	2796	665
LR999925.1	4100001	4200000	1533	34644	14623	8353	1841	727
LR999925.1	4200001	4300000	2274	33500	12019	7259	1524	1344
LR999925.1	4300001	4400000	4072	49700	29292	3458	3778	1443
LR999925.1	4400001	4500000	416	35272	14383	9305	1932	0
LR999925.1	4500001	4600000	15079	20077	4944	3720	1787	359
LR999925.1	4600001	4700000	12949	22886	8633	2696	1982	791
LR999925.1	4700001	4800000	5901	20352	6652	4506	632	454
LR999925.1	4800001	4900000	4417	19651	8312	3975	982	181
LR999925.1	4900001	5000000	4863	20365	6841	6125	2008	669
LR999925.1	5000001	5100000	10284	26341	9674	4216	3116	1007
LR999925.1	5100001	5200000	7943	17835	5915	5062	2949	185
LR999925.1	5200001	5300000	5955	19898	4834	3354	2498	660
LR999925.1	5300001	5400000	15282	26623	10269	3729	3063	20
LR999925.1	5400001	5500000	11141	18576	5486	3851	1361	1378
LR999925.1	5500001	5600000	1509	30781	11122	7571	975	1057
LR999925.1	5600001	5700000	5827	31362	10738	8235	2592	334
LR999925.1	5700001	5800000	1870	38371	17150	6073	3525	3753
LR999925.1	5800001	5900000	614	32225	13291	7736	1708	948
LR999925.1	5900001	6000000	1349	42384	10926	5912	2577	5216
LR999925.1	6000001	6100000	414	28180	11100	6592	2033	384
LR999925.1	6100001	6200000	16453	19908	4065	2855	1538	4634
LR999925.1	6200001	6300000	13443	19482	5566	2279	3908	221
LR999925.1	6300001	6400000	10790	19279	6351	4495	1498	308
LR999925.1	6400001	6500000	8927	23187	10822	3198	1336	816
LR999925.1	6500001	6600000	11476	18372	5746	3160	3277	925
LR999925.1	6600001	6700000	11969	21208	5163	4102	1533	0
LR999925.1	6700001	6800000	2697	30253	11550	8564	3806	82
LR999925.1	6800001	6900000	1529	37202	7453	7174	1790	1430
LR999925.1	6900001	7000000	370	44720	10937	10678	2740	13785
LR999925.1	7000001	7100000	5104	21240	7899	7248	1248	347
LR999925.1	7100001	7200000	2193	30502	13896	9998	1539	20
LR999925.1	7200001	7300000	12027	25577	12616	4237	1444	1057
LR999925.1	7300001	7400000	0	18746	5859	4421	929	249
LR999925.1	7400001	7500000	8937	19760	4307	2578	3850	773
LR999925.1	7500001	7600000	10158	13956	5383	2296	2195	54
LR999925.1	7600001	7700000	7057	24734	10958	4510	573	495
LR999925.1	7700001	7800000	8113	22566	7260	4669	1347	1987
LR999925.1	7800001	7900000	2246	25943	12525	5757	557	755
LR999925.1	7900001	8000000	9297	19367	7468	3606	912	70
LR999925.1	8000001	8100000	19945	17664	5416	2387	2110	866
LR999925.1	8100001	8200000	6870	8410	2445	2550	683	61
LR999925.1	8200001	8300000	13778	21903	8576	4033	2261	27
LR999925.1	8300001	8400000	3344	17949	5674	4449	1109	3475
LR999925.1	8400001	8500000	0	23633	7300	5144	961	813
LR999925.1	8500001	8600000	5591	16711	5649	5109	439	140
LR999925.1	8600001	8700000	5948	23100	7257	5684	1961	171
LR999925.1	8700001	8800000	3676	33488	7335	3212	2928	454
LR999925.1	8800001	8900000	10147	16036	7175	1649	503	207
LR999925.1	8900001	9000000	9646	25550	8077	3358	1534	4106
LR999925.1	9000001	9100000	846	19750	5159	4943	1843	403
LR999925.1	9100001	9200000	1192	28596	10094	7435	997	4814
LR999925.1	9200001	9300000	2752	24980	10226	4053	3487	356
LR999925.1	9300001	9400000	7456	17159	7451	3356	917	262
LR999925.1	9400001	9500000	316	15722	3061	1886	6508	1160
LR999925.1	9500001	9600000	8339	13956	3641	2996	684	318
LR999925.1	9600001	9700000	0	24197	10351	4522	2202	2688
LR999925.1	9700001	9800000	0	35279	15996	5619	933	1724
LR999925.1	9800001	9900000	0	44750	11875	5157	1380	11242
LR999925.1	9900001	10000000	1310	36076	11446	5591	2989	425
LR999925.1	10000001	10100000	588	46323	13796	6554	707	15669
LR999925.1	10100001	10200000	1593	26658	8788	7035	2927	1047
LR999925.1	10200001	10300000	11028	12904	4284	3834	435	0
LR999925.1	10300001	10400000	0	31957	8388	3905	2811	10659
LR999925.1	10400001	10500000	15559	27722	6443	5320	1695	4487
LR999925.1	10500001	10600000	6669	17328	3401	3942	1267	295
LR999925.1	10600001	10700000	1337	28887	10501	6740	3390	1569
LR999925.1	10700001	10800000	6431	35406	8962	6994	3911	4943
LR999925.1	10800001	10900000	4041	25909	10462	4120	3350	233
LR999925.1	10900001	11000000	18415	27736	13179	3264	2678	683
LR999925.1	11000001	11100000	4998	26017	9263	6213	2474	720
LR999925.1	11100001	11200000	502	29415	6588	8287	2262	144
LR999925.1	11200001	11300000	1931	18998	4907	3066	2177	92
LR999925.1	11300001	11400000	5937	25863	6478	8766	1305	1033
LR999925.1	11400001	11500000	0	37547	15476	9577	2241	237
LR999925.1	11500001	11600000	7441	26042	6355	4827	1213	384
LR999925.1	11600001	11700000	11215	49184	20342	1339	592	13019
LR999925.1	11700001	11800000	6515	43499	12433	7629	7588	2245
LR999925.1	11800001	11900000	8840	36048	11702	8420	4100	855
LR999925.1	11900001	12000000	1351	27356	7857	6827	1650	877
LR999925.1	12000001	12100000	0	39425	16714	10400	1135	1166
