chrom begin end CDS_length
LR999927.1 1 100000 3543
LR999927.1 100001 200000 10357
LR999927.1 200001 300000 8905
LR999927.1 300001 400000 5880
LR999927.1 400001 500000 5655
LR999927.1 500001 600000 2113
LR999927.1 600001 700000 
LR999927.1 700001 800000 11760
LR999927.1 800001 900000 5054
LR999927.1 900001 1000000 4783
LR999927.1 1000001 1100000 1990
LR999927.1 1100001 1200000 10357
LR999927.1 1200001 1300000 6160
LR999927.1 1300001 1400000 
LR999927.1 1400001 1500000 14414
LR999927.1 1500001 1600000 2496
LR999927.1 1600001 1700000 
LR999927.1 1700001 1800000 13927
LR999927.1 1800001 1900000 2938
LR999927.1 1900001 2000000 
LR999927.1 2000001 2100000 
LR999927.1 2100001 2200000 6569
LR999927.1 2200001 2300000 4090
LR999927.1 2300001 2400000 7351
LR999927.1 2400001 2500000 8715
LR999927.1 2500001 2600000 5164
LR999927.1 2600001 2700000 6915
LR999927.1 2700001 2800000 1172
LR999927.1 2800001 2900000 
LR999927.1 2900001 3000000 8355
LR999927.1 3000001 3100000 4070
LR999927.1 3100001 3200000 5037
LR999927.1 3200001 3300000 598
LR999927.1 3300001 3400000 
LR999927.1 3400001 3500000 1878
LR999927.1 3500001 3600000 210
LR999927.1 3600001 3700000 848
LR999927.1 3700001 3800000 
LR999927.1 3800001 3900000 416
LR999927.1 3900001 4000000 645
LR999927.1 4000001 4100000 770
LR999927.1 4100001 4200000 201
LR999927.1 4200001 4300000 1423
LR999927.1 4300001 4400000 246
LR999927.1 4400001 4500000 1551
LR999927.1 4500001 4600000 
LR999927.1 4600001 4700000 333
LR999927.1 4700001 4800000 2146
LR999927.1 4800001 4900000 
LR999927.1 4900001 5000000 17433
LR999927.1 5000001 5100000 1099
LR999927.1 5100001 5200000 6274
LR999927.1 5200001 5300000 6959
LR999927.1 5300001 5400000 2293
LR999927.1 5400001 5500000 1410
LR999927.1 5500001 5600000 4087
LR999927.1 5600001 5700000 3389
LR999927.1 5700001 5800000 13352
LR999927.1 5800001 5900000 1951
LR999927.1 5900001 6000000 566
LR999927.1 6000001 6100000 
LR999927.1 6100001 6200000 6483
LR999927.1 6200001 6300000 
LR999927.1 6300001 6400000 7345
LR999927.1 6400001 6500000 6414
LR999927.1 6500001 6600000 840
LR999927.1 6600001 6700000 1017
LR999927.1 6700001 6800000 1327
LR999927.1 6800001 6900000 
LR999927.1 6900001 7000000 10691
LR999927.1 7000001 7100000 4166
LR999927.1 7100001 7200000 4824
LR999927.1 7200001 7300000 700
LR999927.1 7300001 7400000 1716
LR999927.1 7400001 7500000 10036
LR999927.1 7500001 7600000 
LR999927.1 7600001 7700000 2500
LR999927.1 7700001 7800000 882
LR999927.1 7800001 7900000 1431
LR999927.1 7900001 8000000 1165
LR999927.1 8000001 8100000 
LR999927.1 8100001 8200000 
LR999927.1 8200001 8300000 
LR999927.1 8300001 8400000 12313
LR999927.1 8400001 8500000 4748
LR999927.1 8500001 8600000 3673
LR999927.1 8600001 8700000 
LR999927.1 8700001 8800000 
LR999927.1 8800001 8900000 911
LR999927.1 8900001 9000000 3637
LR999927.1 9000001 9100000 4521
LR999927.1 9100001 9200000 7290
LR999927.1 9200001 9300000 6899
LR999927.1 9300001 9400000 857
LR999927.1 9400001 9500000 776
LR999927.1 9500001 9600000 
LR999927.1 9600001 9700000 
LR999927.1 9700001 9800000 3016
LR999927.1 9800001 9900000 6809
LR999927.1 9900001 10000000 1306
LR999927.1 10000001 10100000 11612
LR999927.1 10100001 10200000 3006
LR999927.1 10200001 10300000 6713
LR999927.1 10300001 10400000 310
LR999927.1 10400001 10500000 2945
LR999927.1 10500001 10600000 
LR999927.1 10600001 10700000 8159
LR999927.1 10700001 10800000 3863
LR999927.1 10800001 10900000 
LR999927.1 10900001 11000000 
LR999927.1 11000001 11100000 1436
LR999927.1 11100001 11200000 
LR999927.1 11200001 11300000 7618
LR999927.1 11300001 11400000 3703
LR999927.1 11400001 11500000 2611
LR999927.1 11500001 11600000 1634
LR999927.1 11600001 11700000 
LR999927.1 11700001 11800000 3796
LR999927.1 11800001 11900000 
LR999927.1 11900001 12000000 
LR999927.1 12000001 12100000 3859
LR999927.1 12100001 12200000 1522
LR999927.1 12200001 12300000 1119
LR999927.1 12300001 12400000 718
LR999927.1 12400001 12500000 16820
LR999927.1 12500001 12600000 10143
LR999927.1 12600001 12700000 
LR999927.1 12700001 12800000 
LR999927.1 12800001 12900000 
LR999927.1 12900001 13000000 3721
LR999927.1 13000001 13100000 340
LR999927.1 13100001 13200000 3072
LR999927.1 13200001 13300000 
LR999927.1 13300001 13400000 
LR999927.1 13400001 13500000 1028
LR999927.1 13500001 13600000 3854
LR999927.1 13600001 13700000 
LR999927.1 13700001 13800000 899
LR999927.1 13800001 13900000 
LR999927.1 13900001 14000000 3802
LR999927.1 14000001 14100000 
LR999927.1 14100001 14200000 17446
LR999927.1 14200001 14300000 4145
LR999927.1 14300001 14400000 
LR999927.1 14400001 14500000 1293
LR999927.1 14500001 14600000 
LR999927.1 14600001 14700000 
LR999927.1 14700001 14800000 2187
LR999927.1 14800001 14900000 
LR999927.1 14900001 15000000 1915
LR999927.1 15000001 15100000 7214
LR999927.1 15100001 15200000 3910
LR999927.1 15200001 15300000 
LR999927.1 15300001 15400000 304
LR999927.1 15400001 15500000 
LR999927.1 15500001 15600000 6153
LR999927.1 15600001 15700000 13959
LR999927.1 15700001 15800000 4522
LR999927.1 15800001 15900000 7902
LR999927.1 15900001 16000000 11050
LR999927.1 16000001 16090551 8495
