"mkr" "set" "map" "phys" "gen" "vld" "slidingwindow-3" "slidingwindow" "slidingwindow-2" "slidingwindow-4" "vld" "loess"
"41199" "vcar" "chrLR999924.1" 377201 1.111 TRUE 0.76 0 0 0.76 TRUE NA
"41202" "vcar" "chrLR999924.1" 406369 1.111 TRUE 0.76 0 0 0.76 TRUE 1.11
"41230" "vcar" "chrLR999924.1" 702834 1.111 TRUE 1.08 0 0 1.08 TRUE 1.24
"41246" "vcar" "chrLR999924.1" 942878 1.111 TRUE 1.44 1.89 1.89 1.44 TRUE 1.34
"41256" "vcar" "chrLR999924.1" 943232 1.111 TRUE 1.44 1.89 1.89 1.44 TRUE 1.34
"41276" "vcar" "chrLR999924.1" 1080480 1.111 TRUE 1.58 1.79 1.79 1.58 TRUE 1.49
"41304" "vcar" "chrLR999924.1" 1356020 2.222 TRUE 1.55 2.61 2.61 1.55 TRUE 1.48
"41335" "vcar" "chrLR999924.1" 1413500 2.222 TRUE 1.74 2.61 2.61 1.74 TRUE 1.42
"41356" "vcar" "chrLR999924.1" 1535700 2.222 TRUE 1.61 2.59 2.59 1.61 TRUE 0.58
"41363" "vcar" "chrLR999924.1" 1759540 3.334 TRUE 1.27 1.67 1.67 1.27 TRUE 0.22
"41377" "vcar" "chrLR999924.1" 1957630 3.334 TRUE 1.07 0.87 0.87 1.07 TRUE 1.19
"41381" "vcar" "chrLR999924.1" 2038860 3.334 TRUE 1.07 0 0 1.07 TRUE 1.94
"41401" "vcar" "chrLR999924.1" 2183820 3.334 TRUE 3.21 0 0 3.21 TRUE 1.33
"41422" "vcar" "chrLR999924.1" 2394150 3.334 TRUE 4.2 0 0 4.2 TRUE 3.24
"41430" "vcar" "chrLR999924.1" 2449560 3.334 TRUE 4.71 0 0 4.71 TRUE 4.29
"41434" "vcar" "chrLR999924.1" 2544260 3.334 TRUE 5.74 0 0 5.74 TRUE 5.58
"41439" "vcar" "chrLR999924.1" 2568450 3.334 TRUE 5.74 6.87 6.87 5.74 TRUE 5.74
"41441" "vcar" "chrLR999924.1" 2643150 3.334 TRUE 5.74 6.87 6.87 5.74 TRUE 5.8
