chrom begin end count_gene_ex length_gene_ex
LR999940.1 1 100000 1 371
LR999940.1 100001 200000 0 
LR999940.1 200001 300000 3 1503
LR999940.1 300001 400000 0 
LR999940.1 400001 500000 0 
LR999940.1 500001 600000 2 1078
LR999940.1 600001 700000 2 1132
LR999940.1 700001 800000 3 3250
LR999940.1 800001 900000 3 5636
LR999940.1 900001 1000000 2 21122
LR999940.1 1000001 1100000 1 305
LR999940.1 1100001 1200000 2 7377
LR999940.1 1200001 1300000 1 9865
LR999940.1 1300001 1400000 0 
LR999940.1 1400001 1500000 1 620
LR999940.1 1500001 1600000 0 
LR999940.1 1600001 1700000 2 6941
LR999940.1 1700001 1800000 0 
LR999940.1 1800001 1900000 1 902
LR999940.1 1900001 2000000 0 
LR999940.1 2000001 2100000 0 
LR999940.1 2100001 2200000 1 482
LR999940.1 2200001 2300000 1 734
LR999940.1 2300001 2400000 2 8808
LR999940.1 2400001 2500000 1 1829
LR999940.1 2500001 2600000 3 38349
LR999940.1 2600001 2700000 1 743
LR999940.1 2700001 2800000 1 563
LR999940.1 2800001 2900000 2 1510
LR999940.1 2900001 3000000 2 9211
LR999940.1 3000001 3100000 0 
LR999940.1 3100001 3200000 1 758
LR999940.1 3200001 3300000 2 25834
LR999940.1 3300001 3400000 0 
LR999940.1 3400001 3500000 2 38265
LR999940.1 3500001 3600000 2 8615
LR999940.1 3600001 3700000 0 
LR999940.1 3700001 3800000 0 
LR999940.1 3800001 3900000 1 452
LR999940.1 3900001 4000000 2 21614
LR999940.1 4000001 4100000 0 
LR999940.1 4100001 4200000 0 
LR999940.1 4200001 4300000 1 182
LR999940.1 4300001 4400000 1 31435
LR999940.1 4400001 4500000 1 533
LR999940.1 4500001 4600000 0 
LR999940.1 4600001 4700000 1 63751
LR999940.1 4700001 4800000 1 524
LR999940.1 4800001 4900000 0 
LR999940.1 4900001 5000000 2 1354
LR999940.1 5000001 5100000 1 692
LR999940.1 5100001 5200000 3 1296
LR999940.1 5200001 5300000 1 1202
LR999940.1 5300001 5400000 0 
LR999940.1 5400001 5500000 4 2600
LR999940.1 5500001 5600000 1 353
LR999940.1 5600001 5700000 0 
LR999940.1 5700001 5800000 0 
LR999940.1 5800001 5900000 0 
LR999940.1 5900001 6000000 0 
LR999940.1 6000001 6100000 0 
LR999940.1 6100001 6200000 0 
LR999940.1 6200001 6300000 5 3844
LR999940.1 6300001 6400000 1 65444
LR999940.1 6400001 6500000 1 404
LR999940.1 6500001 6600000 0 
LR999940.1 6600001 6700000 1 6342
LR999940.1 6700001 6800000 0 
LR999940.1 6800001 6900000 0 
LR999940.1 6900001 7000000 1 1613
LR999940.1 7000001 7100000 3 4329
LR999940.1 7100001 7200000 0 
LR999940.1 7200001 7300000 0 
LR999940.1 7300001 7400000 0 
LR999940.1 7400001 7500000 0 
LR999940.1 7500001 7600000 0 
LR999940.1 7600001 7700000 2 1127
LR999940.1 7700001 7800000 1 770
LR999940.1 7800001 7900000 2 4984
LR999940.1 7900001 8000000 2 7695
LR999940.1 8000001 8100000 0 
LR999940.1 8100001 8200000 1 956
LR999940.1 8200001 8300000 1 1489
LR999940.1 8300001 8400000 0 
LR999940.1 8400001 8500000 1 728
LR999940.1 8500001 8600000 0 
LR999940.1 8600001 8700000 2 1258
LR999940.1 8700001 8800000 0 
LR999940.1 8800001 8900000 1 698
LR999940.1 8900001 9000000 1 320
LR999940.1 9000001 9100000 1 770
LR999940.1 9100001 9200000 2 982
LR999940.1 9200001 9300000 0 
LR999940.1 9300001 9400000 0 
LR999940.1 9400001 9500000 1 872
LR999940.1 9500001 9600000 1 389
LR999940.1 9600001 9700000 2 61356
LR999940.1 9700001 9800000 2 11679
LR999940.1 9800001 9900000 1 746
LR999940.1 9900001 10000000 0 
LR999940.1 10000001 10100000 2 931
LR999940.1 10100001 10200000 2 1172
LR999940.1 10200001 10300000 4 2237
LR999940.1 10300001 10400000 0 
LR999940.1 10400001 10500000 0 
LR999940.1 10500001 10600000 1 605
LR999940.1 10600001 10700000 3 7679
LR999940.1 10700001 10800000 1 5025
LR999940.1 10800001 10900000 1 2087
LR999940.1 10900001 11000000 2 8302
LR999940.1 11000001 11100000 0 
LR999940.1 11100001 11200000 1 992
LR999940.1 11200001 11300000 1 44134
LR999940.1 11300001 11400000 1 758
LR999940.1 11400001 11500000 1 741
LR999940.1 11500001 11600000 2 19565
LR999940.1 11600001 11700000 1 742
LR999940.1 11700001 11800000 1 14432
LR999940.1 11800001 11900000 1 10405
LR999940.1 11900001 12000000 2 1721
LR999940.1 12000001 12100000 0 
LR999940.1 12100001 12200000 0 
LR999940.1 12200001 12300000 1 6045
LR999940.1 12300001 12400000 0 
LR999940.1 12400001 12500000 2 1216
LR999940.1 12500001 12600000 4 23004
LR999940.1 12600001 12700000 2 8469
LR999940.1 12700001 12800000 2 34534
LR999940.1 12800001 12900000 2 31027
LR999940.1 12900001 13000000 4 17029
LR999940.1 13000001 13100000 0 
LR999940.1 13100001 13200000 0 
LR999940.1 13200001 13300000 2 9963
LR999940.1 13300001 13400000 0 
LR999940.1 13400001 13500000 2 1513
LR999940.1 13500001 13600000 1 3466
LR999940.1 13600001 13700000 2 8125
LR999940.1 13700001 13800000 1 611
LR999940.1 13800001 13819298 0 
