"chrom" "begin" "end" "markers" "rec_rate" "chr_length" "rec_sd" "GC" "chr_type" "gene_ex_bin" "gen_feat" "count_var" "length_var" "density_var" "prop_var" "rel_pos" "pos_group"
"1" "LR999924.1" 1 2000000 11 1.3 17040296 0.339882333 0.357385 "Z" "1" "rpt" 2734 398150 1.367 0.199075 0.0586844559507652 "5"
"2" "LR999924.1" 2000001 4000000 15 4.864666667 17040296 1.966831631 0.323664 "Z" "0" "rpt" 3166 409031 1.583 0.2045155 0.176053309167869 "4"
"3" "LR999924.1" 4000001 6000000 13 5.563076923 17040296 2.52030218 0.320664 "Z" "1" "rpt" 2768 342240 1.384 0.17112 0.293422162384973 "3"
"4" "LR999924.1" 6000001 8000000 18 2.039444444 17040296 0.245847208 0.320596 "Z" "1" "rpt" 2514 306115 1.257 0.1530575 0.410791015602076 "1"
"5" "LR999924.1" 8000001 10000000 18 2.612777778 17040296 0.277738886 0.31786 "Z" "1" "rpt" 2697 313682 1.3485 0.156841 0.52815986881918 "1"
"6" "LR999924.1" 10000001 12000000 9 1.642222222 17040296 0.225043206 0.318933 "Z" "0" "rpt" 2546 309292 1.273 0.154646 0.645528722036284 "2"
"7" "LR999924.1" 12000001 14000000 18 2.061111111 17040296 0.159775169 0.318563 "Z" "1" "rpt" 2392 273709 1.196 0.1368545 0.762897575253388 "3"
"8" "LR999924.1" 14000001 16000000 3 3.646666667 17040296 0.38682468 0.325422 "Z" "1" "rpt" 2427 304603 1.2135 0.1523015 0.880266428470491 "4"
"9" "LR999924.1" 16000001 17040296 9 0.54 17040296 0 0.346551 "Z" "0" "rpt" 1267 155611 1.21792259126249 0.149583387805009 0.969475442210628 "5"
"10" "LR999925.1" 1 2000000 4 3.3575 16607008 0.475 0.335227 "Autosome" "1" "rpt" 3679 522751 1.8395 0.2613755 0.0602155728473184 "5"
"11" "LR999925.1" 2000001 4000000 12 5.881666667 16607008 0.465790303 0.326583 "Autosome" "1" "rpt" 2719 380574 1.3595 0.190287 0.180646658326413 "4"
"12" "LR999925.1" 4000001 6000000 16 4.909375 16607008 1.50785264 0.323858 "Autosome" "1" "rpt" 2912 379776 1.456 0.189888 0.301077743805507 "2"
"13" "LR999925.1" 6000001 8000000 12 2.006666667 16607008 0.154645244 0.324281 "Autosome" "0" "rpt" 2426 297907 1.213 0.1489535 0.421508829284601 "1"
"14" "LR999925.1" 8000001 10000000 12 1.670833333 16607008 0.724298511 0.317807 "Autosome" "0" "rpt" 2284 294622 1.142 0.147311 0.541939914763695 "1"
"15" "LR999925.1" 10000001 12000000 6 2.383333333 16607008 1.427524664 0.325742 "Autosome" "1" "rpt" 2868 384085 1.434 0.1920425 0.662371000242789 "2"
"16" "LR999925.1" 12000001 14000000 17 3.302352941 16607008 1.077308738 0.323169 "Autosome" "1" "rpt" 3287 413530 1.6435 0.206765 0.782802085721883 "3"
"17" "LR999925.1" 14000001 16000000 12 0.820833333 16607008 0.241000126 0.330759 "Autosome" "1" "rpt" 2930 367652 1.465 0.183826 0.903233171200977 "5"
"18" "LR999925.1" 16000001 16607008 2 1.09 16607008 0.212132034 0.354608 "Autosome" "0" "rpt" 847 131807 1.39536875955506 0.217142113448258 0.981724372024148 "5"
"19" "LR999926.1" 1 2000000 7 1.834285714 16362069 1.861243824 0.343466 "Autosome" "1" "rpt" 2551 336522 1.2755 0.168261 0.0611169956562339 "5"
"20" "LR999926.1" 2000001 4000000 11 2.250909091 16362069 1.61022641 0.330335 "Autosome" "1" "rpt" 3609 508698 1.8045 0.254349 0.183350925851737 "4"
"21" "LR999926.1" 4000001 6000000 14 0.963571429 16362069 1.427157515 0.322006 "Autosome" "1" "rpt" 2569 311394 1.2845 0.155697 0.30558485604724 "2"
"22" "LR999926.1" 6000001 8000000 14 1.767142857 16362069 1.447004484 0.327111 "Autosome" "1" "rpt" 2833 394868 1.4165 0.197434 0.427818786242742 "1"
"23" "LR999926.1" 8000001 10000000 8 4.695 16362069 0.958540557 0.328157 "Autosome" "1" "rpt" 2682 335113 1.341 0.1675565 0.550052716438245 "1"
"24" "LR999926.1" 10000001 12000000 10 2.482 16362069 0.19395303 0.33031 "Autosome" "1" "rpt" 3102 418273 1.551 0.2091365 0.672286646633748 "2"
"25" "LR999926.1" 12000001 14000000 5 2.84 16362069 0.293428015 0.335146 "Autosome" "0" "rpt" 4019 554898 2.0095 0.277449 0.794520576829251 "3"
"26" "LR999926.1" 14000001 16000000 7 1.225714286 16362069 1.235244337 0.33011 "Autosome" "0" "rpt" 3894 564572 1.947 0.282286 0.916754507024753 "5"
"27" "LR999926.1" 16000001 16362069 3 0 16362069 0 0.361437 "Autosome" "0" "rpt" 409 54750 1.12961894003629 0.151214271312927 0.988935751340494 "5"
"28" "LR999927.1" 1 2000000 3 1.966666667 16090551 0.548482756 0.373176 "Autosome" "1" "rpt" 3215 528466 1.6075 0.264233 0.06214830679198 "5"
"29" "LR999927.1" 2000001 4000000 2 1.47 16090551 2.078893937 0.332586 "Autosome" "1" "rpt" 3898 623800 1.949 0.3119 0.186444858227664 "4"
"30" "LR999927.1" 4000001 6000000 4 1.58 16090551 0.215870331 0.322847 "Autosome" "1" "rpt" 2896 472474 1.448 0.236237 0.310741409663348 "2"
"31" "LR999927.1" 6000001 8000000 10 2.04 16090551 0.114406682 0.312304 "Autosome" "1" "rpt" 2134 294487 1.067 0.1472435 0.435037961099033 "1"
"32" "LR999927.1" 8000001 10000000 24 1.898333333 16090551 0.537738151 0.320019 "Autosome" "1" "rpt" 2958 423801 1.479 0.2119005 0.559334512534717 "1"
"33" "LR999927.1" 10000001 12000000 18 3.549444444 16090551 2.003110734 0.320206 "Autosome" "0" "rpt" 3360 449314 1.68 0.224657 0.683631063970401 "2"
"34" "LR999927.1" 12000001 14000000 13 7.354615385 16090551 1.748154338 0.323384 "Autosome" "1" "rpt" 3148 393467 1.574 0.1967335 0.807927615406085 "4"
"35" "LR999927.1" 14000001 16000000 12 3.843333333 16090551 1.755046404 0.33842 "Autosome" "1" "rpt" 3753 519781 1.8765 0.2598905 0.932224166841769 "5"
"36" "LR999927.1" 16000001 16090551 0 NA 16090551 NA 0.410233 "Autosome" "0" "rpt" 114 19076 1.25895903965721 0.210665812635973 0.997186236816875 "5"
"37" "LR999928.1" 1 2000000 10 1.584 16000791 1.019239368 0.337216 "Autosome" "1" "rpt" 3748 532088 1.874 0.266044 0.0624969415574518 "5"
