chr	pos	endpos	pheno	poscolor
24	11095349	11096088	Lipoprotein_receptor	2
24	11104340	11108285	Lipoprotein_receptor	2
24	11109488	11110890	Lipoprotein_receptor_na	2
24	11113526	11114537	Lipoprotein_receptor_na	2
24	11125188	11134234	Lipoprotein_receptor_na	2
24	11135335	11136672	Lipoprotein_receptor_na	2
3	291840	294861	Papain	2
3	337395	342140	Papain	2
3	407990	412438	Papain	2
3	434518	436024	Papain	2
3	383932	386599	Papain	2
3	390658	398193	Papain	2
3	427085	428219	Papain	2
3	3173765	3174661	Moricin	2
3	3554479	3555386	Moricin	2
3	3690117	3690643	Moricin	2
3	4024851	4025756	Moricin	2
3	4158918	4159444	Moricin	2
3	4307479	4308385	Moricin	2
3	4428598	4429498	Moricin	2
9	1962735	1964321	ATPase	2
9	14150373	14158121	ATPase	2
Z	11313042	11316256	ATPase	2
22	5005651	5005839	Glycosiltransferase	2
22	5195973	5196164	Glycosiltransferase	2
22	5203773	5203952	Glycosiltransferase	2
22	5290790	5292713	Glycosiltransferase	2
8	988993	990122	Lipoprotein_receptor	2
26	3626891	3630731	Calpain	2
26	3632336	3650126	Calpain	2
26	3659369	3667953	Calpain	2
26	3706851	3713784	Calpain	2
26	3744095	3756437	Calpain	2
26	3784462	3792432	Calpain	2
26	3808862	3824099	Calpain	2
26	3860426	3868455	Calpain	2
2	10255672	10256341	Carboxylesterases	2
2	10263834	10264925	Carboxylesterases	2
2	10295446	10295673	Carboxylesterases	2
2	10302436	10303029	Carboxylesterases	2
2	10336136	10336302	Carboxylesterases	2
3	3254979	3261344	None	2
3	3402168	3405115	None	2
3	3602943	3608921	None	2
3	3922341	3926010	None	2
3	4070859	4074990	None	2
3	4407318	4409084	None	2
3	4447366	4450888	None	2
3	4630008	4631782	None	2
3	5554730	5563905	None	2
5	2770022	2775258	None	2
6	1061781	1066210	None	2
7	11819506	11829310	None	2
8	12591561	12595380	None	2
8	381824	390769	None	2
8	7231460	7255920	None	2
9	13109195	13116387	None	2
9	4097624	4105242	None	2
10	1329648	1342242	None	2
10	2395952	2402731	CRAL/TRIO_domain	2
10	2460261	2488957	CRAL/TRIO_domain	2
10	2703361	2709504	CRAL/TRIO_domain	2
10	2776645	2777256	CRAL/TRIO_domain	2
10	2821758	2822865	CRAL/TRIO_domain	2
10	3037852	3041365	CRAL/TRIO_domain	2
10	3362381	3363469	CRAL/TRIO_domain	2
10	3482872	3483946	CRAL/TRIO_domain	2
10	4247864	4248572	CRAL/TRIO_domain	2
10	4580490	4581189	CRAL/TRIO_domain	2
10	4889544	4890055	CRAL/TRIO_domain	2
10	12010439	12046244	Somatomedin	2
11	1841124	1856088	None	2
15	13886041	13898636	None	2
16	13147341	13171920	None	2
17	11786610	11786864	Trypsin-like_serine_protease	2
17	11795122	11795343	Trypsin-like_serine_protease	2
17	11818466	11819807	Trypsin-like_serine_protease	2
17	11830516	11831740	Trypsin-like_serine_protease	2
17	11835419	11836643	Trypsin-like_serine_protease	2
17	11841995	11843219	Trypsin-like_serine_protease	2
17	11851680	11856813	Trypsin-like_serine_protease	2
17	11868590	11868826	Trypsin-like_serine_protease	2
17	11872652	11872888	Trypsin-like_serine_protease	2
17	11878711	11879948	Trypsin-like_serine_protease	2
17	4199119	4204169	None	2
17	7635096	7641616	None	2
21	2988867	3090003	None	2
21	6409541	6417170	None	2
22	10858569	10872690	None	2
22	5464356	5465828	None	2
22	7431214	7443219	None	2
23	10338403	10339221	None	2
23	2741323	2776211	None	2
24	2520026	2546355	None	2
24	54872	66980	None	2
24	7405343	7405912	None	2
26	8139754	8140572	None	2
27	5173160	5177556	None	2
27	5381349	5388998	Chorion_protein	2
27	5400090	5409746	Chorion_protein	2
27	5438354	5440347	Chorion_protein	2
27	5448027	5451051	Chorion_protein	2
27	6096484	6096816	Chorion_protein	2
28	2314467	2327477	Chorion_protein	2
28	3653933	3657765	None	2
28	4495130	4497258	None	2
30	2243281	2250064	None	2
