"set" "map" "mkr" "phys" "gen" "vld" "loess"
"vcar" "chrLR999924.1" "41199" 377201 1.111 TRUE NA
"vcar" "chrLR999924.1" "41202" 406369 1.111 TRUE 1.11
"vcar" "chrLR999924.1" "41230" 702834 1.111 TRUE 1.24
"vcar" "chrLR999924.1" "41246" 942878 1.111 TRUE 1.34
"vcar" "chrLR999924.1" "41256" 943232 1.111 TRUE 1.34
"vcar" "chrLR999924.1" "41276" 1080480 1.111 TRUE 1.49
"vcar" "chrLR999924.1" "41304" 1356020 2.222 TRUE 1.48
"vcar" "chrLR999924.1" "41335" 1413500 2.222 TRUE 1.42
"vcar" "chrLR999924.1" "41356" 1535700 2.222 TRUE 0.58
"vcar" "chrLR999924.1" "41363" 1759540 3.334 TRUE 0.22
"vcar" "chrLR999924.1" "41377" 1957630 3.334 TRUE 1.19
"vcar" "chrLR999924.1" "41381" 2038860 3.334 TRUE 1.94
"vcar" "chrLR999924.1" "41401" 2183820 3.334 TRUE 1.33
"vcar" "chrLR999924.1" "41422" 2394150 3.334 TRUE 3.24
"vcar" "chrLR999924.1" "41430" 2449560 3.334 TRUE 4.29
"vcar" "chrLR999924.1" "41434" 2544260 3.334 TRUE 5.58
"vcar" "chrLR999924.1" "41439" 2568450 3.334 TRUE 5.74
"vcar" "chrLR999924.1" "41441" 2643150 3.334 TRUE 5.8
"vcar" "chrLR999924.1" "41446" 2683880 3.334 TRUE 5.56
"vcar" "chrLR999924.1" "41447" 2684110 3.334 TRUE 5.56
"vcar" "chrLR999924.1" "41459" 3066450 10.002 TRUE 8.14
"vcar" "chrLR999924.1" "41464" 3149370 11.114 TRUE 6.1
"vcar" "chrLR999924.1" "41477" 3376830 11.114 TRUE 6.95
"vcar" "chrLR999924.1" "41496" 3516890 11.114 TRUE 5.87
"vcar" "chrLR999924.1" "41506" 3517290 11.114 TRUE 5.87
"vcar" "chrLR999924.1" "41513" 3695380 11.114 TRUE 2.74
"vcar" "chrLR999924.1" "41551" 4133320 11.114 TRUE -2.52
"vcar" "chrLR999924.1" "41584" 4412990 11.114 TRUE -0.58
"vcar" "chrLR999924.1" "41601" 4678290 11.114 TRUE 5.06
"vcar" "chrLR999924.1" "41613" 4702330 11.114 TRUE 7.38
"vcar" "chrLR999924.1" "41622" 4710670 11.114 TRUE 7.52
"vcar" "chrLR999924.1" "41633" 4711000 11.114 TRUE 7.52
"vcar" "chrLR999924.1" "41651" 4740500 11.114 TRUE 5.3
"vcar" "chrLR999924.1" "41652" 4960900 11.114 TRUE 10.1
"vcar" "chrLR999924.1" "41657" 5288440 18.896 TRUE 7.2
"vcar" "chrLR999924.1" "41664" 5290550 18.896 TRUE 7.14
"vcar" "chrLR999924.1" "41683" 5710880 21.12 TRUE 5.13
"vcar" "chrLR999924.1" "41705" 5869330 21.12 TRUE 4.11
"vcar" "chrLR999924.1" "41709" 5944140 21.12 TRUE 3.57
"vcar" "chrLR999924.1" "41714" 6151050 21.12 TRUE 1.92
"vcar" "chrLR999924.1" "41732" 6257050 21.12 TRUE 0.31
"vcar" "chrLR999924.1" "41742" 6261790 21.12 TRUE 0.3
"vcar" "chrLR999924.1" "41753" 6378380 21.12 TRUE 1.56
"vcar" "chrLR999924.1" "41771" 6765790 21.12 TRUE 1.92
"vcar" "chrLR999924.1" "41793" 6777300 21.12 TRUE 1.92
"vcar" "chrLR999924.1" "41799" 6777560 21.12 TRUE 1.92
"vcar" "chrLR999924.1" "41820" 6958460 23.342 TRUE 2
"vcar" "chrLR999924.1" "41822" 6976100 23.342 TRUE 2.26
"vcar" "chrLR999924.1" "41831" 7077880 23.342 TRUE 2.67
"vcar" "chrLR999924.1" "41838" 7129110 23.342 TRUE 2.16
"vcar" "chrLR999924.1" "41857" 7438950 23.342 TRUE 2.27
"vcar" "chrLR999924.1" "41870" 7471340 23.342 TRUE 2.26
"vcar" "chrLR999924.1" "41874" 7539520 23.342 TRUE 2.2
"vcar" "chrLR999924.1" "41880" 7539850 23.342 TRUE 2.2
"vcar" "chrLR999924.1" "41894" 7792640 24.454 TRUE 1.62
"vcar" "chrLR999924.1" "41899" 7885210 24.454 TRUE 2.02
"vcar" "chrLR999924.1" "41904" 7938760 24.454 TRUE 2.4
"vcar" "chrLR999924.1" "41923" 8462210 25.565 TRUE 2.89
"vcar" "chrLR999924.1" "41924" 8496780 25.565 TRUE 2.8
"vcar" "chrLR999924.1" "41968" 8522110 26.676 TRUE 2.73
"vcar" "chrLR999924.1" "41973" 8522390 26.676 TRUE 2.73
"vcar" "chrLR999924.1" "41989" 8825030 26.676 TRUE 2.78
"vcar" "chrLR999924.1" "41994" 8877480 26.676 TRUE 2.79
"vcar" "chrLR999924.1" "42000" 8930760 27.788 TRUE 2.82
"vcar" "chrLR999924.1" "42013" 9016510 27.788 TRUE 2.86
"vcar" "chrLR999924.1" "42019" 9080240 27.788 TRUE 2.95
"vcar" "chrLR999924.1" "42021" 9080570 27.788 TRUE 2.95
"vcar" "chrLR999924.1" "42027" 9212200 27.788 TRUE 2.98
"vcar" "chrLR999924.1" "42030" 9307610 27.788 TRUE 2.84
"vcar" "chrLR999924.1" "42035" 9405930 28.899 TRUE 3.17
"vcar" "chrLR999924.1" "42037" 9406210 28.899 TRUE 3.17
"vcar" "chrLR999924.1" "42038" 9526010 28.899 TRUE 2.54
"vcar" "chrLR999924.1" "42056" 9730840 30.01 TRUE 2.24
"vcar" "chrLR999924.1" "42066" 9955420 30.01 TRUE 1.93
"vcar" "chrLR999924.1" "42078" 9993580 30.01 TRUE 1.88
"vcar" "chrLR999924.1" "42085" 10204500 30.01 TRUE 1.62
"vcar" "chrLR999924.1" "42087" 10204800 30.01 TRUE 1.62
"vcar" "chrLR999924.1" "42088" 10253400 30.01 TRUE 1.31
"vcar" "chrLR999924.1" "42094" 10307800 31.121 TRUE 1.56
"vcar" "chrLR999924.1" "42106" 10349800 31.121 TRUE 1.48
"vcar" "chrLR999924.1" "42114" 10690400 31.121 TRUE 1.23
"vcar" "chrLR999924.1" "42116" 10728600 31.121 TRUE 1.24
"vcar" "chrLR999924.1" "42124" 10948200 31.121 TRUE 1.49
"vcar" "chrLR999924.1" "42169" 11458000 32.233 TRUE 1.63
"vcar" "chrLR999924.1" "42215" 12107600 33.344 TRUE 1.95
"vcar" "chrLR999924.1" "42219" 12107900 33.344 TRUE 1.95
"vcar" "chrLR999924.1" "42222" 12161600 33.344 TRUE 2.01
"vcar" "chrLR999924.1" "42223" 12168400 33.344 TRUE 2.02
"vcar" "chrLR999924.1" "42226" 12174800 33.344 TRUE 2.02
"vcar" "chrLR999924.1" "42246" 12536700 34.455 TRUE 2.03
"vcar" "chrLR999924.1" "42247" 12537000 34.455 TRUE 2.03
"vcar" "chrLR999924.1" "42251" 12543000 34.455 TRUE 2.09
