chrom begin end count_gene length_gene
LR999948.1 1 100000 1 533
LR999948.1 100001 200000 3 5700
LR999948.1 200001 300000 7 24247
LR999948.1 300001 400000 3 35391
LR999948.1 400001 500000 0 
LR999948.1 500001 600000 0 
LR999948.1 600001 700000 2 40054
LR999948.1 700001 800000 1 4020
LR999948.1 800001 900000 0 
LR999948.1 900001 1000000 0 
LR999948.1 1000001 1100000 2 5952
LR999948.1 1100001 1200000 2 14769
LR999948.1 1200001 1300000 0 
LR999948.1 1300001 1400000 0 
LR999948.1 1400001 1500000 1 2211
LR999948.1 1500001 1600000 0 
LR999948.1 1600001 1700000 0 
LR999948.1 1700001 1800000 1 1328
LR999948.1 1800001 1900000 1 1049
LR999948.1 1900001 2000000 0 
LR999948.1 2000001 2100000 1 2935
LR999948.1 2100001 2200000 2 3371
LR999948.1 2200001 2300000 2 3119
LR999948.1 2300001 2400000 0 
LR999948.1 2400001 2500000 1 986
LR999948.1 2500001 2600000 2 38443
LR999948.1 2600001 2700000 2 4174
LR999948.1 2700001 2800000 1 34888
LR999948.1 2800001 2900000 5 50774
LR999948.1 2900001 3000000 3 39602
LR999948.1 3000001 3100000 6 17302
LR999948.1 3100001 3200000 2 16450
LR999948.1 3200001 3300000 2 28506
LR999948.1 3300001 3400000 2 6694
LR999948.1 3400001 3500000 6 47122
LR999948.1 3500001 3600000 7 34134
LR999948.1 3600001 3700000 1 5090
LR999948.1 3700001 3800000 0 
LR999948.1 3800001 3900000 2 1893
LR999948.1 3900001 4000000 0 
LR999948.1 4000001 4100000 2 1913
LR999948.1 4100001 4200000 3 31212
LR999948.1 4200001 4300000 6 21168
LR999948.1 4300001 4400000 6 18514
LR999948.1 4400001 4500000 5 13072
LR999948.1 4500001 4600000 4 13329
LR999948.1 4600001 4700000 0 
LR999948.1 4700001 4800000 3 35657
LR999948.1 4800001 4900000 3 20288
LR999948.1 4900001 5000000 4 18247
LR999948.1 5000001 5100000 0 
LR999948.1 5100001 5200000 2 2984
LR999948.1 5200001 5300000 0 
LR999948.1 5300001 5400000 1 3577
LR999948.1 5400001 5500000 1 227
LR999948.1 5500001 5600000 4 11573
LR999948.1 5600001 5700000 3 25450
LR999948.1 5700001 5800000 1 10457
LR999948.1 5800001 5900000 2 6899
LR999948.1 5900001 6000000 0 
LR999948.1 6000001 6100000 0 
LR999948.1 6100001 6200000 0 
LR999948.1 6200001 6300000 1 3711
LR999948.1 6300001 6400000 6 18578
LR999948.1 6400001 6500000 6 39376
LR999948.1 6500001 6600000 2 4835
LR999948.1 6600001 6700000 2 11722
LR999948.1 6700001 6800000 2 1081
LR999948.1 6800001 6900000 2 13781
LR999948.1 6900001 7000000 2 7664
LR999948.1 7000001 7100000 4 10329
LR999948.1 7100001 7200000 0 
LR999948.1 7200001 7300000 3 4780
LR999948.1 7300001 7400000 0 
LR999948.1 7400001 7500000 7 26547
LR999948.1 7500001 7600000 3 18422
LR999948.1 7600001 7700000 4 32043
LR999948.1 7700001 7800000 1 8800
LR999948.1 7800001 7900000 3 25759
LR999948.1 7900001 8000000 2 3538
LR999948.1 8000001 8100000 2 2098
LR999948.1 8100001 8200000 0 
LR999948.1 8200001 8300000 2 13310
LR999948.1 8300001 8400000 0 
LR999948.1 8400001 8500000 3 43303
LR999948.1 8500001 8600000 3 22156
LR999948.1 8600001 8700000 0 
LR999948.1 8700001 8800000 0 
LR999948.1 8800001 8900000 7 40369
LR999948.1 8900001 9000000 1 837
LR999948.1 9000001 9100000 5 16172
LR999948.1 9100001 9200000 4 17578
LR999948.1 9200001 9300000 4 23899
LR999948.1 9300001 9400000 6 45055
LR999948.1 9400001 9500000 4 4176
LR999948.1 9500001 9600000 0 
LR999948.1 9600001 9700000 3 7982
LR999948.1 9700001 9800000 1 14997
LR999948.1 9800001 9900000 0 
LR999948.1 9900001 10000000 1 455
LR999948.1 10000001 10100000 0 
LR999948.1 10100001 10200000 1 1056
LR999948.1 10200001 10300000 0 
LR999948.1 10300001 10400000 5 19468
LR999948.1 10400001 10500000 3 9503
LR999948.1 10500001 10600000 3 36901
LR999948.1 10600001 10700000 2 21076
LR999948.1 10700001 10800000 2 5229
LR999948.1 10800001 10900000 2 39991
LR999948.1 10900001 11000000 0 
LR999948.1 11000001 11100000 0 
LR999948.1 11100001 11200000 1 33743
LR999948.1 11200001 11300000 4 19145
LR999948.1 11300001 11326783 0 
