chrom begin end count_gene length_gene
LR999935.1 1 100000 4 10766
LR999935.1 100001 200000 1 6932
LR999935.1 200001 300000 4 24204
LR999935.1 300001 400000 4 16927
LR999935.1 400001 500000 7 25157
LR999935.1 500001 600000 9 39796
LR999935.1 600001 700000 4 12993
LR999935.1 700001 800000 1 28355
LR999935.1 800001 900000 0 
LR999935.1 900001 1000000 0 
LR999935.1 1000001 1100000 0 
LR999935.1 1100001 1200000 4 29590
LR999935.1 1200001 1300000 5 33043
LR999935.1 1300001 1400000 6 43727
LR999935.1 1400001 1500000 13 61550
LR999935.1 1500001 1600000 7 22716
LR999935.1 1600001 1700000 2 3585
LR999935.1 1700001 1800000 3 18229
LR999935.1 1800001 1900000 1 14964
LR999935.1 1900001 2000000 1 3230
LR999935.1 2000001 2100000 2 6190
LR999935.1 2100001 2200000 0 
LR999935.1 2200001 2300000 3 14722
LR999935.1 2300001 2400000 4 10074
LR999935.1 2400001 2500000 6 21728
LR999935.1 2500001 2600000 6 37165
LR999935.1 2600001 2700000 1 28964
LR999935.1 2700001 2800000 0 
LR999935.1 2800001 2900000 0 
LR999935.1 2900001 3000000 3 15879
LR999935.1 3000001 3100000 8 41034
LR999935.1 3100001 3200000 3 13460
LR999935.1 3200001 3300000 0 
LR999935.1 3300001 3400000 2 21417
LR999935.1 3400001 3500000 5 26977
LR999935.1 3500001 3600000 5 51764
LR999935.1 3600001 3700000 0 
LR999935.1 3700001 3800000 1 16256
LR999935.1 3800001 3900000 1 9880
LR999935.1 3900001 4000000 4 43258
LR999935.1 4000001 4100000 0 
LR999935.1 4100001 4200000 7 17322
LR999935.1 4200001 4300000 0 
LR999935.1 4300001 4400000 1 3356
LR999935.1 4400001 4500000 2 5122
LR999935.1 4500001 4600000 1 2005
LR999935.1 4600001 4700000 2 1499
LR999935.1 4700001 4800000 1 2808
LR999935.1 4800001 4900000 0 
LR999935.1 4900001 5000000 8 24718
LR999935.1 5000001 5100000 0 
LR999935.1 5100001 5200000 1 989
LR999935.1 5200001 5300000 1 221
LR999935.1 5300001 5400000 0 
LR999935.1 5400001 5500000 0 
LR999935.1 5500001 5600000 0 
LR999935.1 5600001 5700000 5 27810
LR999935.1 5700001 5800000 8 20196
LR999935.1 5800001 5900000 5 9064
LR999935.1 5900001 6000000 2 12348
LR999935.1 6000001 6100000 6 15871
LR999935.1 6100001 6200000 2 6954
LR999935.1 6200001 6300000 4 13290
LR999935.1 6300001 6400000 7 33690
LR999935.1 6400001 6500000 3 7981
LR999935.1 6500001 6600000 7 14943
LR999935.1 6600001 6700000 11 50406
LR999935.1 6700001 6800000 5 22418
LR999935.1 6800001 6900000 0 
LR999935.1 6900001 7000000 11 45385
LR999935.1 7000001 7100000 4 24851
LR999935.1 7100001 7200000 6 18590
LR999935.1 7200001 7300000 12 53111
LR999935.1 7300001 7400000 9 23949
LR999935.1 7400001 7500000 2 1674
LR999935.1 7500001 7600000 10 37396
LR999935.1 7600001 7700000 1 13674
LR999935.1 7700001 7800000 5 15988
LR999935.1 7800001 7900000 6 17602
LR999935.1 7900001 8000000 1 1367
LR999935.1 8000001 8100000 8 34525
LR999935.1 8100001 8200000 5 6187
LR999935.1 8200001 8300000 1 827
LR999935.1 8300001 8400000 3 7282
LR999935.1 8400001 8500000 1 2538
LR999935.1 8500001 8600000 4 24218
LR999935.1 8600001 8700000 1 717
LR999935.1 8700001 8800000 3 17097
LR999935.1 8800001 8900000 9 20795
LR999935.1 8900001 9000000 1 4278
LR999935.1 9000001 9100000 3 9934
LR999935.1 9100001 9200000 5 24868
LR999935.1 9200001 9300000 3 35259
LR999935.1 9300001 9400000 1 2099
LR999935.1 9400001 9500000 0 
LR999935.1 9500001 9600000 0 
LR999935.1 9600001 9700000 4 12359
LR999935.1 9700001 9800000 1 3896
LR999935.1 9800001 9900000 1 1635
LR999935.1 9900001 10000000 9 26423
LR999935.1 10000001 10100000 2 7382
LR999935.1 10100001 10200000 7 23814
