chrom begin end count_gene length_gene
LR999943.1 1 100000 8 33593
LR999943.1 100001 200000 2 5678
LR999943.1 200001 300000 5 13364
LR999943.1 300001 400000 2 10936
LR999943.1 400001 500000 4 12113
LR999943.1 500001 600000 11 43621
LR999943.1 600001 700000 3 69041
LR999943.1 700001 800000 9 58635
LR999943.1 800001 900000 6 44324
LR999943.1 900001 1000000 0 
LR999943.1 1000001 1100000 0 
LR999943.1 1100001 1200000 0 
LR999943.1 1200001 1300000 0 
LR999943.1 1300001 1400000 0 
LR999943.1 1400001 1500000 0 
LR999943.1 1500001 1600000 0 
LR999943.1 1600001 1700000 0 
LR999943.1 1700001 1800000 0 
LR999943.1 1800001 1900000 1 8952
LR999943.1 1900001 2000000 2 7448
LR999943.1 2000001 2100000 4 14135
LR999943.1 2100001 2200000 3 41743
LR999943.1 2200001 2300000 4 21928
LR999943.1 2300001 2400000 2 15574
LR999943.1 2400001 2500000 2 8674
LR999943.1 2500001 2600000 4 19942
LR999943.1 2600001 2700000 1 9311
LR999943.1 2700001 2800000 3 35404
LR999943.1 2800001 2900000 7 47066
LR999943.1 2900001 3000000 2 11252
LR999943.1 3000001 3100000 0 
LR999943.1 3100001 3200000 1 4519
LR999943.1 3200001 3300000 1 6806
LR999943.1 3300001 3400000 3 18382
LR999943.1 3400001 3500000 8 21046
LR999943.1 3500001 3600000 6 37147
LR999943.1 3600001 3700000 13 44021
LR999943.1 3700001 3800000 6 44015
LR999943.1 3800001 3900000 4 10031
LR999943.1 3900001 4000000 1 1625
LR999943.1 4000001 4100000 2 8526
LR999943.1 4100001 4200000 3 14887
LR999943.1 4200001 4300000 6 15209
LR999943.1 4300001 4400000 6 45322
LR999943.1 4400001 4500000 8 32850
LR999943.1 4500001 4600000 3 16075
LR999943.1 4600001 4700000 8 33611
LR999943.1 4700001 4800000 0 
LR999943.1 4800001 4900000 0 
LR999943.1 4900001 5000000 7 33961
LR999943.1 5000001 5100000 1 14678
LR999943.1 5100001 5200000 4 23171
LR999943.1 5200001 5300000 3 17804
LR999943.1 5300001 5400000 0 
LR999943.1 5400001 5500000 9 48329
LR999943.1 5500001 5600000 8 38654
LR999943.1 5600001 5700000 0 
LR999943.1 5700001 5800000 0 
LR999943.1 5800001 5900000 3 6162
LR999943.1 5900001 6000000 0 
LR999943.1 6000001 6100000 0 
LR999943.1 6100001 6200000 9 46090
LR999943.1 6200001 6300000 2 12781
LR999943.1 6300001 6400000 0 
LR999943.1 6400001 6500000 3 8066
LR999943.1 6500001 6600000 4 7878
LR999943.1 6600001 6700000 0 
LR999943.1 6700001 6800000 0 
LR999943.1 6800001 6900000 5 25090
LR999943.1 6900001 7000000 6 24609
LR999943.1 7000001 7100000 7 18135
LR999943.1 7100001 7200000 12 20403
LR999943.1 7200001 7300000 3 6556
LR999943.1 7300001 7400000 11 54555
LR999943.1 7400001 7500000 1 3188
LR999943.1 7500001 7600000 4 14212
LR999943.1 7600001 7700000 2 4435
LR999943.1 7700001 7800000 2 4087
LR999943.1 7800001 7900000 3 8651
LR999943.1 7900001 8000000 3 5768
LR999943.1 8000001 8100000 4 9191
LR999943.1 8100001 8200000 0 
LR999943.1 8200001 8300000 2 1876
LR999943.1 8300001 8400000 3 5969
LR999943.1 8400001 8500000 11 49870
LR999943.1 8500001 8600000 0 
LR999943.1 8600001 8700000 1 7354
LR999943.1 8700001 8800000 1 2458
LR999943.1 8800001 8900000 3 19669
LR999943.1 8900001 9000000 9 40393
LR999943.1 9000001 9100000 1 347
LR999943.1 9100001 9200000 0 
LR999943.1 9200001 9300000 6 32533
LR999943.1 9300001 9400000 2 24500
LR999943.1 9400001 9500000 6 17615
LR999943.1 9500001 9600000 11 57203
LR999943.1 9600001 9700000 5 20655
LR999943.1 9700001 9800000 3 21952
LR999943.1 9800001 9900000 0 
LR999943.1 9900001 10000000 13 46819
LR999943.1 10000001 10100000 4 15454
LR999943.1 10100001 10200000 1 893
LR999943.1 10200001 10300000 3 13901
LR999943.1 10300001 10400000 1 19875
LR999943.1 10400001 10500000 1 2726
LR999943.1 10500001 10600000 0 
LR999943.1 10600001 10700000 0 
LR999943.1 10700001 10800000 0 
LR999943.1 10800001 10900000 1 716
LR999943.1 10900001 11000000 3 22528
LR999943.1 11000001 11100000 4 16024
LR999943.1 11100001 11200000 5 75598
LR999943.1 11200001 11300000 1 3520
LR999943.1 11300001 11400000 5 18707
LR999943.1 11400001 11500000 4 16305
LR999943.1 11500001 11600000 11 45599
LR999943.1 11600001 11700000 2 18589
LR999943.1 11700001 11800000 0 
LR999943.1 11800001 11900000 0 
LR999943.1 11900001 12000000 0 
LR999943.1 12000001 12100000 1 683
LR999943.1 12100001 12200000 1 3943
LR999943.1 12200001 12300000 0 
LR999943.1 12300001 12400000 0 
LR999943.1 12400001 12500000 0 
LR999943.1 12500001 12600000 0 
LR999943.1 12600001 12700000 3 12780
LR999943.1 12700001 12800000 8 49379
LR999943.1 12800001 12900000 9 25873
LR999943.1 12900001 13000000 0 
LR999943.1 13000001 13100000 2 3678
LR999943.1 13100001 13200000 0 
LR999943.1 13200001 13236624 0 
