chr	pos	endpos	pheno	poscolor
24	11095349	11096088	Lipoprotein_receptor	2
24	11104340	11108285	Lipoprotein_receptor	2
24	11109488	11110890	Lipoprotein_receptor_na	2
24	11113526	11114537	Lipoprotein_receptor_na	2
24	11125188	11134234	Lipoprotein_receptor_na	2
24	11135335	11136672	Lipoprotein_receptor_na	2
3	291840	294861	Papain	2
3	337395	342140	Papain	2
3	407990	412438	Papain	2
3	434518	436024	Papain	2
3	383932	386599	Papain	2
3	390658	398193	Papain	2
3	427085	428219	Papain	2
3	3173765	3174661	Moricin	2
3	3554479	3555386	Moricin	2
3	3690117	3690643	Moricin	2
3	4024851	4025756	Moricin	2
3	4158918	4159444	Moricin	2
3	4307479	4308385	Moricin	2
3	4428598	4429498	Moricin	2
9	1962735	1964321	ATPase	2
9	14150373	14158121	ATPase	2
Z	11313042	11316256	ATPase	2
22	5005651	5005839	Glycosiltransferase	2
22	5195973	5196164	Glycosiltransferase	2
22	5203773	5203952	Glycosiltransferase	2
22	5290790	5292713	Glycosiltransferase	2
8	988993	990122	Lipoprotein_receptor	2
26	3626891	3630731	Calpain	2
26	3632336	3650126	Calpain	2
26	3659369	3667953	Calpain	2
26	3706851	3713784	Calpain	2
26	3744095	3756437	Calpain	2
26	3784462	3792432	Calpain	2
26	3808862	3824099	Calpain	2
26	3860426	3868455	Calpain	2
2	10255672	10256341	Carboxylesterases	2
2	10263834	10264925	Carboxylesterases	2
2	10295446	10295673	Carboxylesterases	2
2	10302436	10303029	Carboxylesterases	2
2	10336136	10336302	Carboxylesterases	2
