41987 0 0 LR999924.1	8672229
42518 0 0 LR999924.1	16942479*
42504 0 11 LR999924.1	16497041*
42514 0 11 LR999924.1	16880584
42507 0 11 LR999924.1	16497314
42505 0 11 LR999924.1	16497255*
42519 0 11 LR999924.1	16942500*
42506 0 11 LR999924.1	16497270*
42520 0 11 LR999956.1	10550
42517 0 11 LR999924.1	16942464*
42503 0 11 LR999924.1	16496975*
42482 12 12 LR999924.1	16210873
42446 12 12 LR999924.1	15951718*
42443 12 12 LR999924.1	15951697*
42448 12 12 LR999924.1	15951737*
42451 12 12 LR999924.1	15951754*
42477 12 12 LR999924.1	16051275
42455 12 12 LR999924.1	15951813*
42484 12 12 LR999924.1	16211083
42444 12 12 LR999924.1	15951705*
42481 12 12 LR999924.1	16210821*
42497 12 12 LR999924.1	16341258*
42445 12 12 LR999924.1	15951717*
42476 12 12 LR999924.1	16051188*
42498 12 12 LR999924.1	16386975
42456 12 12 LR999924.1	15951842
42442 12 12 LR999924.1	15951693*
42496 12 12 LR999924.1	16341257*
42450 12 12 LR999924.1	15951739*
42447 12 12 LR999924.1	15951725*
42449 12 12 LR999924.1	15951738*
42452 12 12 LR999924.1	15951777*
42454 12 12 LR999924.1	15951795*
42453 12 12 LR999924.1	15951779*
42469 13 13 LR999924.1	16014426*
42468 13 13 LR999924.1	16014425*
42467 13 13 LR999924.1	16014369*
42466 13 13 LR999924.1	16014324*
42465 13 13 LR999924.1	16014287*
42470 13 13 LR999924.1	16014434
42418 14 14 LR999924.1	14784741
42417 14 14 LR999924.1	14784640*
42421 15 15 LR999924.1	14794868*
42422 15 15 LR999924.1	14794981*
42387 16 16 LR999924.1	14250871*
42388 16 16 LR999924.1	14250873*
42402 14 14 LR999924.1	14661948 16
42389 16 16 LR999924.1	14250926*
42374 17 17 LR999924.1	13849169*
42377 17 17 LR999924.1	13849391*
42373 17 17 LR999924.1	13849150*
42376 17 17 LR999924.1	13849346*
42375 17 17 LR999924.1	13849188*
42336 18 19 LR999924.1	13302485
42311 18 18 LR999924.1	13121163*
42327 18 18 LR999924.1	13157796*
42306 18 18 LR999924.1	13121092
42312 18 18 LR999924.1	13121331*
42313 18 18 LR999924.1	13121347*
42303 18 18 LR999924.1	12998667*
42333 18 18 LR999924.1	13302252*
42334 18 18 LR999924.1	13302260*
42328 18 18 LR999924.1	13158040
42319 18 18 LR999924.1	13124076*
42314 18 18 LR999924.1	13121397
42310 18 18 LR999924.1	13121137*
42323 18 18 LR999924.1	13151680
42302 18 18 LR999924.1	12998650*
42335 18 18 LR999924.1	13302322*
42301 18 18 LR999924.1	12998627*
42295 19 19 LR999924.1	12927658*
42247 19 19 LR999924.1	12536953
42291 19 19 LR999924.1	12764573*
42296 19 19 LR999924.1	12927724*
42292 19 19 LR999924.1	12764582
42246 19 19 LR999924.1	12536652*
42290 19 19 LR999924.1	12764521*
42252 19 19 LR999924.1	12542975
42286 19 19 LR999924.1	12764362*
42251 19 19 LR999924.1	12542962*
42267 19 19 LR999924.1	12558502
42287 19 19 LR999924.1	12764466
42226 20 20 LR999924.1	12174753*
42219 20 20 LR999924.1	12107892
42227 20 20 LR999924.1	12174762
42223 20 20 LR999924.1	12168428
42215 20 20 LR999924.1	12107617*
42222 20 20 LR999924.1	12161631*
42216 20 20 LR999924.1	12107662*
42170 21 21 LR999924.1	11458046*
42169 21 21 LR999924.1	11458038*
42176 21 21 LR999924.1	11458197
42172 21 21 LR999924.1	11458147
42177 21 21 LR999924.1	11458252
42171 21 21 LR999924.1	11458074*
42106 22 22 LR999924.1	10349805*
42097 22 22 LR999924.1	10307960*
42115 22 22 LR999924.1	10690452*
42095 22 22 LR999924.1	10307845*
42114 22 22 LR999924.1	10690417*
42098 22 22 LR999924.1	10308026
42124 22 22 LR999924.1	10948233*
42094 22 22 LR999924.1	10307810*
42107 22 22 LR999924.1	10349870*
42116 22 22 LR999924.1	10728570
42126 22 22 LR999924.1	10948345*
42125 22 22 LR999924.1	10948342*
42076 23 23 LR999924.1	9955544*
42072 23 23 LR999924.1	9955480
42088 23 23 LR999924.1	10253423
42070 23 23 LR999924.1	9955462*
42078 23 23 LR999924.1	9993576
42075 23 23 LR999924.1	9955534*
42086 23 23 LR999924.1	10204524*
42071 23 23 LR999924.1	9955467*
42087 23 23 LR999924.1	10204756*
42066 23 23 LR999924.1	9955420*
42074 23 23 LR999924.1	9955492*
42067 23 23 LR999924.1	9955432*
42077 23 23 LR999924.1	9955583*
42068 23 23 LR999924.1	9955435*
42069 23 23 LR999924.1	9955443*
42085 23 23 LR999924.1	10204515*
42056 23 23 LR999924.1	9730835*
42062 23 23 LR999924.1	9730931*
42044 24 24 LR999924.1	9537557
42035 24 24 LR999924.1	9405930*
42037 24 24 LR999924.1	9406214*
42038 24 24 LR999924.1	9526013
42032 24 25 LR999924.1	9307690*
42002 25 25 LR999924.1	8930944*
42005 25 25 LR999924.1	8930978*
42000 25 25 LR999924.1	8930765*
42004 25 25 LR999924.1	8930970*
42018 25 25 LR999924.1	9016521*
42013 25 25 LR999924.1	9016513*
42041 25 25 LR999924.1	9537225
42019 25 25 LR999924.1	9080237
42007 25 25 LR999924.1	8931055
42043 25 25 LR999924.1	9537461*
42030 24 25 LR999924.1	9307605*
42014 25 25 LR999924.1	9016514*
42031 24 25 LR999924.1	9307684*
42006 25 25 LR999924.1	8931014*
42001 25 25 LR999924.1	8930770*
41995 25 25 LR999924.1	8877517
42021 25 25 LR999924.1	9080567
42027 25 25 LR999924.1	9212202
41990 26 26 LR999924.1	8825209
41973 26 26 LR999924.1	8522390
41968 26 26 LR999924.1	8522106
41993 26 26 LR999924.1	8825311*
41994 26 26 LR999924.1	8877484*
41989 26 26 LR999924.1	8825033*
41924 27 27 LR999924.1	8496778*
41923 27 27 LR999924.1	8462214*
41894 28 28 LR999924.1	7792643
41904 28 28 LR999924.1	7938761*
41901 28 28 LR999924.1	7885342
41899 28 28 LR999924.1	7885208*
41871 29 29 LR999924.1	7471388
41838 29 29 LR999924.1	7129111*
41881 29 29 LR999924.1	7539874*
41841 29 29 LR999924.1	7129132*
41857 29 29 LR999924.1	7438947*
41820 29 29 LR999924.1	6958460*
41840 29 29 LR999924.1	7129131*
41877 29 29 LR999924.1	7539612
41880 29 29 LR999924.1	7539847*
41863 29 29 LR999924.1	7439298*
41831 29 29 LR999924.1	7077878*
41843 29 29 LR999924.1	7129146
41875 29 29 LR999924.1	7539526*
41839 29 29 LR999924.1	7129114*
41832 29 29 LR999924.1	7077901*
41822 29 29 LR999924.1	6976098
41810 29 29 LR999924.1	6925481
41858 29 29 LR999924.1	7439031
41862 29 29 LR999924.1	7439147*
41870 29 29 LR999924.1	7471337*
41864 29 29 LR999924.1	7439316
41833 29 29 LR999924.1	7078045
41874 29 29 LR999924.1	7539520*
41779 30 30 LR999924.1	6765934*
41685 30 31 LR999924.1	5710958*
41717 30 31 LR999924.1	6151282
41821 29 31 LR999924.1	6958489*
41686 30 31 LR999924.1	5711104
41777 30 31 LR999924.1	6765924
41737 30 31 LR999924.1	6257327*
