LR999927.1 1 100000 
LR999927.1 100001 200000 30
LR999927.1 200001 300000 2736
LR999927.1 300001 400000 1416
LR999927.1 400001 500000 4859
LR999927.1 500001 600000 7419
LR999927.1 600001 700000 5713
LR999927.1 700001 800000 6364
LR999927.1 800001 900000 5506
LR999927.1 900001 1e+06 6901
LR999927.1 1e+06 1.1e+06 9501
LR999927.1 1.1e+06 1.2e+06 5532
LR999927.1 1.2e+06 1.3e+06 8528
LR999927.1 1.3e+06 1.4e+06 9676
LR999927.1 1.4e+06 1.5e+06 5525
LR999927.1 1.5e+06 1.6e+06 7614
LR999927.1 1.6e+06 1.7e+06 6053
LR999927.1 1.7e+06 1.8e+06 5458
LR999927.1 1.8e+06 1.9e+06 4820
LR999927.1 1.9e+06 2e+06 9286
LR999927.1 2e+06 2.1e+06 9172
LR999927.1 2.1e+06 2.2e+06 7617
LR999927.1 2.2e+06 2.3e+06 7817
LR999927.1 2.3e+06 2.4e+06 10094
LR999927.1 2.4e+06 2.5e+06 7948
LR999927.1 2.5e+06 2.6e+06 9161
LR999927.1 2.6e+06 2.7e+06 7460
LR999927.1 2.7e+06 2.8e+06 11581
LR999927.1 2.8e+06 2.9e+06 13373
LR999927.1 2.9e+06 3e+06 10782
LR999927.1 3e+06 3.1e+06 6731
LR999927.1 3.1e+06 3.2e+06 5653
LR999927.1 3.2e+06 3.3e+06 7042
LR999927.1 3.3e+06 3.4e+06 4473
LR999927.1 3.4e+06 3.5e+06 2461
LR999927.1 3.5e+06 3.6e+06 5941
LR999927.1 3.6e+06 3.7e+06 4049
LR999927.1 3.7e+06 3.8e+06 2952
LR999927.1 3.8e+06 3.9e+06 4280
LR999927.1 3.9e+06 4e+06 3944
LR999927.1 4e+06 4.1e+06 4310
LR999927.1 4.1e+06 4.2e+06 2268
LR999927.1 4.2e+06 4.3e+06 3422
LR999927.1 4.3e+06 4.4e+06 5910
LR999927.1 4.4e+06 4.5e+06 4855
LR999927.1 4.5e+06 4.6e+06 4497
LR999927.1 4.6e+06 4.7e+06 5542
LR999927.1 4.7e+06 4.8e+06 4859
LR999927.1 4.8e+06 4.9e+06 3840
LR999927.1 4.9e+06 5e+06 1535
LR999927.1 5e+06 5.1e+06 4842
LR999927.1 5.1e+06 5.2e+06 4300
LR999927.1 5.2e+06 5.3e+06 5141
LR999927.1 5.3e+06 5.4e+06 6325
LR999927.1 5.4e+06 5.5e+06 7198
LR999927.1 5.5e+06 5.6e+06 5876
LR999927.1 5.6e+06 5.7e+06 5149
LR999927.1 5.7e+06 5.8e+06 3838
LR999927.1 5.8e+06 5.9e+06 4418
LR999927.1 5.9e+06 6e+06 5913
LR999927.1 6e+06 6.1e+06 3637
LR999927.1 6.1e+06 6.2e+06 1549
LR999927.1 6.2e+06 6.3e+06 1269
LR999927.1 6.3e+06 6.4e+06 2106
LR999927.1 6.4e+06 6.5e+06 3153
LR999927.1 6.5e+06 6.6e+06 3708
LR999927.1 6.6e+06 6.7e+06 3167
LR999927.1 6.7e+06 6.8e+06 5231
LR999927.1 6.8e+06 6.9e+06 3415
LR999927.1 6.9e+06 7e+06 2213
LR999927.1 7e+06 7.1e+06 3271
LR999927.1 7.1e+06 7.2e+06 6024
LR999927.1 7.2e+06 7.3e+06 4314
LR999927.1 7.3e+06 7.4e+06 6123
LR999927.1 7.4e+06 7.5e+06 2536
LR999927.1 7.5e+06 7.6e+06 5689
LR999927.1 7.6e+06 7.7e+06 4630
LR999927.1 7.7e+06 7.8e+06 5024
LR999927.1 7.8e+06 7.9e+06 4978
LR999927.1 7.9e+06 8e+06 8625
LR999927.1 8e+06 8.1e+06 7925
LR999927.1 8.1e+06 8.2e+06 5347
LR999927.1 8.2e+06 8.3e+06 4606
LR999927.1 8.3e+06 8.4e+06 4545
LR999927.1 8.4e+06 8.5e+06 3983
LR999927.1 8.5e+06 8.6e+06 6712
LR999927.1 8.6e+06 8.7e+06 7649
LR999927.1 8.7e+06 8.8e+06 7758
LR999927.1 8.8e+06 8.9e+06 8111
LR999927.1 8.9e+06 9e+06 7628
LR999927.1 9e+06 9.1e+06 5326
LR999927.1 9.1e+06 9.2e+06 3719
LR999927.1 9.2e+06 9.3e+06 3148
LR999927.1 9.3e+06 9.4e+06 7309
LR999927.1 9.4e+06 9.5e+06 6985
LR999927.1 9.5e+06 9.6e+06 8142
LR999927.1 9.6e+06 9.7e+06 5967
LR999927.1 9.7e+06 9.8e+06 5674
LR999927.1 9.8e+06 9.9e+06 4707
LR999927.1 9.9e+06 1e+07 6117
LR999927.1 1e+07 1.01e+07 2868
LR999927.1 1.01e+07 1.02e+07 7172
LR999927.1 1.02e+07 1.03e+07 8126
LR999927.1 1.03e+07 1.04e+07 10095
LR999927.1 1.04e+07 1.05e+07 5965
LR999927.1 1.05e+07 1.06e+07 9292
LR999927.1 1.06e+07 1.07e+07 6624
LR999927.1 1.07e+07 1.08e+07 7472
LR999927.1 1.08e+07 1.09e+07 8516
LR999927.1 1.09e+07 1.1e+07 8130
LR999927.1 1.1e+07 1.11e+07 6086
LR999927.1 1.11e+07 1.12e+07 4770
LR999927.1 1.12e+07 1.13e+07 5229
