"chrom" "begin" "end" "markers" "rec_rate" "chr_length" "rec_sd" "GC" "chr_type" "rel_pos" "count_rpt" "count_SINE" "count_DNA" "count_TcM" "count_LINE" "count_LTR" "count_nonLTR" "count_genes" "count_CDS" "length_rpt" "length_SINE" "length_DNA" "length_TcM" "length_LINE" "length_LTR" "length_nonLTR" "length_genes" "length_CDS" "density_rpt" "density_SINE" "density_DNA" "density_TcM" "density_LINE" "density_LTR" "density_nonLTR" "density_genes" "density_CDS" "prop_rpt" "prop_SINE" "prop_DNA" "prop_TcM" "prop_LINE" "prop_LTR" "prop_nonLTR" "prop_genes" "prop_CDS"
"1" "LR999924.1" 1 2000000 11 1.3 17040296 0.339882333 0.357385 "Z" 0.0586844559507652 2734 450 170 39 163 36 341 36 36 398150 81220 30358 8843 38460 7092 120208 242939 44943 1.367 0.225 0.085 0.0195 0.0815 0.018 0.1705 0.018 0.018 0.199075 0.04061 0.015179 0.0044215 0.01923 0.003546 0.060104 0.1214695 0.0224715
"2" "LR999924.1" 2000001 4000000 15 4.864666667 17040296 1.966831631 0.323664 "Z" 0.176053309167869 3166 552 212 9 176 35 314 41 41 409031 97665 33311 1566 52069 10532 63819 261183 37659 1.583 0.276 0.106 0.0045 0.088 0.0175 0.157 0.0205 0.0205 0.2045155 0.0488325 0.0166555 0.000783 0.0260345 0.005266 0.0319095 0.1305915 0.0188295
"3" "LR999924.1" 4000001 6000000 13 5.563076923 17040296 2.52030218 0.320664 "Z" 0.293422162384973 2768 450 197 14 132 45 213 57 57 342240 86360 38404 3074 27261 9985 46981 314276 57509 1.384 0.225 0.0985 0.007 0.066 0.0225 0.1065 0.0285 0.0285 0.17112 0.04318 0.019202 0.001537 0.0136305 0.0049925 0.0234905 0.157138 0.0287545
"4" "LR999924.1" 6000001 8000000 18 2.039444444 17040296 0.245847208 0.320596 "Z" 0.410791015602076 2514 351 240 17 119 27 188 74 74 306115 67462 42705 2631 21642 7555 42948 307155 78693 1.257 0.1755 0.12 0.0085 0.0595 0.0135 0.094 0.037 0.037 0.1530575 0.033731 0.0213525 0.0013155 0.010821 0.0037775 0.021474 0.1535775 0.0393465
"5" "LR999924.1" 8000001 10000000 18 2.612777778 17040296 0.277738886 0.31786 "Z" 0.52815986881918 2697 400 209 5 128 22 204 71 71 313682 71839 23457 2293 26234 7388 47703 365997 72086 1.3485 0.2 0.1045 0.0025 0.064 0.011 0.102 0.0355 0.0355 0.156841 0.0359195 0.0117285 0.0011465 0.013117 0.003694 0.0238515 0.1829985 0.036043
"6" "LR999924.1" 10000001 12000000 9 1.642222222 17040296 0.225043206 0.318933 "Z" 0.645528722036284 2546 300 185 20 145 34 222 64 64 309292 56214 29984 4063 23785 11924 56991 330040 67933 1.273 0.15 0.0925 0.01 0.0725 0.017 0.111 0.032 0.032 0.154646 0.028107 0.014992 0.0020315 0.0118925 0.005962 0.0284955 0.16502 0.0339665
"7" "LR999924.1" 12000001 14000000 18 2.061111111 17040296 0.159775169 0.318563 "Z" 0.762897575253388 2392 314 169 4 110 27 183 41 41 273709 54575 25168 1677 22728 12159 39099 249708 45871 1.196 0.157 0.0845 0.002 0.055 0.0135 0.0915 0.0205 0.0205 0.1368545 0.0272875 0.012584 0.0008385 0.011364 0.0060795 0.0195495 0.124854 0.0229355
"8" "LR999924.1" 14000001 16000000 3 3.646666667 17040296 0.38682468 0.325422 "Z" 0.880266428470491 2427 393 189 9 118 35 239 62 62 304603 70491 32519 2768 28371 9340 57475 324418 62993 1.2135 0.1965 0.0945 0.0045 0.059 0.0175 0.1195 0.031 0.031 0.1523015 0.0352455 0.0162595 0.001384 0.0141855 0.00467 0.0287375 0.162209 0.0314965
"9" "LR999924.1" 16000001 17040296 9 0.54 17040296 0 0.346551 "Z" 0.969475442210628 1267 199 90 4 49 15 133 26 26 155611 37826 15136 1335 10472 1513 32764 158319 22453 1.21792259126249 0.191291709282743 0.0865138383690796 0.0038450594830702 0.04710197866761 0.0144189730615133 0.127848227812084 0.0249928866399563 0.0249928866399563 0.149583387805009 0.0363608050016534 0.0145497050839376 0.00128328860247468 0.0100663657266778 0.0014543937494713 0.031494882225828 0.152186493075048 0.0215832801433438
"10" "LR999925.1" 1 2000000 4 3.3575 16607008 0.475 0.335227 "Autosome" 0.0602155728473184 3679 579 257 21 207 56 451 41 41 522751 107950 41806 5159 52647 21611 114732 208125 40921 1.8395 0.2895 0.1285 0.0105 0.1035 0.028 0.2255 0.0205 0.0205 0.2613755 0.053975 0.020903 0.0025795 0.0263235 0.0108055 0.057366 0.1040625 0.0204605
"11" "LR999925.1" 2000001 4000000 12 5.881666667 16607008 0.465790303 0.326583 "Autosome" 0.180646658326413 2719 436 203 0 137 43 252 67 67 380574 78898 31833 0 40876 20339 71168 282445 73082 1.3595 0.218 0.1015 0 0.0685 0.0215 0.126 0.0335 0.0335 0.190287 0.039449 0.0159165 0 0.020438 0.0101695 0.035584 0.1412225 0.036541
"12" "LR999925.1" 4000001 6000000 16 4.909375 16607008 1.50785264 0.323858 "Autosome" 0.301077743805507 2912 421 231 16 149 25 264 110 110 379776 73295 37905 3606 33245 4413 82473 412492 99342 1.456 0.2105 0.1155 0.008 0.0745 0.0125 0.132 0.055 0.055 0.189888 0.0366475 0.0189525 0.001803 0.0166225 0.0022065 0.0412365 0.206246 0.049671
"13" "LR999925.1" 6000001 8000000 12 2.006666667 16607008 0.154645244 0.324281 "Autosome" 0.421508829284601 2426 348 159 13 131 29 190 73 73 297907 62108 22218 3732 32950 11741 48196 328091 75620 1.213 0.174 0.0795 0.0065 0.0655 0.0145 0.095 0.0365 0.0365 0.1489535 0.031054 0.011109 0.001866 0.016475 0.0058705 0.024098 0.1640455 0.03781
"14" "LR999925.1" 8000001 10000000 12 1.670833333 16607008 0.724298511 0.317807 "Autosome" 0.541939914763695 2284 261 207 11 122 39 198 66 66 294622 47895 36443 3557 28592 13944 50277 273692 67684 1.142 0.1305 0.1035 0.0055 0.061 0.0195 0.099 0.033 0.033 0.147311 0.0239475 0.0182215 0.0017785 0.014296 0.006972 0.0251385 0.136846 0.033842
"15" "LR999925.1" 10000001 12000000 6 2.383333333 16607008 1.427524664 0.325742 "Autosome" 0.662371000242789 2868 421 220 13 122 57 246 75 75 384085 78126 41760 4254 28541 26294 69116 328542 85635 1.434 0.2105 0.11 0.0065 0.061 0.0285 0.123 0.0375 0.0375 0.1920425 0.039063 0.02088 0.002127 0.0142705 0.013147 0.034558 0.164271 0.0428175
"16" "LR999925.1" 12000001 14000000 17 3.302352941 16607008 1.077308738 0.323169 "Autosome" 0.782802085721883 3287 605 201 10 173 40 349 47 47 413530 106678 25662 3143 46221 8922 73550 203318 46764 1.6435 0.3025 0.1005 0.005 0.0865 0.02 0.1745 0.0235 0.0235 0.206765 0.053339 0.012831 0.0015715 0.0231105 0.004461 0.036775 0.101659 0.023382
"17" "LR999925.1" 14000001 16000000 12 0.820833333 16607008 0.241000126 0.330759 "Autosome" 0.903233171200977 2930 425 228 9 115 72 329 104 104 367652 79414 27959 1991 28359 26748 67076 416643 103250 1.465 0.2125 0.114 0.0045 0.0575 0.036 0.1645 0.052 0.052 0.183826 0.039707 0.0139795 0.0009955 0.0141795 0.013374 0.033538 0.2083215 0.051625
