	chrom	begin	end	count_rpt	length_rpt	count_SINE	length_SINE	count_DNA	length_DNA	count_TcM	length_TcM	count_LINE	length_LINE	count_LTR	length_LTR	count_nonLTR	length_nonLTR	count_simple	length_simple	count_gene	length_gene	count_gene_ex	length_gene_ex
0	LR999946.1	1.0	100000.0	166	73649	0.0	0.0	20.0	1585.0	20.0	1585.0	32	6518	0.0	0.0	65.0	62538.0	38	2010	0	0.0	0	0.0
1	LR999946.1	100001.0	200000.0	104	27819	3.0	659.0	7.0	620.0	6.0	515.0	20	6646	0.0	0.0	34.0	17494.0	35	1798	1	1832.0	0	0.0
2	LR999946.1	200001.0	300000.0	70	9197	8.0	1436.0	1.0	78.0	0.0	0.0	3	3404	0.0	0.0	7.0	1049.0	29	1175	0	0.0	0	0.0
3	LR999946.1	300001.0	400000.0	84	8664	16.0	3600.0	7.0	750.0	0.0	0.0	3	208	0.0	0.0	9.0	958.0	27	1137	2	9041.0	0	0.0
4	LR999946.1	400001.0	500000.0	117	17126	29.0	5993.0	6.0	419.0	0.0	0.0	2	146	0.0	0.0	14.0	5969.0	24	1055	9	34196.0	0	0.0
5	LR999946.1	500001.0	600000.0	117	19426	5.0	969.0	23.0	6220.0	2.0	1149.0	1	124	4.0	2040.0	20.0	4525.0	28	1061	6	15676.0	0	0.0
6	LR999946.1	600001.0	700000.0	160	41526	7.0	1589.0	47.0	12561.0	6.0	907.0	3	2265	31.0	12133.0	12.0	6898.0	17	602	6	29289.0	1	11658.0
7	LR999946.1	700001.0	800000.0	149	39474	8.0	872.0	33.0	10924.0	8.0	2594.0	7	2118	19.0	7924.0	13.0	9690.0	25	1001	2	7639.0	1	5202.0
8	LR999946.1	800001.0	900000.0	143	49796	3.0	169.0	36.0	15827.0	4.0	1822.0	12	7519	9.0	8332.0	25.0	12971.0	21	891	0	0.0	0	0.0
9	LR999946.1	900001.0	1000000.0	239	31698	50.0	9430.0	17.0	2679.0	0.0	0.0	9	1194	5.0	441.0	33.0	7833.0	41	1607	3	24135.0	1	455.0
10	LR999946.1	1000000.0	1100000.0	227	35633	35.0	6382.0	20.0	3411.0	2.0	264.0	15	4266	8.0	4465.0	31.0	6933.0	35	1646	3	8510.0	0	0.0
11	LR999946.1	1100000.0	1200000.0	253	32154	48.0	8508.0	23.0	3772.0	0.0	0.0	9	2049	4.0	275.0	27.0	4564.0	30	1155	2	14829.0	0	0.0
12	LR999946.1	1200000.0	1300000.0	162	27203	23.0	4209.0	9.0	994.0	2.0	334.0	13	5372	4.0	3468.0	26.0	7164.0	38	1760	8	26019.0	0	0.0
13	LR999946.1	1300000.0	1400000.0	196	25523	38.0	8185.0	16.0	3101.0	2.0	1623.0	8	892	1.0	65.0	34.0	4619.0	31	1413	6	25662.0	0	0.0
14	LR999946.1	1400000.0	1500000.0	197	25765	42.0	9046.0	11.0	2965.0	1.0	1054.0	6	685	1.0	79.0	24.0	3389.0	35	1633	2	8029.0	0	0.0
15	LR999946.1	1500000.0	1600000.0	176	21671	38.0	7341.0	9.0	714.0	0.0	0.0	5	566	6.0	475.0	20.0	3320.0	33	1412	3	22374.0	0	0.0
16	LR999946.1	1600000.0	1700000.0	293	46429	55.0	11493.0	23.0	2971.0	2.0	686.0	14	2774	3.0	283.0	40.0	14647.0	24	967	0	0.0	0	0.0
17	LR999946.1	1700000.0	1800000.0	216	39559	40.0	8016.0	7.0	334.0	1.0	56.0	24	5634	4.0	1584.0	28.0	14747.0	38	1475	1	1814.0	0	0.0
18	LR999946.1	1800000.0	1900000.0	271	32875	66.0	12575.0	14.0	1618.0	0.0	0.0	6	820	4.0	498.0	25.0	3102.0	32	1180	0	0.0	0	0.0
19	LR999946.1	1900000.0	2000000.0	234	38118	49.0	9697.0	11.0	2155.0	2.0	1610.0	14	1775	3.0	198.0	26.0	13510.0	40	1415	2	9079.0	0	0.0
20	LR999946.1	2000000.0	2100000.0	297	33415	54.0	9099.0	15.0	1714.0	1.0	448.0	16	2526	1.0	92.0	35.0	4451.0	44	1808	1	1670.0	0	0.0
21	LR999946.1	2100000.0	2200000.0	251	36078	28.0	5071.0	22.0	4404.0	2.0	150.0	15	6965	0.0	0.0	22.0	4412.0	39	1556	0	0.0	0	0.0
22	LR999946.1	2200000.0	2300000.0	191	21584	29.0	4829.0	16.0	2744.0	2.0	1623.0	7	819	1.0	50.0	19.0	3619.0	36	1485	9	22712.0	0	0.0
23	LR999946.1	2300000.0	2400000.0	258	30623	59.0	10592.0	21.0	3312.0	0.0	0.0	10	1291	4.0	308.0	41.0	4308.0	33	1294	1	10890.0	0	0.0
24	LR999946.1	2400000.0	2500000.0	236	30840	54.0	9817.0	13.0	1773.0	0.0	0.0	9	3131	5.0	532.0	27.0	4420.0	27	1022	0	0.0	0	0.0
25	LR999946.1	2500000.0	2600000.0	263	32146	47.0	6612.0	20.0	2794.0	0.0	0.0	12	2172	3.0	98.0	36.0	7935.0	47	2086	3	12439.0	1	1252.0
26	LR999946.1	2600000.0	2700000.0	234	26986	53.0	10461.0	10.0	1015.0	0.0	0.0	6	611	4.0	369.0	33.0	4320.0	31	1385	1	1899.0	0	0.0
