"mkr" "set" "map" "phys" "gen" "vld" "slidingwindow.3" "slidingwindow" "slidingwindow.2" "slidingwindow.4" "vld.1" "loess" "chr_length" "chr_start" "genome_pos" "rel_pos" "chr_type"
"1" 41199 "vcar" "LR999924.1" 377201 1.111 TRUE 0.76 0 0 0.76 TRUE NA 17040296 0 377201 2.21358244011724 "Z"
"2" 41202 "vcar" "LR999924.1" 406369 1.111 TRUE 0.76 0 0 0.76 TRUE 1.11 17040296 0 406369 2.38475317564906 "Z"
"3" 41230 "vcar" "LR999924.1" 702834 1.111 TRUE 1.08 0 0 1.08 TRUE 1.24 17040296 0 702834 4.1245410290995 "Z"
"4" 41246 "vcar" "LR999924.1" 942878 1.111 TRUE 1.44 1.89 1.89 1.44 TRUE 1.34 17040296 0 942878 5.53322547918182 "Z"
"5" 41256 "vcar" "LR999924.1" 943232 1.111 TRUE 1.44 1.89 1.89 1.44 TRUE 1.34 17040296 0 943232 5.53530290788376 "Z"
"6" 41276 "vcar" "LR999924.1" 1080480 1.111 TRUE 1.58 1.79 1.79 1.58 TRUE 1.49 17040296 0 1080480 6.34073492620081 "Z"
"7" 41304 "vcar" "LR999924.1" 1356020 2.222 TRUE 1.55 2.61 2.61 1.55 TRUE 1.48 17040296 0 1356020 7.95772561697285 "Z"
"8" 41335 "vcar" "LR999924.1" 1413500 2.222 TRUE 1.74 2.61 2.61 1.74 TRUE 1.42 17040296 0 1413500 8.29504370111881 "Z"
"9" 41356 "vcar" "LR999924.1" 1535700 2.222 TRUE 1.61 2.59 2.59 1.61 TRUE 0.58 17040296 0 1535700 9.01216739427531 "Z"
"10" 41363 "vcar" "LR999924.1" 1759540 3.334 TRUE 1.27 1.67 1.67 1.27 TRUE 0.22 17040296 0 1759540 10.3257595994811 "Z"
"11" 41377 "vcar" "LR999924.1" 1957630 3.334 TRUE 1.07 0.87 0.87 1.07 TRUE 1.19 17040296 0 1957630 11.4882394061699 "Z"
"12" 41381 "vcar" "LR999924.1" 2038860 3.334 TRUE 1.07 0 0 1.07 TRUE 1.94 17040296 0 2038860 11.9649330035112 "Z"
"13" 41401 "vcar" "LR999924.1" 2183820 3.334 TRUE 3.21 0 0 3.21 TRUE 1.33 17040296 0 2183820 12.8156224516288 "Z"
"14" 41422 "vcar" "LR999924.1" 2394150 3.334 TRUE 4.2 0 0 4.2 TRUE 3.24 17040296 0 2394150 14.0499319964864 "Z"
"15" 41430 "vcar" "LR999924.1" 2449560 3.334 TRUE 4.71 0 0 4.71 TRUE 4.29 17040296 0 2449560 14.3751024043244 "Z"
"16" 41434 "vcar" "LR999924.1" 2544260 3.334 TRUE 5.74 0 0 5.74 TRUE 5.58 17040296 0 2544260 14.9308439243074 "Z"
"17" 41439 "vcar" "LR999924.1" 2568450 3.334 TRUE 5.74 6.87 6.87 5.74 TRUE 5.74 17040296 0 2568450 15.0728015522735 "Z"
"18" 41441 "vcar" "LR999924.1" 2643150 3.334 TRUE 5.74 6.87 6.87 5.74 TRUE 5.8 17040296 0 2643150 15.5111742190394 "Z"
"19" 41446 "vcar" "LR999924.1" 2683880 3.334 TRUE 5.74 11.42 11.42 5.74 TRUE 5.56 17040296 0 2683880 15.750195888616 "Z"
"20" 41447 "vcar" "LR999924.1" 2684110 3.334 TRUE 5.74 11.42 11.42 5.74 TRUE 5.56 17040296 0 2684110 15.751545630428 "Z"
"21" 41459 "vcar" "LR999924.1" 3066450 10.002 TRUE 7.46 9.67 9.67 7.46 TRUE 8.14 17040296 0 3066450 17.9952859973794 "Z"
"22" 41464 "vcar" "LR999924.1" 3149370 11.114 TRUE 6.24 9.47 9.47 6.24 TRUE 6.1 17040296 0 3149370 18.4818972628175 "Z"
"23" 41477 "vcar" "LR999924.1" 3376830 11.114 TRUE 6.55 1.24 1.24 6.55 TRUE 6.95 17040296 0 3376830 19.8167332304556 "Z"
"24" 41496 "vcar" "LR999924.1" 3516890 11.114 TRUE 5.27 1.24 1.24 5.27 TRUE 5.87 17040296 0 3516890 20.638667309535 "Z"
"25" 41506 "vcar" "LR999924.1" 3517290 11.114 TRUE 5.27 1.24 1.24 5.27 TRUE 5.87 17040296 0 3517290 20.6410146865993 "Z"
"26" 41513 "vcar" "LR999924.1" 3695380 11.114 TRUE 0.29 0 0 0.29 TRUE 2.74 17040296 0 3695380 21.686125640071 "Z"
"27" 41551 "vcar" "LR999924.1" 4133320 11.114 TRUE 0 0 0 0 TRUE -2.52 17040296 0 4133320 24.256151418966 "Z"
"28" 41584 "vcar" "LR999924.1" 4412990 11.114 TRUE 2.83 0 0 2.83 TRUE -0.58 17040296 0 4412990 25.8973787779273 "Z"
"29" 41601 "vcar" "LR999924.1" 4678290 11.114 TRUE 4.48 0 0 4.48 TRUE 5.06 17040296 0 4678290 27.4542766158522 "Z"
"30" 41613 "vcar" "LR999924.1" 4702330 11.114 TRUE 7.26 0 0 7.26 TRUE 7.38 17040296 0 4702330 27.5953539774192 "Z"
"31" 41622 "vcar" "LR999924.1" 4710670 11.114 TRUE 7.26 0 0 7.26 TRUE 7.52 17040296 0 4710670 27.6442967892107 "Z"
"32" 41633 "vcar" "LR999924.1" 4711000 11.114 TRUE 7.95 0 0 7.95 TRUE 7.52 17040296 0 4711000 27.6462333752888 "Z"
"33" 41651 "vcar" "LR999924.1" 4740500 11.114 TRUE 7.95 0 0 7.95 TRUE 5.3 17040296 0 4740500 27.819352433784 "Z"
