LG1
5686 0.000 LR999928.1	2870769 ( 0 ) 110011010000001001101110011101000001101010001101101010001001100000001010010111111001101011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 0 0
5686 0.000 LR999928.1	2870769 ( 0 ) 110011010000001001101110011101000001101010001101101010001001100000001010010111111001101011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 0 0
6205 0.000 LR999928.1	7937849 ( 0 ) 110011010000001001101110011101000001101010001101101010001001100000001010010111111001101011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 0 0
5468 0.000 LR999928.1	1897736 ( 0 ) 110011010000001001101110011101000001101010001101101010001001100000001010010111111001101011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 0 0
5463 0.000 LR999928.1	1897698 ( 0 ) 110011010000001001101110011101000001101010001101101010001001100000001010010111111001101011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 0 0
6264 0.000 LR999928.1	8271669 ( 0 ) 110011010000001001101110011101000001101010001101101010001001100000001010010111111001101011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 0 0
6206 0.000 LR999928.1	7937858 ( 0 ) 110011010000001001101110011101000001101010001101101010001001100000001010010111111001101011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 0 0
6207 0.000 LR999928.1	7937913 ( 0 ) 110011010000001001101110011101000001101010001101101010001001100000001010010111111001101011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 0 0
6208 0.000 LR999928.1	7937917 ( 0 ) 110011010000001001101110011101000001101010001101101010001001100000001010010111111001101011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 0 0
6940 0.000 LR999928.1	15276720 ( 0 ) 110011010000001001101110011101000001101010001101101010001001100000001010010111111001101011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 0 0
6462 0.000 LR999928.1	10765520 ( 0 ) 110011010000001001101110011101000001101010001101101010001001100000001010010111111001101011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 0 0
5458 0.000 LR999928.1	1897662 ( 0 ) 110011010000001001101110011101000001101010001101101010001001100000001010010111111001101011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 0 0
6209 0.000 LR999928.1	7938116 ( 0 ) 110011010000001001101110011101000001101010001101101010001001100000001010010111111001101011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 0 0
6799 0.000 LR999928.1	14024933 ( 0 ) 110011010000001001101110011101000001101010001101101010001001100000001010010111111001101011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 0 0
6006 0.000 LR999928.1	6220872 ( 0 ) 110011010000001001101110011101000001101010001101101010001001100000001010010111111001101011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 0 0
6261 0.000 LR999928.1	8271649 ( 0 ) 110011010000001001101110011101000001101010001101101010001001100000001010010111111001101011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 0 0
6214 0.000 LR999928.1	8009812 ( 0 ) 110011010000001001101110011101000001101010001101101010001001100000001010010111111001101011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 0 0
6939 0.000 LR999928.1	15276691 ( 0 ) 110011010000001001101110011101000001101010001101101010001001100000001010010111111001101011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 0 0
