chr	pos	endpos	pheno
Z	34670	41735	OG0000126
Z	42041	47946	OG0000126
Z	48236	70948	OG0000126
Z	76597	84744	OG0000126
Z	112800	120356	OG0000126
Z	120637	126488	OG0003119
Z	10257769	10260846	OG0000023
Z	11313042	11316256	OG0012046
1	148219	169242	OG0012107
1	5976581	5977236	OG0012107
2	605762	607072	OG0000023
2	2212130	2223765	OG0000023
2	10255672	10256341	OG0010585
2	10263834	10264925	OG0010585
2	10295446	10295673	OG0010585
2	10302436	10303029	OG0010585
2	10336136	10336302	OG0010585
2	12158903	12164168	OG0000023
2	15285874	15287127	OG0000023
3	43233	56621	OG0000126
3	70558	77306	OG0000126
3	86562	91174	OG0000126
3	107513	120597	OG0000126
3	120908	132728	OG0000126
3	143496	150261	OG0000126
3	162040	167986	OG0000126
3	168242	182236	OG0000126
3	291840	294861	OG0000533
3	337395	342140	OG0000533
3	383932	386599	OG0000533
3	390658	398193	OG0000533
3	407990	412438	OG0000533
3	427085	428219	OG0000533
3	434518	436024	OG0000533
3	3173765	3174661	OG0004801
3	3254979	3261344	OG0000452
3	3402168	3405115	OG0000452
3	3554479	3555386	OG0004801
3	3602943	3608921	OG0000452
3	3690117	3690643	OG0004801
3	3922341	3926010	OG0000452
3	4024851	4025756	OG0004801
3	4070859	4074990	OG0000452
3	4158918	4159444	OG0004801
3	4307479	4308385	OG0004801
3	4407318	4409084	OG0000452
3	4410051	4412041	OG0000452
3	4428598	4429498	OG0004801
3	4447366	4450888	OG0000452
3	4630008	4631782	OG0000452
3	5554730	5563905	OG0000026
3	10726270	10736224	OG0003119
4	8361583	8363055	OG0000023
5	2770022	2775258	OG0000026
6	1061781	1066210	OG0000026
6	5839693	5840859	OG0000023
6	12511553	12519357	OG0000026
6	14681567	14688771	OG0000026
7	11819506	11829310	OG0000026
8	381824	390769	OG0000026
8	988993	990122	OG0000414
8	7231460	7255920	OG0000026
8	8202775	8204301	OG0000023
8	10936272	10937585	OG0000023
8	12591561	12595380	OG0009865
9	1962735	1964321	OG0012046
9	3146624	3153594	OG0000023
9	4097624	4105242	OG0000026
9	13109195	13116387	OG0000026
9	14150373	14158121	OG0012046
10	1329648	1342242	OG0010750
10	2395952	2402731	OG0002237
10	2460261	2488957	OG0002237
10	2703361	2709504	OG0002237
10	2776645	2777256	OG0002237
10	2821758	2822865	OG0002237
10	3037852	3041365	OG0002237
10	3362381	3363469	OG0002237
10	3482872	3483946	OG0002237
10	4247864	4248572	OG0002237
10	4580490	4581189	OG0002237
10	4889544	4890055	OG0002237
10	11157590	11158408	OG0003129
10	12010439	12046244	OG0000026
10	14544104	14545429	OG0000023
11	1841124	1856088	OG0000026
11	2195467	2196603	OG0000023
11	11845379	11859972	OG0000026
12	7295125	7296501	OG0000023
12	9518816	9521719	OG0000023
12	10099266	10100708	OG0000023
12	11888781	11896017	OG0000023
13	1827	47964	OG0000126
13	2824510	2825868	OG0000023
13	3875002	3886139	OG0000023
14	15141	35142	OG0000126
15	3723433	3724572	OG0000023
15	13886041	13898636	OG0003119
16	7993427	7995801	OG0010750
16	10538332	10539690	OG0000023
16	11083209	11084435	OG0000023
16	12337218	12338357	OG0000023
16	13147341	13171920	OG0000026
17	706959	718857	OG0000023
17	1478621	1479835	OG0000023
17	4199119	4204169	OG0000026
17	7635096	7641616	OG0000026
17	8995778	9012673	OG0000023
17	11786610	11786864	OG0011639
17	11795122	11795343	OG0011639
17	11818466	11819807	OG0010010
17	11830516	11831740	OG0010010
17	11835419	11836643	OG0010010
17	11841995	11843219	OG0010010
17	11851680	11856813	OG0010010
17	11868590	11868826	OG0011639
17	11872652	11872888	OG0011639
17	11878711	11879948	OG0010010
17	13280638	13290139	OG0000026
18	2820682	2822962	OG0010750
18	3234670	3240668	OG0000023
19	6722393	6722815	OG0010750
19	7213375	7214376	OG0000126
19	8210561	8211907	OG0000023
20	6188596	6189447	OG0000023
20	9806198	9820725	OG0010750
21	15752	65815	OG0000126
21	85324	102796	OG0000126
21	103039	120817	OG0003119
21	2988867	3090003	OG0000026
21	6409541	6417170	OG0009865
21	8751245	8769768	OG0000026
21	9789635	9805548	OG0003119
22	561714	562028	OG0003129
22	5005651	5005839	OG0011567
22	5195973	5196164	OG0011567
22	5203773	5203952	OG0011567
22	5290790	5292713	OG0011567
22	5464356	5465828	OG0000026
22	7431214	7443219	OG0009865
22	10858569	10872690	OG0000026
23	708	24901	OG0000126
23	35410	40646	OG0011960
23	41245	54008	OG0000126
23	63152	72117	OG0000126
23	2741323	2776211	OG0000026
23	9681267	9681850	OG0012107
23	10338403	10339221	OG0003129
23	11313293	11320141	OG0000126
23	11320498	11325743	OG0011960
24	15856	29490	OG0000126
24	29748	54782	OG0000126
24	54872	66980	OG0003119
24	66983	137047	OG0003119
24	138777	146140	OG0000126
24	160736	173748	OG0003119
24	2520026	2546355	OG0000026
24	2520026	2546355	OG0000023
24	7330877	7347208	OG0000126
24	7405343	7405912	OG0003129
24	7416238	7422048	OG0000126
24	11095349	11096088	OG0000414
24	11104340	11108285	OG0000414
24	11109488	11110890	OG0000414
24	11113526	11114537	OG0000414
24	11125188	11134234	OG0000414
24	11135335	11136672	OG0000414
25	1908137	1909471	OG0000023
25	9361921	9363234	OG0000023
26	3626891	3630731	OG0000837
26	3632336	3650126	OG0000837
26	3659369	3667953	OG0000837
26	3706851	3713784	OG0000837
26	3744095	3756437	OG0000837
26	3784462	3792432	OG0000837
26	3808862	3824099	OG0000837
26	3860426	3868455	OG0000837
26	8139754	8140572	OG0003129
26	9802471	9814279	OG0000126
26	9824482	9830554	OG0000126
27	4629	21380	OG0000126
27	36607	44037	OG0003119
27	74479	123768	OG0000126
27	5173160	5177556	OG0009865
27	5381349	5388998	OG0011246
27	5400090	5409746	OG0011246
27	5438354	5440347	OG0011246
27	5448027	5451051	OG0011246
27	6096484	6096816	OG0011246
28	2314467	2327477	OG0000026
28	3144646	3149393	OG0000126
28	3653933	3657765	OG0009865
28	4033212	4034603	OG0000023
28	4267332	4270100	OG0010750
28	4267332	4270100	OG0003129
28	4495130	4497258	OG0003129
28	6321080	6321328	OG0000023
30	1712227	1731047	OG0000026
30	2243281	2250064	OG0009865
30	2259118	2263229	OG0003129
30	3237038	3238384	OG0000023
