chrom begin end count_rpt length_rpt count_SINE length_SINE count_DNA length_DNA count_TcM length_TcM count_LINE length_LINE count_LTR length_LTR count_nonLTR length_nonLTR
LR999924.1 1 2000000 2734 398150 450 81220 170 30358 39 8843 163 38460 36 127300 341 120208
LR999924.1 2000001 4000000 3166 409031 552 97665 212 33311 9 1566 176 52069 35 74351 314 63819
LR999924.1 4000001 6000000 2768 342240 450 86360 197 38404 14 3074 132 27261 45 56966 213 46981
LR999924.1 6000001 8000000 2514 306115 351 67462 240 42705 17 2631 119 21642 27 50503 188 42948
LR999924.1 8000001 10000000 2697 313682 400 71839 209 23457 5 2293 128 26234 22 55091 204 47703
LR999924.1 10000001 12000000 2546 309292 300 56214 185 29984 20 4063 145 23785 34 68915 222 56991
LR999924.1 12000001 14000000 2392 273709 314 54575 169 25168 4 1677 110 22728 27 51258 183 39099
LR999924.1 14000001 16000000 2427 304603 393 70491 189 32519 9 2768 118 28371 35 66815 239 57475
LR999924.1 16000001 17040296 1267 155611 199 37826 90 15136 4 1335 49 10472 15 34277 133 32764
rm: cannot remove ‘*tmp’: No such file or directory
