chrom begin end CDS_length
LR999924.1 1 2000000 44943
LR999924.1 2000001 4000000 37659
LR999924.1 4000001 6000000 57509
LR999924.1 6000001 8000000 78693
LR999924.1 8000001 10000000 72086
LR999924.1 10000001 12000000 67933
LR999924.1 12000001 14000000 45871
LR999924.1 14000001 16000000 62993
LR999924.1 16000001 17040296 22453
LR999925.1 1 2000000 40921
LR999925.1 2000001 4000000 73082
LR999925.1 4000001 6000000 99342
LR999925.1 6000001 8000000 75620
LR999925.1 8000001 10000000 67684
LR999925.1 10000001 12000000 85635
LR999925.1 12000001 14000000 46764
LR999925.1 14000001 16000000 103250
LR999925.1 16000001 16607008 13493
LR999926.1 1 2000000 86996
LR999926.1 2000001 4000000 48809
LR999926.1 4000001 6000000 90479
LR999926.1 6000001 8000000 96643
LR999926.1 8000001 10000000 113194
LR999926.1 10000001 12000000 106684
LR999926.1 12000001 14000000 57410
LR999926.1 14000001 16000000 8633
LR999926.1 16000001 16362069 14972
LR999927.1 1 2000000 66179
LR999927.1 2000001 4000000 51305
LR999927.1 4000001 6000000 62443
LR999927.1 6000001 8000000 48711
LR999927.1 8000001 10000000 54444
LR999927.1 10000001 12000000 36754
LR999927.1 12000001 14000000 7875
LR999927.1 14000001 16000000 70983
LR999927.1 16000001 16090551 8495
LR999928.1 1 2000000 40957
LR999928.1 2000001 4000000 33313
LR999928.1 4000001 6000000 56009
LR999928.1 6000001 8000000 104143
LR999928.1 8000001 10000000 79278
LR999928.1 10000001 12000000 41928
LR999928.1 12000001 14000000 36153
LR999928.1 14000001 16000000 73414
LR999928.1 16000001 16000791 
LR999929.1 1 2000000 54056
LR999929.1 2000001 4000000 30484
LR999929.1 4000001 6000000 62557
LR999929.1 6000001 8000000 50504
LR999929.1 8000001 10000000 99303
LR999929.1 10000001 12000000 41955
LR999929.1 12000001 14000000 98023
LR999929.1 14000001 15952094 52316
LR999930.1 1 2000000 28584
LR999930.1 2000001 4000000 59408
LR999930.1 4000001 6000000 53886
LR999930.1 6000001 8000000 94271
LR999930.1 8000001 10000000 75016
LR999930.1 10000001 12000000 38312
LR999930.1 12000001 14000000 76947
LR999930.1 14000001 15715213 23327
LR999931.1 1 2000000 67342
LR999931.1 2000001 4000000 24871
LR999931.1 4000001 6000000 76192
LR999931.1 6000001 8000000 98305
LR999931.1 8000001 10000000 80767
LR999931.1 10000001 12000000 132824
LR999931.1 12000001 14000000 33279
LR999931.1 14000001 15572524 42203
LR999932.1 1 2000000 38284
LR999932.1 2000001 4000000 62045
LR999932.1 4000001 6000000 79739
LR999932.1 6000001 8000000 80505
LR999932.1 8000001 10000000 56105
LR999932.1 10000001 12000000 50392
LR999932.1 12000001 14000000 59679
LR999932.1 14000001 15426761 55129
LR999933.1 1 2000000 39983
LR999933.1 2000001 4000000 39394
LR999933.1 4000001 6000000 53824
LR999933.1 6000001 8000000 61218
LR999933.1 8000001 10000000 57107
LR999933.1 10000001 12000000 78829
LR999933.1 12000001 14000000 35866
LR999933.1 14000001 15296561 29771
LR999934.1 1 2000000 41989
LR999934.1 2000001 4000000 20663
LR999934.1 4000001 6000000 35600
