LR999949.1 1 100000 
LR999949.1 100001 200000 175
LR999949.1 200001 300000 2397
LR999949.1 300001 400000 2080
LR999949.1 400001 500000 2734
LR999949.1 500001 600000 2040
LR999949.1 600001 700000 3097
LR999949.1 700001 800000 908
LR999949.1 800001 900000 2231
LR999949.1 900001 1e+06 923
LR999949.1 1e+06 1.1e+06 1323
LR999949.1 1.1e+06 1.2e+06 3510
LR999949.1 1.2e+06 1.3e+06 3158
LR999949.1 1.3e+06 1.4e+06 2207
LR999949.1 1.4e+06 1.5e+06 3291
LR999949.1 1.5e+06 1.6e+06 3883
LR999949.1 1.6e+06 1.7e+06 2452
LR999949.1 1.7e+06 1.8e+06 3522
LR999949.1 1.8e+06 1.9e+06 2698
LR999949.1 1.9e+06 2e+06 5015
LR999949.1 2e+06 2.1e+06 6596
LR999949.1 2.1e+06 2.2e+06 5228
LR999949.1 2.2e+06 2.3e+06 5186
LR999949.1 2.3e+06 2.4e+06 1479
LR999949.1 2.4e+06 2.5e+06 5974
LR999949.1 2.5e+06 2.6e+06 3799
LR999949.1 2.6e+06 2.7e+06 2753
LR999949.1 2.7e+06 2.8e+06 2916
LR999949.1 2.8e+06 2.9e+06 497
LR999949.1 2.9e+06 3e+06 2160
LR999949.1 3e+06 3.1e+06 2912
LR999949.1 3.1e+06 3.2e+06 4429
LR999949.1 3.2e+06 3.3e+06 5493
LR999949.1 3.3e+06 3.4e+06 2640
LR999949.1 3.4e+06 3.5e+06 1361
LR999949.1 3.5e+06 3.6e+06 1252
LR999949.1 3.6e+06 3.7e+06 794
LR999949.1 3.7e+06 3.8e+06 2304
LR999949.1 3.8e+06 3.9e+06 1436
LR999949.1 3.9e+06 4e+06 1850
LR999949.1 4e+06 4.1e+06 2243
LR999949.1 4.1e+06 4.2e+06 4078
LR999949.1 4.2e+06 4.3e+06 3587
LR999949.1 4.3e+06 4.4e+06 7015
LR999949.1 4.4e+06 4.5e+06 2484
LR999949.1 4.5e+06 4.6e+06 3204
LR999949.1 4.6e+06 4.7e+06 6306
LR999949.1 4.7e+06 4.8e+06 1662
LR999949.1 4.8e+06 4.9e+06 3691
LR999949.1 4.9e+06 5e+06 3182
LR999949.1 5e+06 5.1e+06 4654
LR999949.1 5.1e+06 5.2e+06 4488
LR999949.1 5.2e+06 5.3e+06 3489
LR999949.1 5.3e+06 5.4e+06 3252
LR999949.1 5.4e+06 5.5e+06 4027
LR999949.1 5.5e+06 5.6e+06 4595
LR999949.1 5.6e+06 5.7e+06 7168
LR999949.1 5.7e+06 5.8e+06 3348
LR999949.1 5.8e+06 5.9e+06 5917
LR999949.1 5.9e+06 6e+06 3941
LR999949.1 6e+06 6.1e+06 7435
LR999949.1 6.1e+06 6.2e+06 2696
LR999949.1 6.2e+06 6.3e+06 5215
LR999949.1 6.3e+06 6.4e+06 8538
LR999949.1 6.4e+06 6.5e+06 5977
LR999949.1 6.5e+06 6.6e+06 4286
LR999949.1 6.6e+06 6.7e+06 5208
LR999949.1 6.7e+06 6.8e+06 6024
LR999949.1 6.8e+06 6.9e+06 7317
LR999949.1 6.9e+06 7e+06 4134
LR999949.1 7e+06 7.1e+06 4065
LR999949.1 7.1e+06 7.2e+06 14754
LR999949.1 7.2e+06 7.3e+06 17606
LR999949.1 7.3e+06 7.4e+06 17090
LR999949.1 7.4e+06 7.5e+06 10517
LR999949.1 7.5e+06 7.6e+06 4061
LR999949.1 7.6e+06 7.7e+06 6411
LR999949.1 7.7e+06 7.8e+06 2655
LR999949.1 7.8e+06 7.9e+06 3232
LR999949.1 7.9e+06 8e+06 5710
LR999949.1 8e+06 8.1e+06 3041
LR999949.1 8.1e+06 8.2e+06 5376
LR999949.1 8.2e+06 8.3e+06 5718
LR999949.1 8.3e+06 8.4e+06 4131
LR999949.1 8.4e+06 8.5e+06 2504
LR999949.1 8.5e+06 8.6e+06 3952
LR999949.1 8.6e+06 8.7e+06 4489
LR999949.1 8.7e+06 8.8e+06 6830
LR999949.1 8.8e+06 8.9e+06 8397
LR999949.1 8.9e+06 9e+06 6025
LR999949.1 9e+06 9.1e+06 5453
LR999949.1 9.1e+06 9.2e+06 4716
LR999949.1 9.2e+06 9.3e+06 3954
LR999949.1 9.3e+06 9.4e+06 2018
LR999949.1 9.4e+06 9.5e+06 3842
LR999949.1 9.5e+06 9.6e+06 6454
LR999949.1 9.6e+06 9.7e+06 4243
LR999949.1 9.7e+06 9.8e+06 5787
LR999949.1 9.8e+06 9.9e+06 4150
LR999949.1 9.9e+06 1e+07 6472
LR999949.1 1e+07 1.01e+07 3448
LR999949.1 1.01e+07 1.02e+07 5560
LR999949.1 1.02e+07 1.03e+07 3024
LR999949.1 1.03e+07 1.04e+07 2900
LR999949.1 1.04e+07 1.05e+07 5243
LR999949.1 1.05e+07 1.06e+07 3897
LR999949.1 1.06e+07 1.07e+07 809
LR999949.1 1.07e+07 1.08e+07 2527
LR999949.1 1.08e+07 1.09e+07 1842
LR999949.1 1.09e+07 1.1e+07 3210
LR999949.1 1.1e+07 1.11e+07 1327
LR999949.1 1.11e+07 11199261 4256
