"GO.ID" "Term" "Annotated" "Significant" "Expected" "weight01Fisher" "classicFisher" "p_adj" "GO_class" "genes"
"1" "GO:0008426" "protein kinase C inhibitor activity" 8 4 0.02 8.6e-10 "8.6e-10" 2.96528e-06 "MF" "Vcard_DToL16881-RA,Vcard_DToL16916-RA,Vcard_DToL16917-RA,Vcard_DToL16920-RA"
"2" "GO:0005212" "structural constituent of eye lens" 11 4 0.02 4e-09 "4.0e-09" 6.896e-06 "MF" "Vcard_DToL16881-RA,Vcard_DToL16916-RA,Vcard_DToL16917-RA,Vcard_DToL16920-RA"
"3" "GO:0044183" "protein folding chaperone" 21 4 0.04 7.2e-08 "7.2e-08" 8.2752e-05 "MF" "Vcard_DToL16881-RA,Vcard_DToL16916-RA,Vcard_DToL16917-RA,Vcard_DToL16920-RA"
"4" "GO:0001540" "amyloid-beta binding" 33 4 0.07 4.9e-07 "4.9e-07" 0.00042238 "MF" "Vcard_DToL16881-RA,Vcard_DToL16916-RA,Vcard_DToL16917-RA,Vcard_DToL16920-RA"
"5" "GO:0043130" "ubiquitin binding" 51 4 0.11 2.9e-06 "2.9e-06" 0.00178146666666667 "MF" "Vcard_DToL16881-RA,Vcard_DToL16916-RA,Vcard_DToL16917-RA,Vcard_DToL16920-RA"
"6" "GO:0005080" "protein kinase C binding" 52 4 0.11 3.1e-06 "3.1e-06" 0.00178146666666667 "MF" "Vcard_DToL16881-RA,Vcard_DToL16916-RA,Vcard_DToL16917-RA,Vcard_DToL16920-RA"
"7" "GO:0051082" "unfolded protein binding" 83 4 0.17 2.1e-05 "2.1e-05" 0.010344 "MF" "Vcard_DToL16881-RA,Vcard_DToL16916-RA,Vcard_DToL16917-RA,Vcard_DToL16920-RA"
"8" "GO:0017022" "myosin binding" 89 4 0.19 2.7e-05 "2.7e-05" 0.011637 "MF" "Vcard_DToL16881-RA,Vcard_DToL16916-RA,Vcard_DToL16917-RA,Vcard_DToL16920-RA"
"9" "GO:0008017" "microtubule binding" 166 4 0.35 0.00031 "0.00031" 0.118764444444444 "MF" "Vcard_DToL16881-RA,Vcard_DToL16916-RA,Vcard_DToL16917-RA,Vcard_DToL16920-RA"
"10" "GO:0047619" "acylcarnitine hydrolase activity" 21 2 0.04 0.00084 "0.00084" 0.289632 "MF" "Vcard_DToL02450-RA,Vcard_DToL02453-RA"
"11" "GO:0003779" "actin binding" 231 4 0.48 0.00107 "0.00107" 0.315624615384615 "MF" "Vcard_DToL16881-RA,Vcard_DToL16916-RA,Vcard_DToL16917-RA,Vcard_DToL16920-RA"
"12" "GO:0004771" "sterol esterase activity" 25 2 0.05 0.00119 "0.00119" 0.315624615384615 "MF" "Vcard_DToL02450-RA,Vcard_DToL02453-RA"
"13" "GO:0016290" "palmitoyl-CoA hydrolase activity" 25 2 0.05 0.00119 "0.00119" 0.315624615384615 "MF" "Vcard_DToL02450-RA,Vcard_DToL02453-RA"
"14" "GO:0004806" "triglyceride lipase activity" 27 2 0.06 0.00139 "0.00139" 0.342337142857143 "MF" "Vcard_DToL02450-RA,Vcard_DToL02453-RA"
"15" "GO:0044877" "protein-containing complex binding" 732 8 1.53 0.00204 "3.7e-05" 0.423901176470588 "MF" "Vcard_DToL00029-RA,Vcard_DToL04931-RA,Vcard_DToL13326-RA,Vcard_DToL16881-RA,Vcard_DToL16916-RA,Vcard_DToL16917-RA,Vcard_DToL16920-RA,Vcard_DToL18197-RA"
