chrom begin end CDS_length
LR999929.1 1 100000 2078
LR999929.1 100001 200000 
LR999929.1 200001 300000 4417
LR999929.1 300001 400000 5810
LR999929.1 400001 500000 7745
LR999929.1 500001 600000 5095
LR999929.1 600001 700000 7056
LR999929.1 700001 800000 8642
LR999929.1 800001 900000 12575
LR999929.1 900001 1000000 5549
LR999929.1 1000001 1100000 2024
LR999929.1 1100001 1200000 826
LR999929.1 1200001 1300000 2302
LR999929.1 1300001 1400000 
LR999929.1 1400001 1500000 
LR999929.1 1500001 1600000 1619
LR999929.1 1600001 1700000 1954
LR999929.1 1700001 1800000 7520
LR999929.1 1800001 1900000 2836
LR999929.1 1900001 2000000 
LR999929.1 2000001 2100000 
LR999929.1 2100001 2200000 
LR999929.1 2200001 2300000 899
LR999929.1 2300001 2400000 
LR999929.1 2400001 2500000 1754
LR999929.1 2500001 2600000 4698
LR999929.1 2600001 2700000 1018
LR999929.1 2700001 2800000 1950
LR999929.1 2800001 2900000 6565
LR999929.1 2900001 3000000 186
LR999929.1 3000001 3100000 
LR999929.1 3100001 3200000 403
LR999929.1 3200001 3300000 
LR999929.1 3300001 3400000 766
LR999929.1 3400001 3500000 1509
LR999929.1 3500001 3600000 2403
LR999929.1 3600001 3700000 4275
LR999929.1 3700001 3800000 3005
LR999929.1 3800001 3900000 7415
LR999929.1 3900001 4000000 2215
LR999929.1 4000001 4100000 
LR999929.1 4100001 4200000 
LR999929.1 4200001 4300000 13739
LR999929.1 4300001 4400000 1807
LR999929.1 4400001 4500000 7554
LR999929.1 4500001 4600000 
LR999929.1 4600001 4700000 4107
LR999929.1 4700001 4800000 
LR999929.1 4800001 4900000 5325
LR999929.1 4900001 5000000 
LR999929.1 5000001 5100000 
LR999929.1 5100001 5200000 6426
LR999929.1 5200001 5300000 5121
LR999929.1 5300001 5400000 4343
LR999929.1 5400001 5500000 6269
LR999929.1 5500001 5600000 12808
LR999929.1 5600001 5700000 
LR999929.1 5700001 5800000 5645
LR999929.1 5800001 5900000 7044
LR999929.1 5900001 6000000 4681
LR999929.1 6000001 6100000 4568
LR999929.1 6100001 6200000 10519
LR999929.1 6200001 6300000 1388
LR999929.1 6300001 6400000 702
LR999929.1 6400001 6500000 145
LR999929.1 6500001 6600000 399
LR999929.1 6600001 6700000 
LR999929.1 6700001 6800000 1702
LR999929.1 6800001 6900000 3357
LR999929.1 6900001 7000000 9370
LR999929.1 7000001 7100000 
LR999929.1 7100001 7200000 3473
LR999929.1 7200001 7300000 8599
LR999929.1 7300001 7400000 
LR999929.1 7400001 7500000 8343
LR999929.1 7500001 7600000 2490
LR999929.1 7600001 7700000 841
LR999929.1 7700001 7800000 2655
LR999929.1 7800001 7900000 9688
LR999929.1 7900001 8000000 1490
LR999929.1 8000001 8100000 1826
LR999929.1 8100001 8200000 13521
LR999929.1 8200001 8300000 13089
LR999929.1 8300001 8400000 15800
LR999929.1 8400001 8500000 3704
LR999929.1 8500001 8600000 9414
LR999929.1 8600001 8700000 2600
LR999929.1 8700001 8800000 15730
LR999929.1 8800001 8900000 3314
LR999929.1 8900001 9000000 171
LR999929.1 9000001 9100000 5051
LR999929.1 9100001 9200000 5385
LR999929.1 9200001 9300000 4416
LR999929.1 9300001 9400000 
LR999929.1 9400001 9500000 
LR999929.1 9500001 9600000 5083
LR999929.1 9600001 9700000 6128
LR999929.1 9700001 9800000 3804
LR999929.1 9800001 9900000 1904
LR999929.1 9900001 10000000 
LR999929.1 10000001 10100000 
LR999929.1 10100001 10200000 3494
LR999929.1 10200001 10300000 439
LR999929.1 10300001 10400000 1442
LR999929.1 10400001 10500000 7620
LR999929.1 10500001 10600000 
LR999929.1 10600001 10700000 
LR999929.1 10700001 10800000 110
LR999929.1 10800001 10900000 6175
LR999929.1 10900001 11000000 
LR999929.1 11000001 11100000 7028
LR999929.1 11100001 11200000 15185
LR999929.1 11200001 11300000 10056
LR999929.1 11300001 11400000 
LR999929.1 11400001 11500000 1772
LR999929.1 11500001 11600000 
LR999929.1 11600001 11700000 
LR999929.1 11700001 11800000 
LR999929.1 11800001 11900000 
LR999929.1 11900001 12000000 1124
LR999929.1 12000001 12100000 1313
LR999929.1 12100001 12200000 11413
LR999929.1 12200001 12300000 3669
LR999929.1 12300001 12400000 1469
LR999929.1 12400001 12500000 4855
LR999929.1 12500001 12600000 6067
LR999929.1 12600001 12700000 8483
LR999929.1 12700001 12800000 19260
LR999929.1 12800001 12900000 
LR999929.1 12900001 13000000 19249
LR999929.1 13000001 13100000 19219
LR999929.1 13100001 13200000 4557
LR999929.1 13200001 13300000 
LR999929.1 13300001 13400000 1315
LR999929.1 13400001 13500000 13044
LR999929.1 13500001 13600000 6916
LR999929.1 13600001 13700000 5374
LR999929.1 13700001 13800000 469
LR999929.1 13800001 13900000 
LR999929.1 13900001 14000000 4647
LR999929.1 14000001 14100000 798
LR999929.1 14100001 14200000 2904
LR999929.1 14200001 14300000 2306
LR999929.1 14300001 14400000 1195
LR999929.1 14400001 14500000 648
LR999929.1 14500001 14600000 418
LR999929.1 14600001 14700000 8914
LR999929.1 14700001 14800000 13587
LR999929.1 14800001 14900000 4460
LR999929.1 14900001 15000000 304
LR999929.1 15000001 15100000 1018
LR999929.1 15100001 15200000 
LR999929.1 15200001 15300000 
LR999929.1 15300001 15400000 3137
LR999929.1 15400001 15500000 5558
LR999929.1 15500001 15600000 1727
LR999929.1 15600001 15700000 13243
LR999929.1 15700001 15800000 5229
LR999929.1 15800001 15900000 1791
LR999929.1 15900001 15952094 3467
