LR999946.1 1 100000 
LR999946.1 100001 200000 377
LR999946.1 200001 300000 469
LR999946.1 300001 400000 
LR999946.1 400001 500000 666
LR999946.1 500001 600000 3969
LR999946.1 600001 700000 14660
LR999946.1 700001 800000 10660
LR999946.1 800001 900000 7878
LR999946.1 900001 1e+06 1508
LR999946.1 1e+06 1.1e+06 1856
LR999946.1 1.1e+06 1.2e+06 1209
LR999946.1 1.2e+06 1.3e+06 1257
LR999946.1 1.3e+06 1.4e+06 1000
LR999946.1 1.4e+06 1.5e+06 638
LR999946.1 1.5e+06 1.6e+06 623
LR999946.1 1.6e+06 1.7e+06 1515
LR999946.1 1.7e+06 1.8e+06 7926
LR999946.1 1.8e+06 1.9e+06 2593
LR999946.1 1.9e+06 2e+06 985
LR999946.1 2e+06 2.1e+06 282
LR999946.1 2.1e+06 2.2e+06 2481
LR999946.1 2.2e+06 2.3e+06 2121
LR999946.1 2.3e+06 2.4e+06 1015
LR999946.1 2.4e+06 2.5e+06 1693
LR999946.1 2.5e+06 2.6e+06 2820
LR999946.1 2.6e+06 2.7e+06 119
LR999946.1 2.7e+06 2.8e+06 694
LR999946.1 2.8e+06 2.9e+06 12957
LR999946.1 2.9e+06 3e+06 510
LR999946.1 3e+06 3.1e+06 1579
LR999946.1 3.1e+06 3.2e+06 8279
LR999946.1 3.2e+06 3.3e+06 528
LR999946.1 3.3e+06 3.4e+06 7145
LR999946.1 3.4e+06 3.5e+06 4822
LR999946.1 3.5e+06 3.6e+06 1302
LR999946.1 3.6e+06 3.7e+06 1097
LR999946.1 3.7e+06 3.8e+06 451
LR999946.1 3.8e+06 3.9e+06 1296
LR999946.1 3.9e+06 4e+06 187
LR999946.1 4e+06 4.1e+06 1007
LR999946.1 4.1e+06 4.2e+06 702
LR999946.1 4.2e+06 4.3e+06 662
LR999946.1 4.3e+06 4.4e+06 1822
LR999946.1 4.4e+06 4.5e+06 144
LR999946.1 4.5e+06 4.6e+06 1403
LR999946.1 4.6e+06 4.7e+06 242
LR999946.1 4.7e+06 4.8e+06 605
LR999946.1 4.8e+06 4.9e+06 
LR999946.1 4.9e+06 5e+06 179
LR999946.1 5e+06 5.1e+06 747
LR999946.1 5.1e+06 5.2e+06 1228
