LR999949.1 1 100000 
LR999949.1 100001 200000 
LR999949.1 200001 300000 4877
LR999949.1 300001 400000 8413
LR999949.1 400001 500000 9459
LR999949.1 500001 600000 8569
LR999949.1 600001 700000 11764
LR999949.1 700001 800000 11079
LR999949.1 800001 900000 9642
LR999949.1 900001 1e+06 2657
LR999949.1 1e+06 1.1e+06 6212
LR999949.1 1.1e+06 1.2e+06 8435
LR999949.1 1.2e+06 1.3e+06 8321
LR999949.1 1.3e+06 1.4e+06 11005
LR999949.1 1.4e+06 1.5e+06 11076
LR999949.1 1.5e+06 1.6e+06 13632
LR999949.1 1.6e+06 1.7e+06 7226
LR999949.1 1.7e+06 1.8e+06 9102
LR999949.1 1.8e+06 1.9e+06 9275
LR999949.1 1.9e+06 2e+06 9822
LR999949.1 2e+06 2.1e+06 11511
LR999949.1 2.1e+06 2.2e+06 11225
LR999949.1 2.2e+06 2.3e+06 10691
LR999949.1 2.3e+06 2.4e+06 11719
LR999949.1 2.4e+06 2.5e+06 10303
LR999949.1 2.5e+06 2.6e+06 9689
LR999949.1 2.6e+06 2.7e+06 10447
LR999949.1 2.7e+06 2.8e+06 9511
LR999949.1 2.8e+06 2.9e+06 6004
LR999949.1 2.9e+06 3e+06 7602
LR999949.1 3e+06 3.1e+06 9971
LR999949.1 3.1e+06 3.2e+06 8038
LR999949.1 3.2e+06 3.3e+06 9938
LR999949.1 3.3e+06 3.4e+06 7314
LR999949.1 3.4e+06 3.5e+06 7282
LR999949.1 3.5e+06 3.6e+06 4763
LR999949.1 3.6e+06 3.7e+06 6317
LR999949.1 3.7e+06 3.8e+06 12714
LR999949.1 3.8e+06 3.9e+06 6638
LR999949.1 3.9e+06 4e+06 6951
LR999949.1 4e+06 4.1e+06 8446
LR999949.1 4.1e+06 4.2e+06 9198
LR999949.1 4.2e+06 4.3e+06 6652
LR999949.1 4.3e+06 4.4e+06 5963
LR999949.1 4.4e+06 4.5e+06 8940
LR999949.1 4.5e+06 4.6e+06 8574
LR999949.1 4.6e+06 4.7e+06 7076
LR999949.1 4.7e+06 4.8e+06 6939
LR999949.1 4.8e+06 4.9e+06 6875
LR999949.1 4.9e+06 5e+06 7785
LR999949.1 5e+06 5.1e+06 6234
LR999949.1 5.1e+06 5.2e+06 9944
LR999949.1 5.2e+06 5.3e+06 9067
LR999949.1 5.3e+06 5.4e+06 6241
LR999949.1 5.4e+06 5.5e+06 6456
LR999949.1 5.5e+06 5.6e+06 7040
LR999949.1 5.6e+06 5.7e+06 7482
LR999949.1 5.7e+06 5.8e+06 9511
LR999949.1 5.8e+06 5.9e+06 6010
LR999949.1 5.9e+06 6e+06 10431
LR999949.1 6e+06 6.1e+06 10868
LR999949.1 6.1e+06 6.2e+06 10717
LR999949.1 6.2e+06 6.3e+06 6909
LR999949.1 6.3e+06 6.4e+06 9225
LR999949.1 6.4e+06 6.5e+06 9039
LR999949.1 6.5e+06 6.6e+06 4685
LR999949.1 6.6e+06 6.7e+06 9209
LR999949.1 6.7e+06 6.8e+06 8416
LR999949.1 6.8e+06 6.9e+06 8628
LR999949.1 6.9e+06 7e+06 8343
LR999949.1 7e+06 7.1e+06 8934
LR999949.1 7.1e+06 7.2e+06 3082
LR999949.1 7.2e+06 7.3e+06 462
LR999949.1 7.3e+06 7.4e+06 490
LR999949.1 7.4e+06 7.5e+06 4286
LR999949.1 7.5e+06 7.6e+06 10121
LR999949.1 7.6e+06 7.7e+06 9005
LR999949.1 7.7e+06 7.8e+06 11112
LR999949.1 7.8e+06 7.9e+06 8052
LR999949.1 7.9e+06 8e+06 12728
LR999949.1 8e+06 8.1e+06 9361
LR999949.1 8.1e+06 8.2e+06 9409
LR999949.1 8.2e+06 8.3e+06 9837
LR999949.1 8.3e+06 8.4e+06 13336
LR999949.1 8.4e+06 8.5e+06 13253
LR999949.1 8.5e+06 8.6e+06 11169
LR999949.1 8.6e+06 8.7e+06 9811
LR999949.1 8.7e+06 8.8e+06 9554
LR999949.1 8.8e+06 8.9e+06 13399
LR999949.1 8.9e+06 9e+06 11543
LR999949.1 9e+06 9.1e+06 13152
LR999949.1 9.1e+06 9.2e+06 13679
LR999949.1 9.2e+06 9.3e+06 12655
LR999949.1 9.3e+06 9.4e+06 13121
LR999949.1 9.4e+06 9.5e+06 14290
LR999949.1 9.5e+06 9.6e+06 11355
LR999949.1 9.6e+06 9.7e+06 9376
LR999949.1 9.7e+06 9.8e+06 11373
LR999949.1 9.8e+06 9.9e+06 13478
LR999949.1 9.9e+06 1e+07 12322
LR999949.1 1e+07 1.01e+07 10181
LR999949.1 1.01e+07 1.02e+07 10319
LR999949.1 1.02e+07 1.03e+07 11059
LR999949.1 1.03e+07 1.04e+07 11519
LR999949.1 1.04e+07 1.05e+07 12596
LR999949.1 1.05e+07 1.06e+07 6804
LR999949.1 1.06e+07 1.07e+07 10311
LR999949.1 1.07e+07 1.08e+07 11125
LR999949.1 1.08e+07 1.09e+07 12001
LR999949.1 1.09e+07 1.1e+07 12037
LR999949.1 1.1e+07 1.11e+07 8081
LR999949.1 1.11e+07 11199261 1469
